gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,16,30,10847.571495899998,10489.216885,24183.40447365,25055.508422450002,122.8017998310458,862.7966117999999,0,30,240000,19921,17748911,101239982180,101222233269,97788182755,3434050514,96.60741479110231,3018
1,1,,,14,31,10898.891841548388,10254.92471,24179.018386,25120.461063199997,78.62420349326263,840.6347792580646,0,31,248000,20584,17748911,101239982180,101222233269,97236711384,3985521885,96.0626022996268,2897
2,2,,,15,29,11323.893646965518,10997.677377,24411.816836399998,25158.75105576,85.71613389418509,844.6899742413792,0,29,232000,18934,17748911,101239982180,101222233269,97483808175,3738425094,96.30671545838644,3134
3,3,,,14,29,10690.959413206898,11216.023366,22764.2910694,24675.05201076,29.411375041420378,803.2716152413792,0,29,232000,19376,17748911,101239982180,101222233269,99324126855,1898106414,98.12481274844455,3207
4,4,,,17,32,11983.827034406251,11503.1332425,24639.6459954,25512.085283290002,76.0151322166059,852.0635470625,0,32,256000,20749,17748911,101239982180,101222233269,98974130331,2248102938,97.77904234534559,2949
5,5,,,14,30,10899.64870063333,10380.623006,23640.3922708,25237.16066452,111.11314125838274,863.4544235,0,30,240000,18807,17748911,101239982180,101222233269,96461838503,4760394766,95.29708581577215,3033
6,6,,,15,29,11111.57350537931,10879.589977,24261.5756886,24883.6444586,31.255244452112265,803.1910102758621,0,29,232000,19160,17748911,101239982180,101222233269,93952632881,7269600388,92.81817822702953,2897
7,7,,,13,29,10661.159077586206,10947.886279,23037.9954792,24473.87247664,41.4208112921038,822.0234970344827,0,29,232000,19351,17748911,101239982180,101222233269,94409058889,6813174380,93.26909300460319,2917
8,8,,,17,31,10881.59202983871,11009.431529,25066.8826755,25484.7055381,75.94384338778421,839.9210561935485,0,31,248000,19741,17748911,101239982180,101222233269,99850638558,1371594711,98.64496695369785,3128
9,9,,,15,30,11494.642048066666,10374.627781,24481.86025485,25057.80745979,142.48927593404395,864.4252550666668,0,30,240000,19130,17748911,101239982180,101222233269,97881731933,3340501336,96.6998343860656,3091
