gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,19,30,16708.40564946667,14972.145595,36782.40496285,37175.52820395,122.14962144303811,833.3940725,0,30,240000,19985,17748911,100770491177,100752742266,96835117227,3917625039,96.11164425812156,2961
1,1,,,13,32,16394.01879215625,15581.888532,35005.6533125,36273.98422753,77.09238363690865,829.6977893125,0,32,256000,19085,17748911,100770491177,100752742266,92483772321,8268969945,91.79280905013098,2694
2,2,,,13,29,16809.21501062069,15128.732456,36625.493122399996,37687.85634968,87.44342793176921,834.2974795517242,0,29,232000,19263,17748911,100770491177,100752742266,95198417751,5554324515,94.48717286489743,2969
3,3,,,14,30,17374.48844286667,15919.621855500001,36564.10566165,37429.71190029,62.347694476371316,834.5298741333334,0,30,240000,19776,17748911,100770491177,100752742266,96344086906,4408655360,95.62428251495072,2950
4,4,,,15,30,16386.512716,14230.296254,34542.16525765,36414.063793350004,98.94738620071055,844.406483,0,30,240000,19449,17748911,100770491177,100752742266,95941219993,4811522273,95.22442549474536,2961
5,5,,,16,29,16241.801303103448,15885.087185,36630.584207199994,37749.507466,147.22255372797372,866.5353668965517,0,29,232000,19410,17748911,100770491177,100752742266,97545331019,3207411247,96.8165519122725,3084
6,6,,,14,30,17401.693175466666,15932.785070499998,36033.35264555,36381.91609547,50.90030639771283,812.5039575,0,30,240000,20091,17748911,100770491177,100752742266,96015272101,4737470165,95.29792434582825,2911
7,7,,,13,32,17998.5277960625,17253.984754999998,37617.9329161,38387.67500783,92.54425791253787,848.28898259375,0,32,256000,20269,17748911,100770491177,100752742266,99965623124,787119142,99.21876156986188,3052
8,8,,,16,29,16032.173338586208,13731.836571,36766.0013756,37682.055524799995,129.58651376865987,855.4644685517242,0,29,232000,19499,17748911,100770491177,100752742266,94035772821,6716969445,93.33321426898104,2874
9,9,,,15,29,16918.11791427586,13891.099919,36183.4866302,36844.669385,174.71939572797453,867.6356376896551,0,29,232000,18926,17748911,100770491177,100752742266,92803660111,7949082155,92.11030689962422,2848
