user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,19950.027803250003,17696.1744875,38250.3718645,38490.4354113,141.6220487266272,241.96302810670758,883.39982375,19226.93636341667,39176.763783333336,prefill,0,1,11
1,,,,,,,12,12297.706772666666,13569.077795000001,24797.84410025,24955.72917925,88.51378045414202,87.56832121252441,820.4049990833333,22983.462120583332,35281.04365366667,prefill,0,0,12
2,,,,,,,15,14955.238927600003,8205.741402,35863.3581101,36465.745852420005,113.29763898130177,145.52766321869902,872.012653,19675.96222546667,34631.0408464,prefill,0,1,14
3,,,,,,,15,18052.878203066666,22975.093856,34024.184110899994,36632.49936058,113.29763898130177,48.85573448536504,814.7351548666667,22017.9898532,40070.7077496,prefill,0,0,15
4,,,,,,,11,14905.218306999997,12106.927905,36825.421343,37164.5821622,115.8725853217859,154.3188381327603,893.947443,21058.00378190909,35963.05813890909,prefill,0,0,11
5,,,,,,,11,20132.210258545456,15619.80659,36994.636436,37041.054452,173.80887798267887,60.9426833809596,822.6903275454545,20039.18020590909,40171.144539454544,prefill,0,0,11
6,,,,,,,18,15113.235496833331,14184.528342,35172.226268649996,36630.235111329996,153.42388612051283,51.344345990598676,805.9220195,21591.567184777778,36704.585599666665,prefill,0,0,18
7,,,,,,,17,21974.75350717647,24499.866924,37814.619767799995,37983.21714636,137.45669435231468,49.441137824156144,818.4839184705882,20557.701755764705,42532.26077323529,prefill,0,0,17
8,,,,,,,25,15002.969189720001,15468.280481,35517.02182479998,37004.39208448,161.44913554835506,119.15063197164451,860.78862244,22055.52913888,37058.2698916,prefill,0,0,25
9,,,,,,,24,13684.756675874998,12206.1891375,35396.8235774,36069.05047442,194.73031699911246,195.80691004255476,884.9752142083333,21727.752895541667,35412.23404433334,prefill,0,1,23
10,,,,,,,13,17941.25425169231,13134.034496,34919.925323799995,36202.295172759994,163.4100562230314,116.0258123154313,844.5165996153846,23422.900769692307,41363.92380984615,prefill,0,0,13
11,,,,,,,12,18309.595686666667,18644.4295115,35665.1600567,36658.78164654,123.91929263579881,53.17055411420186,817.166699,20540.149054583333,38849.56940583334,prefill,0,0,12
12,,,,,,,15,16090.0329608,18470.667075,34083.4254599,34518.72868238,155.7842535992899,42.1078994007103,809.7592284666667,22826.132613933336,38915.94515306666,prefill,0,0,15
13,,,,,,,15,21277.9851114,23972.745564,35045.575643899996,36012.83277278,169.9464584719527,68.71457846138102,837.3673218666667,22221.440678933333,43499.185330333334,prefill,0,0,15
14,,,,,,,15,18566.114711733335,20280.485834,35444.8932127,35477.15930894,127.45984385396451,43.76970787936973,819.6479918666666,20085.71829953333,38651.65266626667,prefill,0,0,15
15,,,,,,,14,15531.897305785713,18538.0415395,35330.73444855,37409.68410730999,121.39032747996619,70.91763159146254,831.1481670714286,21586.0713095,37117.79685814286,prefill,0,0,14
16,,,,,,,15,20858.422427266665,23784.015545,36774.0989221,37816.48099962,169.9464584719527,115.19601852804871,858.0579191333334,20426.542474466667,41284.72444173333,prefill,0,0,15
17,,,,,,,15,12746.165811933333,11744.6091,26232.0957374,26936.479830679997,113.29763898130179,65.6661979520312,829.6656266666666,22871.830983599997,35617.83648886667,prefill,0,0,15
18,,,,,,,13,17386.098102384614,22987.031291,31472.754161,31711.5924338,147.06905060072827,152.88352263004012,845.2039874615384,20680.227170076923,38066.117182076916,prefill,0,0,13
19,,,,,,,13,14970.04451353846,12456.170636,36400.5292912,36480.314086239996,147.06905060072827,173.04181878388874,861.4550868461539,20344.531447076923,35314.367870230766,prefill,0,1,12
