gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,2,24,185.75978954166666,176.4909085,281.79948949999977,306.36563788,18.63588425,167.12390529166666,0,24,48000,15695,17748911,73987592733,73969843822,68915859600,5053984222,93.16750724232725,3459
1,1,,,2,30,182.80834926666668,177.6744195,199.0344139,286.7527571400001,14.4765287,168.33182056666666,0,30,60000,18889,17748911,73987592733,73969843822,67574019166,6395824656,91.35347010953434,3250
2,2,,,2,22,182.70472790909088,174.501123,223.48079189999999,289.01678108999994,15.940926909090908,166.763801,0,22,44000,14466,17748911,73987592733,73969843822,70643925430,3325918392,95.50368336588159,3602
3,3,,,2,35,183.6767674,182.164501,192.13366200000002,253.34211895999968,12.982482028571429,170.69428537142858,0,35,70000,22625,17748911,73987592733,73969843822,73112053739,857790083,98.84035163699389,3439
4,4,,,2,49,199.16296579591835,190.33608,268.8278971999999,326.5688186,22.98311055102041,176.17985524489796,0,49,98000,32215,17748911,73987592733,73969843822,69801952309,4167891513,94.365417989756,2849
5,5,,,2,25,189.90003199999998,177.181065,260.79900219999996,287.93227931999996,22.09078544,167.80924656,0,25,50000,17011,17748911,73987592733,73969843822,71762374768,2207469054,97.0157175682133,3587
6,6,,,2,30,188.23886320000003,181.083006,256.7320313999999,276.15010046,18.587527933333334,169.65133526666668,0,30,60000,20405,17748911,73987592733,73969843822,65006894727,8962949095,87.88296874525203,3058
7,7,,,2,29,180.2421513103448,175.580698,188.217007,251.82414235999988,12.156393896551725,168.08575741379312,0,29,58000,18457,17748911,73987592733,73969843822,68425250505,5544593317,92.5042516916185,3323
8,8,,,2,30,184.5348247666667,181.6042165,190.90278475,276.1160464900001,15.8617065,168.67311826666668,0,30,60000,19793,17748911,73987592733,73969843822,72042641227,1927202595,97.39461043119465,3496
9,9,,,2,26,183.3225358461538,174.88730600000002,233.44237925000002,284.64585375,15.460518192307692,167.86201765384615,0,26,52000,16197,17748911,73987592733,73969843822,66285668650,7684175172,89.6117461184708,3289
