user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,183.11310600000002,174.6197815,233.54607809999993,285.80352202000006,0.0,17.056966,166.05614,12527.998137333334,12711.111243333335,prefill,0,0,12
1,,,,,,,12,188.40647308333334,177.8626265,240.66557829999994,295.0172972600001,0.0,20.2148025,168.19167058333335,13892.99446925,14081.400942333334,prefill,0,0,12
2,,,,,,,15,178.74467353333335,177.74798,190.3150006,198.47414572,0.0,10.100702199999999,168.64397133333335,12488.483429466667,12667.228103,prefill,0,0,15
3,,,,,,,15,186.87202500000004,176.435884,234.65139959999985,304.5119327199999,0.0,18.852355199999998,168.0196698,13862.865837333335,14049.737862333333,prefill,0,0,15
4,,,,,,,11,185.65484463636363,173.693298,242.33594449999998,293.17225210000004,0.0,19.047725454545454,166.60711918181818,13149.546799181819,13335.201643818182,prefill,0,0,11
5,,,,,,,11,179.75461118181818,174.687595,204.64229699999999,221.38762580000002,0.0,12.834128363636363,166.92048281818182,12896.212909454545,13075.967520636364,prefill,0,0,11
6,,,,,,,18,179.28588494444443,177.779535,192.133191,192.1353262,0.0,9.955212055555556,169.3306728888889,14497.9443445,14677.230229444445,prefill,0,0,18
7,,,,,,,17,188.32593705882354,182.77651,209.86291359999993,269.87067551999996,0.0,16.187826705882355,172.1381103529412,14283.837790470589,14472.16372752941,prefill,0,0,17
8,,,,,,,25,196.62206643999997,189.658041,261.4082425999998,315.0017601199999,0.0,20.402160440000003,176.219906,17451.020210040002,17647.64227648,prefill,0,0,25
9,,,,,,,24,201.80973595833333,192.6674815,258.65582359999996,310.31512347999995,0.0,25.67160025,176.13813570833335,17610.889987625,17812.699723583333,prefill,0,0,24
10,,,,,,,13,188.05942053846152,177.076361,232.72624219999994,259.18695883999993,0.0,20.37168253846154,167.687738,14843.667621461538,15031.727042,prefill,0,0,13
11,,,,,,,12,191.89402775,178.487522,265.1468877,288.96597354000005,0.0,23.953146916666668,167.94088083333335,13125.95823175,13317.8522595,prefill,0,0,12
12,,,,,,,15,192.3555936,181.558324,272.4825168,277.49189936,0.0,23.2870702,169.0685234,14747.107601466667,14939.463195066668,prefill,0,0,15
13,,,,,,,15,184.12213280000003,180.607688,204.89319709999995,233.58775221999997,0.0,13.887985666666665,170.23414713333332,15251.543461266667,15435.665594066668,prefill,0,0,15
14,,,,,,,15,184.42221353333335,176.474799,215.0208808999999,264.09189617999994,0.0,15.7990716,168.62314193333333,12886.605379866667,13071.0275934,prefill,0,0,15
15,,,,,,,14,175.76351321428572,175.199157,186.14421629999998,186.69167126,0.0,8.253524928571428,167.5099882857143,13578.609837857144,13754.373351071428,prefill,0,0,14
16,,,,,,,15,181.50968706666666,182.008873,187.8678893,189.04526186,0.0,12.064693066666667,169.444994,13540.926575399999,13722.436262466666,prefill,0,0,15
17,,,,,,,15,187.55996246666666,180.480086,227.64694569999986,293.8486443399999,0.0,19.658719933333334,167.90124253333335,14439.177751333335,14626.7377138,prefill,0,0,15
18,,,,,,,13,181.00713853846153,174.20255,211.51145939999992,241.58814947999994,0.0,13.918467615384616,167.08867092307693,12939.697245307692,13120.704383846154,prefill,0,0,13
19,,,,,,,13,185.63793315384615,175.777004,228.25126439999983,282.8438776799999,0.0,17.002568769230766,168.6353643846154,12940.306691384614,13125.944624538462,prefill,0,0,13
