gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,8,32,238.47264603125,200.5349235,379.6034368,397.36936351,47.895850125,189.09084215625,0,32,64000,20653,17748911,40709472210,40691723299,39979746393,711976906,98.25031517891625,1537
1,1,,,5,32,217.27067603125,186.84718700000002,326.0599451,354.69976639000004,42.65143746875,174.3185108125,0,32,64000,20121,17748911,40709472210,40691723299,38282714058,2409009241,94.07985446254324,1453
2,2,,,6,30,231.88797086666668,196.3620425,378.9283253499999,460.13995789000006,40.57245983333333,190.39559303333334,0,30,60000,19808,17748911,40709472210,40691723299,39444499723,1247223576,96.9349453036543,1540
3,3,,,2,30,190.93438049999997,185.731151,233.06273989999988,262.71818561000003,16.397442666666667,174.53693783333335,0,30,60000,19486,17748911,40709472210,40691723299,36115833601,4575889698,88.7547409472519,1351
4,4,,,2,30,212.68092603333332,189.88099649999998,327.77889374999995,341.76653351000004,38.5461194,174.1348066333333,0,30,60000,19827,17748911,40709472210,40691723299,36033530901,4658192398,88.5524818799835,1337
5,5,,,4,28,223.63245239285718,194.16673450000002,331.04349065,341.07877754,50.428963214285716,173.09784632142856,0,28,56000,18706,17748911,40709472210,40691723299,39075485669,1616237630,96.02809244984786,1569
6,6,,,3,28,217.01475489285718,189.3668935,364.40771149999995,390.4656666,34.217818785714286,182.64196582142856,0,28,56000,19138,17748911,40709472210,40691723299,36795812614,3895910685,90.42579087552248,1413
7,7,,,3,30,202.5035838666667,189.429734,295.31203055,320.34506681000005,27.988755366666666,174.33219473333332,0,30,60000,19134,17748911,40709472210,40691723299,37963431936,2728291363,93.29521794161259,1471
8,8,,,2,30,209.5171995,186.9127145,292.9524434999998,435.46873370000014,19.067088766666664,190.45011073333333,0,30,60000,19793,17748911,40709472210,40691723299,39343083375,1348639924,96.68571440415465,1535
9,9,,,5,30,207.2508755333333,185.8700925,321.59407614999986,348.07869751000004,32.3774613,174.24954673333332,0,30,60000,19087,17748911,40709472210,40691723299,38862183222,1829540077,95.50390121461147,1542
