window_index,window_start_ns,window_end_ns,window_duration_ns,time_since_start_s,gpu_id,instance_id,busy_time_ns,idle_time_ns,utilization_pct
0,17748911,1017748911,1000000000,0.0,0,0,704233773,295766227,70.4233773
0,17748911,1017748911,1000000000,0.0,1,1,818072836,181927164,81.8072836
0,17748911,1017748911,1000000000,0.0,2,2,376384559,623615441,37.638455900000004
0,17748911,1017748911,1000000000,0.0,3,3,848584252,151415748,84.8584252
0,17748911,1017748911,1000000000,0.0,4,4,578363698,421636302,57.8363698
0,17748911,1017748911,1000000000,0.0,5,5,836867875,163132125,83.68678750000001
0,17748911,1017748911,1000000000,0.0,6,6,468736820,531263180,46.873682
0,17748911,1017748911,1000000000,0.0,7,7,803249275,196750725,80.3249275
0,17748911,1017748911,1000000000,0.0,8,8,1000000000,0,100.0
0,17748911,1017748911,1000000000,0.0,9,9,520288655,479711345,52.0288655
1,1017748911,2017748911,1000000000,1.0,0,0,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,1,1,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,2,2,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,3,3,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,4,4,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,5,5,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,6,6,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,7,7,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,8,8,1000000000,0,100.0
1,1017748911,2017748911,1000000000,1.0,9,9,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,0,0,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,1,1,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,2,2,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,3,3,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,4,4,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,5,5,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,6,6,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,7,7,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,8,8,1000000000,0,100.0
2,2017748911,3017748911,1000000000,2.0,9,9,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,0,0,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,1,1,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,2,2,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,3,3,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,4,4,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,5,5,1000000000,0,100.0
3,3017748911,4017748911,1000000000,3.0,6,6,1000000000,0,100.0
