user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,1325.9271144166667,1143.4962620000001,2549.620955399999,3202.4927142800007,106.29370986163707,203.35045033333336,817.6035929166666,18645.899930333333,19971.65170933333,prefill,0,0,12
1,,,,,,,12,1651.0308815833332,1451.2550385,3274.498651549999,3814.5602215100007,106.21653654497041,162.63123575,816.23526075,22273.54840725,23924.429001333334,prefill,0,0,12
2,,,,,,,15,1630.4583145333334,1025.614002,3997.3353947999994,4269.65157656,85.03496788930966,127.10231073333334,825.8255890666667,19193.423513533333,20823.741559733335,prefill,0,0,15
3,,,,,,,15,2037.8752111333336,1969.494576,3819.5285957,3880.33795914,99.19717276197238,159.52293593333334,845.6179393333334,20855.586459466667,22893.301363933333,prefill,0,0,15
4,,,,,,,11,1348.0692413636366,1022.858939,2804.936519,3537.784297400001,96.56048776815491,173.80730836363637,834.8315176363636,20235.639962909092,21583.572579272728,prefill,0,0,11
5,,,,,,,11,1252.1302692727274,1062.664589,2017.4665445,2072.1528649,135.18468287541688,209.58796536363639,822.6143112727273,19643.934348454542,20895.87334272727,prefill,0,0,11
6,,,,,,,18,1676.2824380555555,1466.442486,3229.5106473999986,3972.4718990799984,129.82021133274162,188.2574227777778,836.2814061111112,20204.514908555557,21880.61366188889,prefill,0,0,18
7,,,,,,,17,1659.5895987058825,1479.843177,2853.872794,3254.4208995999998,137.45669435231468,164.89832182352941,813.5550838235293,20078.345690117647,21737.740799117644,prefill,0,0,17
8,,,,,,,25,1732.48299012,1573.514312,3374.617942799999,3589.1494185199995,136.03125316156215,167.36695763999998,804.63458028,22165.25620176,23897.52277788,prefill,0,0,25
9,,,,,,,24,1404.41308825,1107.5855495,2840.6745021999996,3160.33511811,123.99646595246548,220.09618475,829.7054476666666,21298.58590975,22702.798614666666,prefill,0,1,23
10,,,,,,,13,1646.5807555384613,1366.664847,2837.8395509999996,3004.9571909999995,81.77626501920801,265.8370916153846,882.1758533846154,22476.431045307694,24122.873073923078,prefill,0,0,13
11,,,,,,,12,1967.380074083333,1806.8293495,3497.514229299999,4196.7475658600015,141.6220487266272,260.35829375,858.7617378333334,19358.16055608333,21325.340246833333,prefill,0,0,12
12,,,,,,,15,1865.2944174,1533.976434,4163.2813079,4248.42554638,56.77229679731755,104.6423358,808.3103241333333,21775.0651942,23640.239381599997,prefill,0,0,15
13,,,,,,,15,2059.9059608000002,1759.758351,4353.694122599999,4691.764662119999,141.62204872662724,214.96529233333334,835.9601532666667,21938.509205733335,23998.2147832,prefill,0,0,15
14,,,,,,,15,1902.3272358666666,1678.157824,3629.9130862999996,3877.78897806,113.35937763463511,172.60433906666665,812.9380106,19553.615952066666,21455.762842933334,prefill,0,0,15
15,,,,,,,14,1469.1023803571427,1258.5555245,2681.3944487,3088.7691785399993,106.21653654497042,173.91175364285712,843.5129556428572,20268.23094307143,21737.18303592857,prefill,0,0,14
16,,,,,,,15,1681.8489014666666,1349.51589,3252.4595363999993,3750.2043464799995,99.1971727619724,141.70930106666665,835.0295876,20120.187626466668,21801.876221266666,prefill,0,0,15
17,,,,,,,15,1295.5726561333333,1057.982639,2460.5523001999995,2649.33113604,85.03496788930967,137.41389866666665,847.0403918,21763.2973426,23058.729730400002,prefill,0,0,15
18,,,,,,,13,1656.942298615385,1609.536061,2873.782241999999,3214.6349291999995,147.06905060072827,240.65616092307692,880.8822545384616,20103.572037846152,21760.306246076925,prefill,0,0,13
19,,,,,,,13,1471.257892,879.383709,3939.1326911999995,4015.17962064,81.84750192690032,94.539356,787.7189593076923,19854.925621,21326.021664923075,prefill,0,0,13
