user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,1401.6706664166668,1221.5033145,2579.191796399999,3260.977266480001,123.91929263579881,261.92186525,842.7297496666666,18550.06396491667,19951.559295916668,prefill,0,0,12
1,,,,,,,12,1636.9403169999998,1470.8296075,3331.024446649999,3926.355682930001,106.29370986163707,157.47097508333334,817.3008709166667,22165.473117916667,23802.2380995,prefill,0,0,12
2,,,,,,,15,1610.5803568666665,1025.614002,3963.7881247999994,4258.188018559999,84.97322923597632,124.99901946666667,825.5746327333334,18977.451760266667,20587.911887133334,prefill,0,0,15
3,,,,,,,15,2063.8780681333333,1751.206296,3859.5888403999998,3888.35000808,113.29763898130177,191.2304486,847.0683484,20771.198516133336,22834.916277599998,prefill,0,0,15
4,,,,,,,11,1313.0357174545459,1007.507329,2790.325455,3550.4319958000005,77.33257928725122,135.1389287272727,836.5644512727273,20579.42760318182,21892.326695636362,prefill,0,0,11
5,,,,,,,11,1180.1245406363637,1023.66101,1839.872289,1860.0529818,96.6446768408822,209.81147572727272,844.0498214545455,19394.252036909093,20574.212627545458,prefill,0,0,11
6,,,,,,,18,1658.9952513888884,1471.9021875,3241.3905573499983,3981.3783138699982,106.21653654497042,170.89650866666665,822.5997621111112,20352.61500261111,22011.4599665,prefill,0,0,18
7,,,,,,,17,1774.2727216470587,1673.500638,2985.876706399999,3832.0051428799998,149.95275747525238,233.89471158823528,862.0214987058823,20434.344704941177,22208.405256,prefill,0,0,17
8,,,,,,,25,1757.5450933599998,1779.661817,3204.502232,3700.1551274799986,127.60801662196452,155.53782303999998,802.94375128,22039.338011840002,23796.6546682,prefill,0,0,25
9,,,,,,,24,1393.419877,1040.4423995,2845.9935502499993,3271.98292865,132.8478439978797,205.09429208333336,830.1958493333334,21131.973142125,22525.18011183333,prefill,0,1,23
10,,,,,,,13,1583.3296823846154,1367.599454,2973.074986199999,3302.4751484399994,114.38703935612199,211.72826676923077,884.5744693076923,22676.322478923077,24259.49031323077,prefill,0,0,13
11,,,,,,,12,1829.5625536666666,1731.7205125,3480.3132287999983,4291.913549760001,123.99646595246547,206.33117475,812.6202758333334,19680.464370083333,21509.826540416667,prefill,0,0,12
12,,,,,,,15,2050.3991562,1526.718405,4306.8181157,4351.9839855400005,85.03496788930967,183.78116466666665,843.3835594,21955.698290599998,24005.957178466666,prefill,0,0,15
13,,,,,,,15,2035.4907958000001,1746.455719,4411.1329076,4621.02912392,113.48285494130178,158.64159493333335,818.7947174666667,21903.5578614,23938.828235533332,prefill,0,0,15
14,,,,,,,15,1938.9471964666666,1676.886542,3875.5254445999985,4581.877738519999,127.45984385396451,181.35712146666665,814.0770932,19673.963004133337,21612.7298556,prefill,0,0,15
15,,,,,,,14,1456.4731937142858,1256.6437325,2713.27089,2922.1207155999996,106.28268510211326,133.63830185714286,801.7993314285715,19740.95483007143,21197.256266642857,prefill,0,0,14
16,,,,,,,15,1777.9701436000003,1599.991092,3414.4764087999993,3876.1111913599993,127.52158250729782,153.0609008,816.8941699333333,20127.653720733335,21905.423481,prefill,0,0,15
17,,,,,,,15,1288.8731612,1120.381977,2349.7949060999995,2635.5603004199997,99.13543410863906,142.47784506666667,863.205129,21609.988079533334,22898.720972400002,prefill,0,0,15
18,,,,,,,13,1562.5718243846156,1293.696595,2851.826831399999,3210.464164679999,114.52951317150661,148.84707015384615,857.4425091538461,20444.818272,22007.182006,prefill,0,0,13
19,,,,,,,13,1604.8632247692308,990.705252,4507.2307606,4507.34312332,65.43525939690487,104.39238753846153,810.1129666153846,20307.854362384616,21912.601981384618,prefill,0,0,13
