user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,1091.0927486666667,996.9589735,1632.0126310999997,1807.3729230200001,0.0,158.45758541666666,932.63516325,27699.915562083333,28791.00831075,prefill,0,0,12
1,,,,,,,12,966.8793837499999,881.9377755,1371.58671895,1436.8751645900002,0.0,62.243807833333335,904.6355759166667,35520.35826566666,36487.23764941667,prefill,0,0,12
2,,,,,,,15,968.6872933999998,850.721834,1515.3158121,1581.8265176199998,14.162204872662723,80.80091413333334,874.8264184666667,29119.20881233333,30087.8760674,prefill,0,0,15
3,,,,,,,15,934.7696519333332,883.265598,1240.6314439,1273.18800878,14.162204872662723,64.28073426666667,859.7111771333333,31338.5869614,32273.336575,prefill,0,0,15
4,,,,,,,11,961.1807337272727,878.276317,1318.175992,1407.826248,0.0,84.94427972727273,876.236454,31457.54733181818,32418.728065545456,prefill,0,0,11
5,,,,,,,11,965.6757172727273,905.638375,1263.548452,1360.3324688000002,0.0,73.99550236363636,891.6802149090909,31279.55697581818,32245.232693090908,prefill,0,0,11
6,,,,,,,18,845.9023812777777,829.371944,1000.1103897999994,1219.3387531599994,0.0,24.330886055555556,821.5714952222222,33286.115284555555,34132.01766583333,prefill,0,0,18
7,,,,,,,17,1006.2245097058823,926.633549,1362.5671828,1460.93552776,50.03872777410373,124.97829364705883,880.8369547647059,31830.99136647059,32837.1274717647,prefill,0,0,17
8,,,,,,,25,1008.13495856,927.936812,1550.5094327999993,1763.1150060799996,25.603098346792898,122.59053872,884.27940624,35942.8726212,36950.935441760004,prefill,0,0,25
9,,,,,,,24,993.5292664166667,912.043499,1502.4627160999996,1535.5732957100001,26.631307452909272,105.50642325,887.8302725,35131.27172,36124.738366625,prefill,0,0,24
10,,,,,,,13,996.0398783076924,976.335513,1177.2015051999997,1240.3523994399998,0.0712369076923077,78.90419815384615,917.0857546153845,35797.24721423077,36793.263971384615,prefill,0,0,13
11,,,,,,,12,1064.24402175,971.9727800000001,1429.3636669,1474.56690938,53.10826827248522,144.05123633333335,919.4950845,32067.78042825,33131.94930625,prefill,0,0,12
12,,,,,,,15,933.0631308666668,855.266769,1396.6016395999998,1477.56719672,14.223943525996058,56.72192606666667,876.1048514666667,32971.31976506666,33904.34281926667,prefill,0,0,15
13,,,,,,,15,950.3288117333335,884.927198,1453.8241351999998,1532.0388446399998,28.447887051992115,61.42871986666667,888.7284447999999,32940.98785426666,33891.23651266667,prefill,0,0,15
14,,,,,,,15,1017.7145856000002,922.587474,1434.4849998,1460.98871676,42.486614617988174,113.31547986666666,904.1858915333333,31269.718684400003,32287.373155,prefill,0,0,15
15,,,,,,,14,875.0490545714285,828.311293,1196.07626035,1296.2351248699997,0.06614855714285714,38.40955892857143,836.5932267142857,29677.025012357142,30552.052597285714,prefill,0,0,14
16,,,,,,,15,970.2841939333334,879.163452,1287.9001101,1343.83130682,14.223943525996058,53.462912,898.7880285333333,30418.86701833333,31389.1111356,prefill,0,0,15
17,,,,,,,15,945.6950089999998,858.562052,1285.6891254999996,1504.4268587,14.162204872662723,86.54251946666668,859.1081494,33652.6495086,34598.324479266674,prefill,0,0,15
18,,,,,,,13,943.1367194615384,882.291424,1287.7599259999993,1516.4459515999995,0.0712369076923077,79.93240769230769,863.1533892307692,29665.296909615383,30608.410507923076,prefill,0,0,13
19,,,,,,,13,1018.0066143846154,832.664415,1671.6981099999996,1826.2262955999997,0.0712369076923077,17.716272153846152,866.2867345384616,30217.74703846154,31235.730531692305,prefill,0,0,13
