gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,13,31,3731.3586510322575,4219.321705,7578.4788555,7929.5506328,154.9552435483871,1075.5548091935484,0,31,248000,20498,17748911,112267415558,112249666647,109884615336,2365051311,97.89304379990939,3265
1,1,,,14,33,3416.7115280606063,3587.100085,7014.71538,7829.0828902,50.92073493939394,1048.0526657272728,0,33,264000,20504,17748911,112267415558,112249666647,110061035574,2188631073,98.05021151654485,3171
2,2,,,14,28,3537.060712392857,3817.626901,6098.567386049999,7561.257986900001,41.50094475,1043.3144399285716,0,28,224000,18384,17748911,112267415558,112249666647,101588535211,10661131436,90.50230459077721,3104
3,3,,,11,28,3349.7976586071427,3489.859727,6699.06766925,7495.57623597,21.983014892857142,1020.1028917142858,0,28,224000,19008,17748911,112267415558,112249666647,103891433591,8358233056,92.55389053200062,3199
4,4,,,14,31,3631.200060225806,4007.444324,7038.8206855,7807.464773399999,108.3805300967742,1061.9444757096774,0,31,248000,20915,17748911,112267415558,112249666647,107002034639,5247632008,95.32503555266439,3079
5,5,,,14,29,3583.52138286207,3706.220768,7014.392923199996,7683.63612904,120.88976010344827,1078.4168466896551,0,29,232000,18703,17748911,112267415558,112249666647,102708038263,9541628384,91.49963766573465,3094
6,6,,,17,30,3627.613977033334,4072.26101,6609.70506365,7922.8162778800015,62.08385693333333,1050.1368655666668,0,30,240000,19318,17748911,112267415558,112249666647,107434772545,4814894102,95.71054930867477,3273
7,7,,,15,29,3570.818922931034,4216.760302,6251.3885978,6616.12809124,127.70672,1090.0139304827585,0,29,232000,19268,17748911,112267415558,112249666647,103034285599,9215381048,91.79028203533085,3076
8,8,,,16,30,3483.690535733334,3797.3212329999997,6356.569519249999,7999.087332930003,83.03189243333334,1057.8803077999999,0,30,240000,19637,17748911,112267415558,112249666647,110976396066,1273270581,98.86567985542072,3469
9,9,,,14,31,3966.5841642258056,4440.498199,7293.5355715000005,7982.7812375,117.33220570967741,1070.400607580645,0,31,248000,19518,17748911,112267415558,112249666647,108142070082,4107596565,96.34066034430421,3260
