gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,13,30,3679.2855440999997,4562.267567,6800.050280549996,7935.6479176600005,168.79542930000002,1077.1840532,0,30,240000,19839,17748911,113286276399,113268527488,109090255780,4178271708,96.31118034226881,3328
1,1,,,15,32,3276.4379689375,3703.2399355,6094.51648005,7297.2918208400015,65.6745301875,1055.7645169375,0,32,256000,19512,17748911,113286276399,113268527488,105101453441,8167074047,92.78963518982336,3017
2,2,,,14,28,3584.185466892857,3942.549108,6430.2300341499995,7513.9650040100005,35.47788660714286,1031.9583,0,28,224000,18394,17748911,113286276399,113268527488,101905352571,11363174917,89.96793269144966,3125
3,3,,,14,29,3396.49606162069,3577.353265,6514.1611349999985,7431.381234679999,17.929147275862068,1022.4300690344827,0,29,232000,19523,17748911,113286276399,113268527488,103782588282,9485939206,91.62526483183515,3090
4,4,,,13,31,3631.4930965161293,3820.582039,7418.047598,8009.2095653999995,108.48348151612903,1058.842309032258,0,31,248000,21228,17748911,113286276399,113268527488,108237642536,5030884952,95.55844411190655,3129
5,5,,,13,30,3574.2950900666674,3897.315595,6493.5015567,7398.798937790001,117.38952986666666,1075.8148446333335,0,30,240000,19431,17748911,113286276399,113268527488,108236092687,5032434801,95.55707581566897,3317
6,6,,,13,30,3802.374100900001,4365.1399965,6867.746959199999,7536.35333108,166.60435923333333,1068.4208632333334,0,30,240000,19455,17748911,113286276399,113268527488,109018393110,4250134378,96.24773582542576,3357
7,7,,,15,29,3429.848331931034,3639.666848,6251.783844999999,7706.941116439997,40.282240586206896,1037.4647046551725,0,29,232000,19361,17748911,113286276399,113268527488,107897834049,5370693439,95.25844154761437,3366
8,8,,,12,30,3501.7218637666674,3873.3836315,6548.386578949998,7831.457146270001,79.51347723333333,1045.6883905,0,30,240000,19659,17748911,113286276399,113268527488,109146890312,4121637176,96.3611805791007,3360
9,9,,,12,31,3730.646753354839,3918.351566,7438.2406200000005,7997.1339092,68.83818125806452,1049.1673281935484,0,31,248000,19351,17748911,113286276399,113268527488,104966069080,8302458408,92.67011005428706,3091
