user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,3142.4718907499996,2025.4757224999998,5927.686197399999,6213.67123388,0.2605725,176.06038525,1151.2341321666668,31868.817570666666,35011.164221833336,prefill,0,1,11
1,,,,,,,12,1763.12349625,1219.343504,4086.8578847999993,4431.42194816,0.0521145,112.92149416666668,1159.9747335833333,41988.36492925,43751.463377583335,prefill,0,0,12
2,,,,,,,15,2840.192364266667,1229.753995,6948.5757393,7071.42216706,0.16676639999999998,173.5484308,1099.6336322666666,33327.980740733336,36168.092951666666,prefill,0,0,15
3,,,,,,,15,3051.4590986666667,1466.428643,6728.462089399998,7385.9337394799995,0.208458,55.8916024,1126.1520362,35867.16115426667,38918.52006126667,prefill,0,0,15
4,,,,,,,11,2377.428797909091,1176.525584,5470.3167765,5538.2108817,0.2842609090909091,31.764642363636362,1064.7570174545456,37123.07986018182,39500.37203309091,prefill,0,0,11
5,,,,,,,11,3139.6054620909085,1777.000732,5949.6208885,5965.9015465,0.2842609090909091,84.84540027272726,1122.513559090909,35863.12344163636,39002.59227872727,prefill,0,0,11
6,,,,,,,18,1839.109542833333,1108.8634315,5632.36259405,5680.18463241,0.138972,22.38172833333333,1069.5514961666665,38352.18168533334,40191.22443372222,prefill,0,0,18
7,,,,,,,17,3602.3406974705886,3285.571669,6405.927597799999,7246.19861156,0.2575069411764706,33.16299794117647,1086.3763415294118,36075.547200529414,39677.76413182353,prefill,0,0,17
8,,,,,,,25,2183.5348497600003,1129.86532,6252.583726399998,7242.630845279998,0.30017952000000003,22.36929408,1088.478944,41937.2008138,44120.591387559994,prefill,0,0,25
9,,,,,,,24,2208.5663698333333,1283.249344,6436.858602149997,6761.496226859999,0.312687,69.93937129166667,1108.4297007083333,40281.02043779167,42489.436520125,prefill,0,0,24
10,,,,,,,13,3078.331050384615,1478.905875,6592.337019799999,6830.843961559999,0.14431707692307694,91.94412315384616,1188.0719099230769,42039.41498169231,45117.676668615386,prefill,0,0,13
11,,,,,,,12,2837.9301119166666,1312.534574,6681.665939499999,7225.444827900001,0.2605725,56.82201966666666,1098.4166448333333,36285.872962166664,39123.6778345,prefill,0,0,12
12,,,,,,,15,2631.2886103333335,1316.482159,6725.234677899999,7287.62339318,0.16676639999999998,58.36263346666667,1111.2475608666666,39487.71426213333,42118.922719133334,prefill,0,0,15
13,,,,,,,15,3474.494782666666,3377.331383,7349.052026,7409.5687788,0.33353279999999996,62.0953426,1105.6252183333334,38519.44194573333,41993.77642173333,prefill,0,0,15
14,,,,,,,15,2742.046563666667,1255.417434,7246.6125309,7635.142240579999,0.208458,79.94681326666667,1115.2045282000001,35417.0924276,38159.0387996,prefill,0,0,15
15,,,,,,,14,2496.913598,1127.0127745,5749.7267937999995,6163.407608359999,0.22334785714285713,18.2211115,1046.5826702857144,35089.81645871429,37586.6227085,prefill,0,0,14
16,,,,,,,15,3470.900720266667,2673.255296,6888.6478816,7022.31445632,0.208458,69.95350886666667,1122.1075962,36788.532034,40259.3325626,prefill,0,0,15
17,,,,,,,15,2129.6803146666666,1223.448292,5346.739199899998,6201.427099979999,0.208458,58.74256706666667,1063.972052,40267.0568066,42396.6369296,prefill,0,0,15
18,,,,,,,13,2938.0640373076926,1171.853792,5868.0490052,6053.965366639999,0.2886341538461539,22.545586307692307,1066.7123453846154,36178.12856807692,39116.05387846154,prefill,0,0,13
19,,,,,,,13,2712.1282487692306,1333.074878,7549.627046399999,7710.71883888,0.19242276923076923,61.81189392307692,1107.3370373846153,36846.485234384614,39558.52099853846,prefill,0,0,13
