user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,1,504.981685,504.981685,504.981685,504.981685,0.0,6.217011,498.764674,4820.846315,5325.828,prefill,0,0,1
1,,,,,,,1,406.562424,406.562424,406.562424,406.562424,0.0,17.512407,389.050017,6510.926417,6917.488841,prefill,0,0,1
2,,,,,,,2,664.7616909999999,664.7616909999999,674.2948402,675.14223124,0.0,120.063511,544.69818,10531.384026,11196.145717,prefill,0,0,2
3,,,,,,,2,508.3431195,508.3431195,522.51414015,523.77378643,239.890571456213,279.3452,227.709993,18404.1495075,18912.3423395,queueing,0,1,1
4,,,,,,,10,720.743681,796.0960625,1236.9883674499997,1356.91246709,314.5256653262722,326.80291919999996,391.8965303,9948.1599839,10668.6932624,prefill,0,2,8
5,,,,,,,6,575.0521513333332,620.6071175,894.976332,918.3966888,227.3497914988166,240.54145866666667,329.6204423333333,4262.818647,4837.670415,prefill,0,1,5
6,,,,,,,2,364.21232050000003,364.21232050000003,424.80408385,430.19001836999996,0.0,84.332511,279.8798095,13396.911871,13761.1241915,prefill,0,0,2
7,,,,,,,2,567.087446,567.087446,597.7826587999999,600.5111221599999,0.0,179.578153,387.509293,18066.667955,18633.755401,prefill,0,0,2
8,,,,,,,2,309.550957,309.550957,484.29865149999995,499.83177989999996,0.0,9.482306,300.068651,10502.258652,10811.809609,prefill,0,0,2
9,,,,,,,3,197.00024299999998,156.054718,357.34959369999996,375.24247154,0.0,5.060106333333333,191.94013666666666,11823.498216,12020.498459,prefill,0,0,3
10,,,,,,,2,325.704695,325.704695,505.1396444,521.08941768,0.0,13.940625,311.76407,13293.282552,13618.987247,prefill,0,0,2
11,,,,,,,1,563.351375,563.351375,563.351375,563.351375,0.0,0.73688,562.614495,2335.587349,2898.938724,prefill,0,0,1
12,,,,,,,2,256.5929165,256.5929165,423.04978895,437.84595539000003,0.0,10.177248,246.4156685,8225.244308,8481.8372245,prefill,0,0,2
13,,,,,,,1,880.947624,880.947624,880.947624,880.947624,0.0,1.51794,879.429684,9819.592898,10700.540522,prefill,0,0,1
14,,,,,,,1,450.516118,450.516118,450.516118,450.516118,0.0,9.529053,440.987065,20003.248918,20453.765036,prefill,0,0,1
35,,,,,,,1,544.402771,544.402771,544.402771,544.402771,0.0,16.600388,527.802383,7882.652181,8427.054952,prefill,0,0,1
36,,,,,,,1,665.643236,665.643236,665.643236,665.643236,0.0,18.703023,646.940213,3601.81044,4267.453676,prefill,0,0,1
37,,,,,,,3,209.55940533333333,73.942277,448.24295659999996,481.51412812,0.0,6.362700333333333,203.196705,6095.444282666667,6305.003688,prefill,0,0,3
38,,,,,,,4,197.8181285,139.5906635,358.7432419499999,387.93479558999996,0.0,5.492034,192.3260945,14058.90042225,14256.71855075,prefill,0,0,4
39,,,,,,,1,432.950933,432.950933,432.950933,432.950933,0.0,14.413202,418.537731,10747.968786,11180.919719,prefill,0,0,1
40,,,,,,,1,1195.758722,1195.758722,1195.758722,1195.758722,495.0104474213017,518.313028,676.814676,9866.075176,11061.533323,prefill,0,0,1
