gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,19,30,476.20539433333335,474.602983,1050.3210327499994,1450.0187815900003,101.42668806666666,374.32122903333334,0,30,218036,11898,888374625,73855170083,72966795458,67635525048,5331270410,92.69356646878003,2603
1,1,,,18,29,515.3438448620689,436.531687,1221.6358601999998,1330.27215932,161.45918151724138,352.23882158620694,0,29,219347,10657,888374625,73855170083,72966795458,64701820134,8264975324,88.67296381577103,2570
2,2,,,18,31,487.73838099999995,457.621835,921.9380415,939.2929585999999,124.23253270967741,361.6230393225806,0,31,223440,10683,888374625,73855170083,72966795458,67070456637,5896338821,91.91914790283758,2711
3,3,,,20,25,629.77707276,611.913604,1127.3236084,1283.8511373199997,159.1021244,469.3780626,0,25,185432,10823,888374625,73855170083,72966795458,66869870877,6096924581,91.64424784899671,2625
4,4,,,20,34,426.30247385294115,440.2801975,978.8462127499998,1038.4232336700002,66.47146905882353,359.83100479411763,0,34,250754,12058,888374625,73855170083,72966795458,64268248228,8698547230,88.07875942008866,2353
5,5,,,19,30,619.2166723333333,600.5693665,1083.9238061499998,1181.8444374100002,195.37124963333332,422.68913996666663,0,30,223418,11107,888374625,73855170083,72966795458,59871334753,13095460705,82.05284935044487,2220
6,6,,,26,35,623.713166457143,614.09512,1112.9529679,1199.2344896999996,176.3752844,445.5326493428571,0,35,271519,10241,888374625,73855170083,72966795458,63890826040,9075969418,87.5615074486529,2268
7,7,,,17,24,550.8441975416666,455.6536135,1073.24056785,1326.5507660699998,143.25018820833336,406.95981125,0,24,165560,12115,888374625,73855170083,72966795458,65994851745,6971943713,90.44504603876557,2636
8,8,,,17,32,400.59835365624997,430.386037,792.1709529999998,1005.49741084,63.17155334375,337.3036371875,0,32,231754,11361,888374625,73855170083,72966795458,60714590839,12252204619,83.20852033847036,2313
9,9,,,18,30,512.2312498666668,437.688012,1400.0046385499998,1625.6060892600003,124.74372883333332,386.5253938,0,30,224158,11025,888374625,73855170083,72966795458,63008675374,9958120084,86.35253196814442,2382
