gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,24,31,70.029066,66.082301,126.160452,133.6917997,12.60658835483871,57.422477645161294,0,31,29262,20006,17748911,73495865450,73478116539,67872186589,5605929950,92.37061289258205,3615
1,1,,,25,27,79.6081104074074,60.619562,187.08427979999996,222.74487005999995,11.96012274074074,67.64798766666667,0,27,30835,17517,17748911,73495865450,73478116539,64913980079,8564136460,88.34464346203755,3439
2,2,,,20,21,69.19770509523809,57.215426,140.540436,170.76296320000003,10.510222952380952,58.68748214285714,0,21,19613,14329,17748911,73495865450,73478116539,67990517502,5487599037,92.53165527985826,3731
3,3,,,33,34,59.784638088235305,50.261673,110.3429288999999,141.1040901,9.362295764705882,50.42234232352941,0,34,26001,22157,17748911,73495865450,73478116539,69895429319,3582687220,95.1241439101145,3761
4,4,,,44,47,60.89904282978724,56.997324,101.44872729999997,116.40923314,8.343138936170213,52.55590389361702,0,47,37412,30146,17748911,73495865450,73478116539,68572433111,4905683428,93.32361298973115,3538
5,5,,,23,25,63.239166839999996,64.225302,95.40030139999999,108.25040351999998,9.647846640000001,53.591320200000006,0,25,21167,16042,17748911,73495865450,73478116539,70237242109,3240874430,95.58933382801145,3868
6,6,,,25,27,64.86573648148149,64.105518,94.0780239,109.06391015999998,8.470782962962963,56.39495351851851,0,27,22964,18063,17748911,73495865450,73478116539,63267035278,10211081261,86.10323489228216,3407
7,7,,,25,27,60.4749911111111,55.455224,105.2804108,151.1564521999999,10.212613518518518,50.26237759259259,0,27,21859,17505,17748911,73495865450,73478116539,68446700374,5031416165,93.15249709438392,3732
8,8,,,30,33,58.06357527272726,50.78351,94.47609299999998,141.69809207999998,8.990794424242424,49.072780848484854,0,33,24516,21661,17748911,73495865450,73478116539,72263231951,1214884588,98.34660352602373,3911
9,9,,,23,28,61.52330996428572,52.766146000000006,110.75125059999999,112.55836665000001,8.612886857142856,52.91042310714286,0,28,23610,18327,17748911,73495865450,73478116539,63598905531,9879211008,86.55489352022734,3425
