window_index,window_start_ns,window_end_ns,window_duration_ns,time_since_start_s,gpu_id,instance_id,busy_time_ns,idle_time_ns,utilization_pct
0,888374625,1888374625,1000000000,0.0,0,0,293919679,706080321,29.391967899999997
0,888374625,1888374625,1000000000,0.0,1,1,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,2,2,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,3,3,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,4,4,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,5,5,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,6,6,0,1000000000,0.0
0,888374625,1888374625,1000000000,0.0,7,7,1000000000,0,100.0
0,888374625,1888374625,1000000000,0.0,8,8,366649178,633350822,36.664917800000005
0,888374625,1888374625,1000000000,0.0,9,9,0,1000000000,0.0
1,1888374625,2888374625,1000000000,1.0,0,0,1000000000,0,100.0
1,1888374625,2888374625,1000000000,1.0,1,1,862009263,137990737,86.2009263
1,1888374625,2888374625,1000000000,1.0,2,2,0,1000000000,0.0
1,1888374625,2888374625,1000000000,1.0,3,3,0,1000000000,0.0
1,1888374625,2888374625,1000000000,1.0,4,4,622619840,377380160,62.261984000000005
1,1888374625,2888374625,1000000000,1.0,5,5,0,1000000000,0.0
1,1888374625,2888374625,1000000000,1.0,6,6,37213737,962786263,3.7213736999999996
1,1888374625,2888374625,1000000000,1.0,7,7,1000000000,0,100.0
1,1888374625,2888374625,1000000000,1.0,8,8,1000000000,0,100.0
1,1888374625,2888374625,1000000000,1.0,9,9,0,1000000000,0.0
2,2888374625,3888374625,1000000000,2.0,0,0,1000000000,0,100.0
2,2888374625,3888374625,1000000000,2.0,1,1,666068287,333931713,66.6068287
2,2888374625,3888374625,1000000000,2.0,2,2,0,1000000000,0.0
2,2888374625,3888374625,1000000000,2.0,3,3,0,1000000000,0.0
2,2888374625,3888374625,1000000000,2.0,4,4,1000000000,0,100.0
2,2888374625,3888374625,1000000000,2.0,5,5,0,1000000000,0.0
2,2888374625,3888374625,1000000000,2.0,6,6,1000000000,0,100.0
2,2888374625,3888374625,1000000000,2.0,7,7,1000000000,0,100.0
2,2888374625,3888374625,1000000000,2.0,8,8,215947079,784052921,21.5947079
2,2888374625,3888374625,1000000000,2.0,9,9,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,0,0,1000000000,0,100.0
3,3888374625,4888374625,1000000000,3.0,1,1,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,2,2,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,3,3,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,4,4,1000000000,0,100.0
3,3888374625,4888374625,1000000000,3.0,5,5,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,6,6,1000000000,0,100.0
3,3888374625,4888374625,1000000000,3.0,7,7,1000000000,0,100.0
3,3888374625,4888374625,1000000000,3.0,8,8,0,1000000000,0.0
3,3888374625,4888374625,1000000000,3.0,9,9,0,1000000000,0.0
4,4888374625,5888374625,1000000000,4.0,0,0,1000000000,0,100.0
4,4888374625,5888374625,1000000000,4.0,1,1,0,1000000000,0.0
4,4888374625,5888374625,1000000000,4.0,2,2,383053378,616946622,38.3053378
4,4888374625,5888374625,1000000000,4.0,3,3,0,1000000000,0.0
4,4888374625,5888374625,1000000000,4.0,4,4,1000000000,0,100.0
4,4888374625,5888374625,1000000000,4.0,5,5,0,1000000000,0.0
4,4888374625,5888374625,1000000000,4.0,6,6,1000000000,0,100.0
4,4888374625,5888374625,1000000000,4.0,7,7,1000000000,0,100.0
4,4888374625,5888374625,1000000000,4.0,8,8,0,1000000000,0.0
4,4888374625,5888374625,1000000000,4.0,9,9,0,1000000000,0.0
5,5888374625,6888374625,1000000000,5.0,0,0,1000000000,0,100.0
5,5888374625,6888374625,1000000000,5.0,1,1,430208515,569791485,43.0208515
5,5888374625,6888374625,1000000000,5.0,2,2,1000000000,0,100.0
5,5888374625,6888374625,1000000000,5.0,3,3,0,1000000000,0.0
5,5888374625,6888374625,1000000000,5.0,4,4,1000000000,0,100.0
5,5888374625,6888374625,1000000000,5.0,5,5,0,1000000000,0.0
5,5888374625,6888374625,1000000000,5.0,6,6,1000000000,0,100.0
5,5888374625,6888374625,1000000000,5.0,7,7,1000000000,0,100.0
5,5888374625,6888374625,1000000000,5.0,8,8,0,1000000000,0.0
5,5888374625,6888374625,1000000000,5.0,9,9,0,1000000000,0.0
6,6888374625,7888374625,1000000000,6.0,0,0,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,1,1,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,2,2,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,3,3,903075419,96924581,90.3075419
6,6888374625,7888374625,1000000000,6.0,4,4,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,5,5,0,1000000000,0.0
6,6888374625,7888374625,1000000000,6.0,6,6,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,7,7,1000000000,0,100.0
6,6888374625,7888374625,1000000000,6.0,8,8,0,1000000000,0.0
6,6888374625,7888374625,1000000000,6.0,9,9,666573952,333426048,66.6573952
7,7888374625,8888374625,1000000000,7.0,0,0,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,1,1,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,2,2,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,3,3,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,4,4,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,5,5,0,1000000000,0.0
7,7888374625,8888374625,1000000000,7.0,6,6,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,7,7,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,8,8,0,1000000000,0.0
7,7888374625,8888374625,1000000000,7.0,9,9,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,0,0,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,1,1,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,2,2,1000000000,0,100.0
