gpu_id,instance_id,gpu_x_m,gpu_y_m
0,0,331.66247903554,414.578098794425
1,1,994.9874371066201,414.578098794425
2,2,1658.3123951777002,414.578098794425
3,3,2321.63735324878,414.578098794425
4,4,2984.96231131986,414.578098794425
5,5,331.66247903554,1243.734296383275
6,6,994.9874371066201,1243.734296383275
7,7,1658.3123951777002,1243.734296383275
8,8,2321.63735324878,1243.734296383275
9,9,2984.96231131986,1243.734296383275
10,10,331.66247903554,2072.890493972125
11,11,994.9874371066201,2072.890493972125
12,12,1658.3123951777002,2072.890493972125
13,13,2321.63735324878,2072.890493972125
14,14,2984.96231131986,2072.890493972125
15,15,331.66247903554,2902.046691560975
16,16,994.9874371066201,2902.046691560975
17,17,1658.3123951777002,2902.046691560975
18,18,2321.63735324878,2902.046691560975
19,19,2984.96231131986,2902.046691560975
