gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,114.0175425099138,285.0438562747845,1,1,181.471747,181.471747,181.471747,181.471747,0.035359,180.404502,0,1,3070,632,59237019,11421931765,11362694746,10980820224,381874522,96.639225724739,632
1,1,342.0526275297414,285.0438562747845,1,1,184.694287,184.694287,184.694287,184.694287,0.0,183.627623,0,1,3181,198,59237019,11421931765,11362694746,3554313445,7808381301,31.280550295969377,198
2,2,570.087712549569,285.0438562747845,0,0,,,,,,,0,0,0,0,59237019,11421931765,11362694746,0,11362694746,0.0,0
3,3,798.1227975693967,285.0438562747845,1,1,312.741578,312.741578,312.741578,312.741578,0.039959,310.992323,0,1,5191,197,59237019,11421931765,11362694746,3704892763,7657801983,32.60575810420526,198
4,4,1026.1578825892243,285.0438562747845,0,0,,,,,,,0,0,0,0,59237019,11421931765,11362694746,0,11362694746,0.0,0
5,5,114.0175425099138,855.1315688243535,0,0,,,,,,,0,0,0,0,59237019,11421931765,11362694746,0,11362694746,0.0,0
6,6,342.0526275297414,855.1315688243535,1,1,171.037815,171.037815,171.037815,171.037815,0.078471,169.947412,0,1,3009,229,59237019,11421931765,11362694746,4068752716,7293942030,35.80799103515756,229
7,7,570.087712549569,855.1315688243535,1,1,195.660834,195.660834,195.660834,195.660834,0.005066,194.533012,0,1,3351,475,59237019,11421931765,11362694746,8313408144,3049286602,73.16405421281394,475
8,8,798.1227975693967,855.1315688243535,0,0,,,,,,,0,0,0,0,59237019,11421931765,11362694746,0,11362694746,0.0,0
9,9,1026.1578825892243,855.1315688243535,0,0,,,,,,,0,0,0,0,59237019,11421931765,11362694746,0,11362694746,0.0,0
