user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,28.257862311557115,788.6419844528198,1.0,5e-05,5,108.51537945205608,0,,,,,,,,,,,0,0,0
1,642.7399422375724,127.42306786357035,1.0,5e-05,2,173.55880680049387,0,,,,,,,,,,,0,0,0
2,1003.1060705148451,403.8365714351545,1.0,5e-05,4,121.0086576038479,0,,,,,,,,,,,0,0,0
3,1064.6886881057974,18.248226707968307,1.0,5e-05,4,269.56359347973864,0,,,,,,,,,,,0,0,0
4,432.81459231565356,848.2397640269236,1.0,5e-05,6,91.02324552093842,0,,,,,,,,,,,0,0,0
5,689.9727587560387,102.01856789141299,1.0,5e-05,3,212.59042095811168,0,,,,,,,,,,,0,0,0
6,366.0339636313196,808.9004776731934,1.0,5e-05,6,52.08088200331986,0,,,,,,,,,,,0,0,0
7,1120.796659470087,762.3157755987179,1.0,5e-05,9,132.5566654740894,0,,,,,,,,,,,0,0,0
8,288.15201625829616,69.3522258443957,1.0,5e-05,1,222.32443710297542,0,,,,,,,,,,,0,0,0
9,883.8522191882488,1049.5258266295837,1.0,5e-05,8,212.45861055450115,0,,,,,,,,,,,0,0,0
10,476.69545944741975,26.85432052214165,1.0,5e-05,2,274.56137621971004,0,,,,,,,,,,,0,0,0
11,918.7833961372955,153.85416269657742,1.0,5e-05,4,169.52880593562648,0,,,,,,,,,,,0,0,0
12,615.9196832705144,660.5894605840408,1.0,5e-05,7,199.86795996044773,0,,,,,,,,,,,0,0,0
13,680.1384395218233,130.4895898038458,1.0,5e-05,2,189.7318734200756,0,,,,,,,,,,,0,0,0
14,51.878633665510236,851.2458384636888,1.0,5e-05,5,62.260283430200396,0,,,,,,,,,,,0,0,0
15,316.8144600179253,839.8016390615636,1.0,5e-05,6,29.529169407326087,0,,,,,,,,,,,0,0,0
16,940.6624878964172,1131.5071443454342,1.0,5e-05,9,289.29728871575594,0,,,,,,,,,,,0,0,0
17,166.56228224641686,1011.0633909821545,1.0,5e-05,5,164.5469016281647,0,,,,,,,,,,,0,0,0
