arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.010000000
1: no_redirect,17.105894000,0.013333333
1: no_redirect,17.146716000,0.016666667
1: no_redirect,17.154210000,0.020000000
1: no_redirect,17.941923000,0.023333333
1: no_redirect,18.039037000,0.026666667
1: no_redirect,18.039383000,0.030000000
1: no_redirect,18.108625000,0.033333333
1: no_redirect,18.375106000,0.036666667
1: no_redirect,18.435055000,0.040000000
1: no_redirect,18.455237000,0.043333333
1: no_redirect,18.691247000,0.046666667
1: no_redirect,18.709135000,0.050000000
1: no_redirect,18.893226000,0.053333333
1: no_redirect,18.909745000,0.056666667
1: no_redirect,18.989005000,0.060000000
1: no_redirect,18.996927000,0.063333333
1: no_redirect,19.010407000,0.066666667
1: no_redirect,19.154046000,0.070000000
1: no_redirect,19.174354000,0.073333333
1: no_redirect,19.201801000,0.076666667
1: no_redirect,19.231477000,0.080000000
1: no_redirect,19.394306000,0.083333333
1: no_redirect,19.532846000,0.086666667
1: no_redirect,19.551479000,0.090000000
1: no_redirect,19.583555000,0.093333333
1: no_redirect,19.589521000,0.096666667
1: no_redirect,19.671843000,0.100000000
1: no_redirect,19.676109000,0.103333333
1: no_redirect,19.683000000,0.106666667
1: no_redirect,19.683329000,0.110000000
1: no_redirect,19.685536000,0.113333333
1: no_redirect,19.712516000,0.116666667
1: no_redirect,19.815181000,0.120000000
1: no_redirect,19.863655000,0.123333333
1: no_redirect,19.892745000,0.126666667
1: no_redirect,20.066438000,0.130000000
1: no_redirect,20.109752000,0.133333333
1: no_redirect,20.117193000,0.136666667
1: no_redirect,20.199065000,0.140000000
1: no_redirect,20.270432000,0.143333333
1: no_redirect,20.276258000,0.146666667
1: no_redirect,20.314628000,0.150000000
1: no_redirect,20.329022000,0.153333333
1: no_redirect,20.386809000,0.156666667
1: no_redirect,20.406014000,0.160000000
1: no_redirect,20.444652000,0.163333333
1: no_redirect,20.520533000,0.166666667
1: no_redirect,20.542936000,0.170000000
1: no_redirect,20.553358000,0.173333333
1: no_redirect,20.560069000,0.176666667
1: no_redirect,20.629042000,0.180000000
1: no_redirect,20.637462000,0.183333333
1: no_redirect,20.702611000,0.186666667
1: no_redirect,20.708311000,0.190000000
1: no_redirect,20.710887000,0.193333333
1: no_redirect,20.735100000,0.196666667
1: no_redirect,20.750467000,0.200000000
1: no_redirect,20.758081000,0.203333333
1: no_redirect,20.893831000,0.206666667
1: no_redirect,20.902968000,0.210000000
1: no_redirect,20.989737000,0.213333333
1: no_redirect,21.015754000,0.216666667
1: no_redirect,21.020855000,0.220000000
1: no_redirect,21.030400000,0.223333333
1: no_redirect,21.035672000,0.226666667
1: no_redirect,21.053650000,0.230000000
1: no_redirect,21.108020000,0.233333333
1: no_redirect,21.130600000,0.236666667
1: no_redirect,21.138583000,0.240000000
1: no_redirect,21.204179000,0.243333333
1: no_redirect,21.207065000,0.246666667
1: no_redirect,21.281924000,0.250000000
1: no_redirect,21.352595000,0.253333333
1: no_redirect,21.402432000,0.256666667
1: no_redirect,21.509133000,0.260000000
1: no_redirect,21.519429000,0.263333333
1: no_redirect,21.528907000,0.266666667
1: no_redirect,21.536699000,0.270000000
1: no_redirect,21.537497000,0.273333333
1: no_redirect,21.592500000,0.276666667
1: no_redirect,21.634235000,0.280000000
1: no_redirect,21.653613000,0.283333333
1: no_redirect,21.687512000,0.286666667
1: no_redirect,21.688934000,0.290000000
1: no_redirect,21.760200000,0.293333333
1: no_redirect,21.777147000,0.296666667
1: no_redirect,21.792598000,0.300000000
1: no_redirect,21.805464000,0.303333333
1: no_redirect,21.805938000,0.306666667
1: no_redirect,21.824370000,0.310000000
1: no_redirect,21.838380000,0.313333333
1: no_redirect,21.878734000,0.316666667
1: no_redirect,21.935719000,0.320000000
1: no_redirect,21.938118000,0.323333333
