load,arm,requests,total_users,users_with_qualifying_request,users_all_requests_qualify,qualifying_requests,qualifying_request_rate
busy_hour,1: no redirect,300,288,288,288,300,1.0
busy_hour,"2: redirect, no KV",300,288,288,288,300,1.0
busy_hour,"3: redirect + KV, PP1",300,288,288,288,300,1.0
busy_hour,"4: redirect + KV, PP2",300,288,288,288,300,1.0
busy_hour,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
busy_hour,"6: redirect + KV, PP1-C",300,288,288,288,300,1.0
peak_2x,1: no redirect,300,288,277,276,288,0.96
peak_2x,"2: redirect, no KV",300,288,288,288,300,1.0
peak_2x,"3: redirect + KV, PP1",300,288,288,288,300,1.0
peak_2x,"4: redirect + KV, PP2",300,288,288,288,300,1.0
peak_2x,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
peak_2x,"6: redirect + KV, PP1-C",300,288,288,288,300,1.0
peak_3x,1: no redirect,300,288,264,262,273,0.91
peak_3x,"2: redirect, no KV",300,288,282,281,293,0.9766666666666667
peak_3x,"3: redirect + KV, PP1",300,288,288,288,300,1.0
peak_3x,"4: redirect + KV, PP2",300,288,288,288,300,1.0
peak_3x,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
peak_3x,"6: redirect + KV, PP1-C",300,288,288,288,300,1.0
peak_4x,1: no redirect,300,288,252,250,260,0.8666666666666667
peak_4x,"2: redirect, no KV",300,288,255,253,265,0.8833333333333333
peak_4x,"3: redirect + KV, PP1",300,288,267,265,277,0.9233333333333333
peak_4x,"4: redirect + KV, PP2",300,288,288,288,300,1.0
peak_4x,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
peak_4x,"6: redirect + KV, PP1-C",300,288,264,262,274,0.9133333333333333
peak_5x,1: no redirect,300,288,238,236,246,0.82
peak_5x,"2: redirect, no KV",300,288,238,235,245,0.8166666666666667
peak_5x,"3: redirect + KV, PP1",300,288,237,235,246,0.82
peak_5x,"4: redirect + KV, PP2",300,288,288,288,300,1.0
peak_5x,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
peak_5x,"6: redirect + KV, PP1-C",300,288,237,235,246,0.82
peak_6x,1: no redirect,300,288,224,223,232,0.7733333333333333
peak_6x,"2: redirect, no KV",300,288,221,217,227,0.7566666666666667
peak_6x,"3: redirect + KV, PP1",300,288,225,222,232,0.7733333333333333
peak_6x,"4: redirect + KV, PP2",300,288,288,288,300,1.0
peak_6x,"5: redirect + KV, PP2-C",300,288,288,288,300,1.0
peak_6x,"6: redirect + KV, PP1-C",300,288,225,222,232,0.7733333333333333
peak_7x,1: no redirect,300,288,219,218,226,0.7533333333333333
peak_7x,"2: redirect, no KV",300,288,206,202,210,0.7
peak_7x,"3: redirect + KV, PP1",300,288,215,212,220,0.7333333333333333
peak_7x,"4: redirect + KV, PP2",300,288,246,245,256,0.8533333333333334
peak_7x,"5: redirect + KV, PP2-C",300,288,246,245,256,0.8533333333333334
peak_7x,"6: redirect + KV, PP1-C",300,288,215,212,220,0.7333333333333333
peak_8x,1: no redirect,300,288,207,206,214,0.7133333333333334
peak_8x,"2: redirect, no KV",300,288,186,181,189,0.63
peak_8x,"3: redirect + KV, PP1",300,288,200,197,206,0.6866666666666666
peak_8x,"4: redirect + KV, PP2",300,288,211,208,217,0.7233333333333334
peak_8x,"5: redirect + KV, PP2-C",300,288,211,208,217,0.7233333333333334
peak_8x,"6: redirect + KV, PP1-C",300,288,199,196,206,0.6866666666666666
peak_9x,1: no redirect,300,288,201,199,206,0.6866666666666666
peak_9x,"2: redirect, no KV",300,288,171,166,173,0.5766666666666667
peak_9x,"3: redirect + KV, PP1",300,288,192,187,195,0.65
peak_9x,"4: redirect + KV, PP2",300,288,178,175,183,0.61
peak_9x,"5: redirect + KV, PP2-C",300,288,178,175,183,0.61
peak_9x,"6: redirect + KV, PP1-C",300,288,191,186,194,0.6466666666666666
peak_10x,1: no redirect,300,288,183,181,188,0.6266666666666667
peak_10x,"2: redirect, no KV",300,288,159,154,161,0.5366666666666666
peak_10x,"3: redirect + KV, PP1",300,288,172,167,174,0.58
peak_10x,"4: redirect + KV, PP2",300,288,162,159,167,0.5566666666666666
peak_10x,"5: redirect + KV, PP2-C",300,288,162,159,167,0.5566666666666666
peak_10x,"6: redirect + KV, PP1-C",300,288,172,167,174,0.58
