arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.001666667
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.005000000
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.008333333
1: no_redirect,0.000000000,0.010000000
1: no_redirect,17.094706000,0.011666667
1: no_redirect,17.094706000,0.013333333
1: no_redirect,17.095784000,0.015000000
1: no_redirect,17.095784000,0.016666667
1: no_redirect,17.098712000,0.018333333
1: no_redirect,17.099691000,0.020000000
1: no_redirect,17.100023000,0.021666667
1: no_redirect,17.103024000,0.023333333
1: no_redirect,17.103024000,0.025000000
1: no_redirect,17.105894000,0.026666667
1: no_redirect,17.105894000,0.028333333
1: no_redirect,17.106648000,0.030000000
1: no_redirect,17.106648000,0.031666667
1: no_redirect,17.106712000,0.033333333
1: no_redirect,17.106712000,0.035000000
1: no_redirect,17.106726000,0.036666667
1: no_redirect,17.106726000,0.038333333
1: no_redirect,17.108076000,0.040000000
1: no_redirect,17.108076000,0.041666667
1: no_redirect,17.108333000,0.043333333
1: no_redirect,17.108333000,0.045000000
1: no_redirect,17.109126000,0.046666667
1: no_redirect,17.109126000,0.048333333
1: no_redirect,17.109197000,0.050000000
1: no_redirect,17.109318000,0.051666667
1: no_redirect,17.109537000,0.053333333
1: no_redirect,17.109537000,0.055000000
1: no_redirect,17.110086000,0.056666667
1: no_redirect,17.110086000,0.058333333
1: no_redirect,17.111926000,0.060000000
1: no_redirect,17.111926000,0.061666667
1: no_redirect,17.114938000,0.063333333
1: no_redirect,17.114938000,0.065000000
1: no_redirect,17.117607000,0.066666667
1: no_redirect,17.117607000,0.068333333
1: no_redirect,17.118036000,0.070000000
1: no_redirect,17.118036000,0.071666667
1: no_redirect,17.119407000,0.073333333
1: no_redirect,17.119407000,0.075000000
1: no_redirect,17.119610000,0.076666667
1: no_redirect,17.119610000,0.078333333
1: no_redirect,17.123212000,0.080000000
1: no_redirect,17.123212000,0.081666667
1: no_redirect,17.123212000,0.083333333
1: no_redirect,17.123967000,0.085000000
1: no_redirect,17.128305000,0.086666667
1: no_redirect,17.128305000,0.088333333
1: no_redirect,17.131024000,0.090000000
1: no_redirect,17.131024000,0.091666667
1: no_redirect,17.137930000,0.093333333
1: no_redirect,17.137930000,0.095000000
1: no_redirect,17.139164000,0.096666667
1: no_redirect,17.139164000,0.098333333
1: no_redirect,17.139395000,0.100000000
1: no_redirect,17.139395000,0.101666667
1: no_redirect,17.143686000,0.103333333
1: no_redirect,17.143686000,0.105000000
1: no_redirect,17.146716000,0.106666667
1: no_redirect,17.146716000,0.108333333
1: no_redirect,17.149628000,0.110000000
1: no_redirect,17.149628000,0.111666667
1: no_redirect,17.149660000,0.113333333
1: no_redirect,17.149660000,0.115000000
1: no_redirect,17.150543000,0.116666667
1: no_redirect,17.150543000,0.118333333
1: no_redirect,17.154210000,0.120000000
1: no_redirect,17.154210000,0.121666667
1: no_redirect,17.155902000,0.123333333
1: no_redirect,17.155902000,0.125000000
1: no_redirect,17.168973000,0.126666667
1: no_redirect,17.168973000,0.128333333
1: no_redirect,17.192060000,0.130000000
1: no_redirect,17.192060000,0.131666667
1: no_redirect,17.209908000,0.133333333
1: no_redirect,17.209908000,0.135000000
1: no_redirect,17.249424000,0.136666667
1: no_redirect,17.249424000,0.138333333
1: no_redirect,17.280464000,0.140000000
1: no_redirect,17.280464000,0.141666667
1: no_redirect,17.315818000,0.143333333
1: no_redirect,17.315818000,0.145000000
1: no_redirect,17.336285000,0.146666667
1: no_redirect,17.336285000,0.148333333
1: no_redirect,17.340300000,0.150000000
1: no_redirect,17.341684000,0.151666667
1: no_redirect,17.358996000,0.153333333
1: no_redirect,17.358996000,0.155000000
1: no_redirect,17.362697000,0.156666667
1: no_redirect,17.362698000,0.158333333
1: no_redirect,17.363988000,0.160000000
1: no_redirect,17.364679000,0.161666667
1: no_redirect,17.366111000,0.163333333
