arm,ttft_ms,cdf
1: no_redirect,20.354197000,0.001666667
1: no_redirect,20.355615000,0.003333333
1: no_redirect,20.759403000,0.005000000
1: no_redirect,20.760781000,0.006666667
1: no_redirect,20.906846000,0.008333333
1: no_redirect,20.908224000,0.010000000
1: no_redirect,25.416024000,0.011666667
1: no_redirect,30.211123000,0.013333333
1: no_redirect,32.095874000,0.015000000
1: no_redirect,32.096773000,0.016666667
1: no_redirect,32.294555000,0.018333333
1: no_redirect,33.269842000,0.020000000
1: no_redirect,34.623247000,0.021666667
1: no_redirect,34.624625000,0.023333333
1: no_redirect,36.279582000,0.025000000
1: no_redirect,37.246093000,0.026666667
1: no_redirect,37.585515000,0.028333333
1: no_redirect,39.666077000,0.030000000
1: no_redirect,50.831574000,0.031666667
1: no_redirect,50.839160000,0.033333333
1: no_redirect,52.689761000,0.035000000
1: no_redirect,52.714045000,0.036666667
1: no_redirect,65.508742000,0.038333333
1: no_redirect,70.928178000,0.040000000
1: no_redirect,83.601252000,0.041666667
1: no_redirect,83.616048000,0.043333333
1: no_redirect,116.712553000,0.045000000
1: no_redirect,121.971170000,0.046666667
1: no_redirect,125.019000000,0.048333333
1: no_redirect,128.425264000,0.050000000
1: no_redirect,135.569527000,0.051666667
1: no_redirect,143.656065000,0.053333333
1: no_redirect,143.725057000,0.055000000
1: no_redirect,148.914682000,0.056666667
1: no_redirect,171.523522000,0.058333333
1: no_redirect,171.526589000,0.060000000
1: no_redirect,171.543572000,0.061666667
1: no_redirect,171.926239000,0.063333333
1: no_redirect,173.845868000,0.065000000
1: no_redirect,174.099096000,0.066666667
1: no_redirect,174.144341000,0.068333333
1: no_redirect,175.372827000,0.070000000
1: no_redirect,176.024624000,0.071666667
1: no_redirect,176.056544000,0.073333333
1: no_redirect,176.665485000,0.075000000
1: no_redirect,176.847663000,0.076666667
1: no_redirect,177.134644000,0.078333333
1: no_redirect,177.436669000,0.080000000
1: no_redirect,177.526160000,0.081666667
1: no_redirect,178.054891000,0.083333333
1: no_redirect,178.094115000,0.085000000
1: no_redirect,178.182548000,0.086666667
1: no_redirect,178.728412000,0.088333333
1: no_redirect,179.507845000,0.090000000
1: no_redirect,179.569458000,0.091666667
1: no_redirect,179.580856000,0.093333333
1: no_redirect,179.921397000,0.095000000
1: no_redirect,179.971826000,0.096666667
1: no_redirect,180.194271000,0.098333333
1: no_redirect,180.363166000,0.100000000
1: no_redirect,180.452149000,0.101666667
1: no_redirect,181.213256000,0.103333333
1: no_redirect,181.307572000,0.105000000
1: no_redirect,181.357023000,0.106666667
1: no_redirect,181.375905000,0.108333333
1: no_redirect,181.493065000,0.110000000
1: no_redirect,182.219658000,0.111666667
1: no_redirect,182.915445000,0.113333333
1: no_redirect,183.027024000,0.115000000
1: no_redirect,183.040091000,0.116666667
1: no_redirect,183.168314000,0.118333333
1: no_redirect,183.207441000,0.120000000
1: no_redirect,183.355217000,0.121666667
1: no_redirect,183.418190000,0.123333333
1: no_redirect,183.558543000,0.125000000
1: no_redirect,183.587247000,0.126666667
1: no_redirect,183.880225000,0.128333333
1: no_redirect,184.256163000,0.130000000
1: no_redirect,184.573198000,0.131666667
1: no_redirect,184.577296000,0.133333333
1: no_redirect,184.667817000,0.135000000
1: no_redirect,184.694905000,0.136666667
1: no_redirect,184.925288000,0.138333333
1: no_redirect,184.926666000,0.140000000
1: no_redirect,185.185810000,0.141666667
1: no_redirect,185.464903000,0.143333333
1: no_redirect,185.466578000,0.145000000
1: no_redirect,185.919034000,0.146666667
1: no_redirect,186.208124000,0.148333333
1: no_redirect,186.468620000,0.150000000
1: no_redirect,186.566189000,0.151666667
1: no_redirect,186.913451000,0.153333333
1: no_redirect,187.270252000,0.155000000
1: no_redirect,187.424934000,0.156666667
1: no_redirect,187.529473000,0.158333333
1: no_redirect,187.553970000,0.160000000
1: no_redirect,187.646975000,0.161666667
1: no_redirect,187.813498000,0.163333333
