arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.001666667
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.005000000
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.008333333
1: no_redirect,0.000000000,0.010000000
1: no_redirect,17.154210000,0.011666667
1: no_redirect,18.163978000,0.013333333
1: no_redirect,18.894515000,0.015000000
1: no_redirect,19.194614000,0.016666667
1: no_redirect,19.284012000,0.018333333
1: no_redirect,19.613823000,0.020000000
1: no_redirect,19.647205000,0.021666667
1: no_redirect,19.879331000,0.023333333
1: no_redirect,20.055904000,0.025000000
1: no_redirect,20.152112000,0.026666667
1: no_redirect,20.468890000,0.028333333
1: no_redirect,20.477773000,0.030000000
1: no_redirect,20.513367000,0.031666667
1: no_redirect,20.554432000,0.033333333
1: no_redirect,20.661267000,0.035000000
1: no_redirect,20.725015000,0.036666667
1: no_redirect,21.017416000,0.038333333
1: no_redirect,21.470596000,0.040000000
1: no_redirect,21.516351000,0.041666667
1: no_redirect,21.570672000,0.043333333
1: no_redirect,21.579404000,0.045000000
1: no_redirect,21.757805000,0.046666667
1: no_redirect,21.963797000,0.048333333
1: no_redirect,22.057459000,0.050000000
1: no_redirect,22.212637000,0.051666667
1: no_redirect,22.300836000,0.053333333
1: no_redirect,22.341574000,0.055000000
1: no_redirect,22.651907000,0.056666667
1: no_redirect,22.706569000,0.058333333
1: no_redirect,22.794480000,0.060000000
1: no_redirect,22.853092000,0.061666667
1: no_redirect,22.853497000,0.063333333
1: no_redirect,22.901009000,0.065000000
1: no_redirect,22.938902000,0.066666667
1: no_redirect,22.966304000,0.068333333
1: no_redirect,23.035714000,0.070000000
1: no_redirect,23.062442000,0.071666667
1: no_redirect,23.162557000,0.073333333
1: no_redirect,23.205895000,0.075000000
1: no_redirect,23.325512000,0.076666667
1: no_redirect,23.334889000,0.078333333
1: no_redirect,23.387942000,0.080000000
1: no_redirect,23.562006000,0.081666667
1: no_redirect,23.608640000,0.083333333
1: no_redirect,23.667088000,0.085000000
1: no_redirect,23.698372000,0.086666667
1: no_redirect,23.880233000,0.088333333
1: no_redirect,23.894979000,0.090000000
1: no_redirect,23.950215000,0.091666667
1: no_redirect,23.981212000,0.093333333
1: no_redirect,24.106294000,0.095000000
1: no_redirect,24.129895000,0.096666667
1: no_redirect,24.214674000,0.098333333
1: no_redirect,24.282003000,0.100000000
1: no_redirect,24.292637000,0.101666667
1: no_redirect,24.341714000,0.103333333
1: no_redirect,24.378794000,0.105000000
1: no_redirect,24.507942000,0.106666667
1: no_redirect,24.649446000,0.108333333
1: no_redirect,24.802576000,0.110000000
1: no_redirect,24.828633000,0.111666667
1: no_redirect,24.868041000,0.113333333
1: no_redirect,24.912155000,0.115000000
1: no_redirect,24.918243000,0.116666667
1: no_redirect,24.979562000,0.118333333
1: no_redirect,25.005480000,0.120000000
1: no_redirect,25.071467000,0.121666667
1: no_redirect,25.187451000,0.123333333
1: no_redirect,25.207853000,0.125000000
1: no_redirect,25.254710000,0.126666667
1: no_redirect,25.293928000,0.128333333
1: no_redirect,25.325647000,0.130000000
1: no_redirect,25.336822000,0.131666667
1: no_redirect,25.364977000,0.133333333
1: no_redirect,25.365706000,0.135000000
1: no_redirect,25.381073000,0.136666667
1: no_redirect,25.393419000,0.138333333
1: no_redirect,25.432276000,0.140000000
1: no_redirect,25.478805000,0.141666667
1: no_redirect,25.517623000,0.143333333
1: no_redirect,25.542860000,0.145000000
1: no_redirect,25.566043000,0.146666667
1: no_redirect,25.569454000,0.148333333
1: no_redirect,25.615836000,0.150000000
1: no_redirect,25.639633000,0.151666667
1: no_redirect,25.676414000,0.153333333
1: no_redirect,25.724253000,0.155000000
1: no_redirect,25.761985000,0.156666667
1: no_redirect,25.835023000,0.158333333
1: no_redirect,25.911089000,0.160000000
1: no_redirect,25.955561000,0.161666667
1: no_redirect,25.968888000,0.163333333
