arm,ttft_ms,cdf
1: no_redirect,40.401703000,0.001666667
1: no_redirect,41.659924000,0.003333333
1: no_redirect,42.744744000,0.005000000
1: no_redirect,44.980972000,0.006666667
1: no_redirect,46.107070000,0.008333333
1: no_redirect,55.931959000,0.010000000
1: no_redirect,57.162656000,0.011666667
1: no_redirect,65.049725000,0.013333333
1: no_redirect,66.068750000,0.015000000
1: no_redirect,84.416683000,0.016666667
1: no_redirect,120.795097000,0.018333333
1: no_redirect,171.919463000,0.020000000
1: no_redirect,182.992700000,0.021666667
1: no_redirect,183.219805000,0.023333333
1: no_redirect,184.259899000,0.025000000
1: no_redirect,184.694905000,0.026666667
1: no_redirect,188.440256000,0.028333333
1: no_redirect,188.595159000,0.030000000
1: no_redirect,189.652592000,0.031666667
1: no_redirect,192.028051000,0.033333333
1: no_redirect,192.648636000,0.035000000
1: no_redirect,195.783368000,0.036666667
1: no_redirect,196.025528000,0.038333333
1: no_redirect,196.564032000,0.040000000
1: no_redirect,197.120511000,0.041666667
1: no_redirect,198.341687000,0.043333333
1: no_redirect,198.354310000,0.045000000
1: no_redirect,198.690431000,0.046666667
1: no_redirect,199.305513000,0.048333333
1: no_redirect,200.725799000,0.050000000
1: no_redirect,200.988388000,0.051666667
1: no_redirect,201.127983000,0.053333333
1: no_redirect,201.740324000,0.055000000
1: no_redirect,201.978683000,0.056666667
1: no_redirect,203.100558000,0.058333333
1: no_redirect,203.606789000,0.060000000
1: no_redirect,203.929582000,0.061666667
1: no_redirect,204.251389000,0.063333333
1: no_redirect,204.291371000,0.065000000
1: no_redirect,205.824715000,0.066666667
1: no_redirect,206.367863000,0.068333333
1: no_redirect,206.492286000,0.070000000
1: no_redirect,207.439027000,0.071666667
1: no_redirect,207.646145000,0.073333333
1: no_redirect,208.339441000,0.075000000
1: no_redirect,208.393219000,0.076666667
1: no_redirect,208.406784000,0.078333333
1: no_redirect,208.833859000,0.080000000
1: no_redirect,209.330108000,0.081666667
1: no_redirect,209.390385000,0.083333333
1: no_redirect,209.801267000,0.085000000
1: no_redirect,210.027951000,0.086666667
1: no_redirect,210.769405000,0.088333333
1: no_redirect,211.456592000,0.090000000
1: no_redirect,211.597046000,0.091666667
1: no_redirect,211.905166000,0.093333333
1: no_redirect,212.533750000,0.095000000
1: no_redirect,213.132472000,0.096666667
1: no_redirect,213.711388000,0.098333333
1: no_redirect,213.852753000,0.100000000
1: no_redirect,214.447160000,0.101666667
1: no_redirect,216.623548000,0.103333333
1: no_redirect,216.673927000,0.105000000
1: no_redirect,217.226556000,0.106666667
