arm,metric,statistic,threshold_ms,first_exceed_load_x,first_exceed_value_ms,interpolated_crossing_load_x,status,remains_exceeded_after_first
1: no_redirect,TTFT,mean,2000.0,7,2042.836740936666,6.8303454409873705,exceeded,true
1: no_redirect,TTFT,p95,2000.0,3,4076.157878600002,2.1121341189522496,exceeded,true
1: no_redirect,TPOT,mean,100.0,,,,not exceeded through 10x (48.438 ms at 10x),
1: no_redirect,TPOT,p95,100.0,7,101.01727875000012,6.947574669443469,exceeded,true
2: redirect_no_kv,TTFT,mean,2000.0,7,2000.0873654900006,6.999666026884941,exceeded,true
2: redirect_no_kv,TTFT,p95,2000.0,4,3594.9987059000005,3.141361904034167,exceeded,true
2: redirect_no_kv,TPOT,mean,100.0,,,,not exceeded through 10x (51.145 ms at 10x),
2: redirect_no_kv,TPOT,p95,100.0,7,112.66160840000015,6.204507174817039,exceeded,true
3: redirect_kv_nopp,TTFT,mean,2000.0,9,2173.0361122099994,8.046527230538397,exceeded,true
3: redirect_kv_nopp,TTFT,p95,2000.0,4,2334.785056,3.7569554041131177,exceeded,true
3: redirect_kv_nopp,TPOT,mean,100.0,,,,not exceeded through 10x (48.604 ms at 10x),
3: redirect_kv_nopp,TPOT,p95,100.0,6,106.10620670000003,5.801100018427755,exceeded,false
4: redirect_kv_pp2,TTFT,mean,2000.0,,,,not exceeded through 10x (1907.748 ms at 10x),
4: redirect_kv_pp2,TTFT,p95,2000.0,7,2379.8934435500005,6.370266685931235,exceeded,true
4: redirect_kv_pp2,TPOT,mean,100.0,,,,not exceeded through 10x (63.834 ms at 10x),
4: redirect_kv_pp2,TPOT,p95,100.0,3,126.17671320000004,2.540190231131233,exceeded,true
5: redirect_kv_pp2_c,TTFT,mean,2000.0,,,,not exceeded through 10x (1907.442 ms at 10x),
5: redirect_kv_pp2_c,TTFT,p95,2000.0,7,2379.8934435500005,6.370266685931235,exceeded,true
5: redirect_kv_pp2_c,TPOT,mean,100.0,,,,not exceeded through 10x (63.768 ms at 10x),
5: redirect_kv_pp2_c,TPOT,p95,100.0,3,126.17671320000004,2.540190231131233,exceeded,true
6: redirect_kv_nopp_c,TTFT,mean,2000.0,9,2171.956974789999,8.062653263538053,exceeded,true
6: redirect_kv_nopp_c,TTFT,p95,2000.0,4,2529.4922515,3.6678914818111656,exceeded,true
6: redirect_kv_nopp_c,TPOT,mean,100.0,,,,not exceeded through 10x (48.794 ms at 10x),
6: redirect_kv_nopp_c,TPOT,p95,100.0,7,100.93029460000008,6.438398888454324,exceeded,false
