arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.010000000
1: no_redirect,19.179520000,0.013333333
1: no_redirect,19.599187000,0.016666667
1: no_redirect,19.950459000,0.020000000
1: no_redirect,20.814417000,0.023333333
1: no_redirect,20.917004000,0.026666667
1: no_redirect,21.068284000,0.030000000
1: no_redirect,21.204983000,0.033333333
1: no_redirect,21.539389000,0.036666667
1: no_redirect,21.548305000,0.040000000
1: no_redirect,22.017677000,0.043333333
1: no_redirect,22.086946000,0.046666667
1: no_redirect,22.109078000,0.050000000
1: no_redirect,22.297157000,0.053333333
1: no_redirect,22.319302000,0.056666667
1: no_redirect,22.386043000,0.060000000
1: no_redirect,22.614038000,0.063333333
1: no_redirect,22.892626000,0.066666667
1: no_redirect,22.895805000,0.070000000
1: no_redirect,23.043284000,0.073333333
1: no_redirect,23.072162000,0.076666667
1: no_redirect,23.612273000,0.080000000
1: no_redirect,23.757390000,0.083333333
1: no_redirect,24.013303000,0.086666667
1: no_redirect,24.017584000,0.090000000
1: no_redirect,24.051142000,0.093333333
1: no_redirect,24.109651000,0.096666667
1: no_redirect,24.219559000,0.100000000
1: no_redirect,24.290378000,0.103333333
1: no_redirect,24.298779000,0.106666667
1: no_redirect,24.374306000,0.110000000
1: no_redirect,24.410581000,0.113333333
1: no_redirect,24.458302000,0.116666667
1: no_redirect,24.509046000,0.120000000
1: no_redirect,24.530849000,0.123333333
1: no_redirect,24.578917000,0.126666667
1: no_redirect,24.589042000,0.130000000
1: no_redirect,24.703953000,0.133333333
1: no_redirect,24.753710000,0.136666667
1: no_redirect,24.844187000,0.140000000
1: no_redirect,24.900872000,0.143333333
1: no_redirect,25.002562000,0.146666667
1: no_redirect,25.038353000,0.150000000
1: no_redirect,25.053884000,0.153333333
1: no_redirect,25.058390000,0.156666667
1: no_redirect,25.115207000,0.160000000
1: no_redirect,25.119041000,0.163333333
1: no_redirect,25.189761000,0.166666667
1: no_redirect,25.197249000,0.170000000
1: no_redirect,25.259576000,0.173333333
1: no_redirect,25.473706000,0.176666667
1: no_redirect,25.576948000,0.180000000
1: no_redirect,25.749193000,0.183333333
1: no_redirect,25.765341000,0.186666667
1: no_redirect,25.769831000,0.190000000
1: no_redirect,25.890533000,0.193333333
1: no_redirect,25.942475000,0.196666667
1: no_redirect,25.973809000,0.200000000
1: no_redirect,26.006590000,0.203333333
1: no_redirect,26.036366000,0.206666667
1: no_redirect,26.183695000,0.210000000
1: no_redirect,26.200299000,0.213333333
1: no_redirect,26.251319000,0.216666667
1: no_redirect,26.279605000,0.220000000
1: no_redirect,26.385980000,0.223333333
1: no_redirect,26.781444000,0.226666667
1: no_redirect,26.857822000,0.230000000
1: no_redirect,26.867655000,0.233333333
1: no_redirect,26.886334000,0.236666667
1: no_redirect,26.917584000,0.240000000
1: no_redirect,26.924536000,0.243333333
1: no_redirect,26.992022000,0.246666667
1: no_redirect,27.112015000,0.250000000
1: no_redirect,27.185237000,0.253333333
1: no_redirect,27.251004000,0.256666667
1: no_redirect,27.348334000,0.260000000
1: no_redirect,27.429172000,0.263333333
1: no_redirect,27.554084000,0.266666667
1: no_redirect,27.558993000,0.270000000
1: no_redirect,27.570097000,0.273333333
1: no_redirect,27.574661000,0.276666667
1: no_redirect,27.624390000,0.280000000
1: no_redirect,27.627701000,0.283333333
1: no_redirect,27.654901000,0.286666667
1: no_redirect,27.684216000,0.290000000
1: no_redirect,27.769270000,0.293333333
1: no_redirect,27.777251000,0.296666667
1: no_redirect,27.802959000,0.300000000
1: no_redirect,27.836678000,0.303333333
1: no_redirect,27.872352000,0.306666667
1: no_redirect,27.993156000,0.310000000
1: no_redirect,28.018334000,0.313333333
1: no_redirect,28.024753000,0.316666667
1: no_redirect,28.096254000,0.320000000
1: no_redirect,28.135951000,0.323333333
