arm,ttft_ms,cdf
1: no_redirect,171.076409000,0.003333333
1: no_redirect,183.256376000,0.006666667
1: no_redirect,184.296507000,0.010000000
1: no_redirect,184.694905000,0.013333333
1: no_redirect,188.380808000,0.016666667
1: no_redirect,188.601282000,0.020000000
1: no_redirect,190.782246000,0.023333333
1: no_redirect,195.656668000,0.026666667
1: no_redirect,200.719240000,0.030000000
1: no_redirect,200.959583000,0.033333333
1: no_redirect,213.704002000,0.036666667
1: no_redirect,214.876391000,0.040000000
1: no_redirect,217.915818000,0.043333333
1: no_redirect,220.767543000,0.046666667
1: no_redirect,223.054972000,0.050000000
1: no_redirect,231.069393000,0.053333333
1: no_redirect,243.027819000,0.056666667
1: no_redirect,267.204441000,0.060000000
1: no_redirect,297.450401000,0.063333333
1: no_redirect,327.449002000,0.066666667
1: no_redirect,332.460546000,0.070000000
1: no_redirect,345.375289000,0.073333333
1: no_redirect,366.898454000,0.076666667
1: no_redirect,370.839917000,0.080000000
1: no_redirect,373.575847000,0.083333333
1: no_redirect,380.241960000,0.086666667
1: no_redirect,395.912166000,0.090000000
1: no_redirect,402.025718000,0.093333333
1: no_redirect,407.319681000,0.096666667
1: no_redirect,413.034949000,0.100000000
1: no_redirect,425.171665000,0.103333333
1: no_redirect,425.211079000,0.106666667
1: no_redirect,437.826920000,0.110000000
1: no_redirect,449.854156000,0.113333333
1: no_redirect,488.953985000,0.116666667
1: no_redirect,500.763281000,0.120000000
1: no_redirect,503.286299000,0.123333333
1: no_redirect,531.536149000,0.126666667
1: no_redirect,532.937686000,0.130000000
1: no_redirect,538.420679000,0.133333333
1: no_redirect,543.573075000,0.136666667
1: no_redirect,544.904114000,0.140000000
1: no_redirect,558.037057000,0.143333333
1: no_redirect,572.056348000,0.146666667
1: no_redirect,572.906672000,0.150000000
1: no_redirect,580.623765000,0.153333333
1: no_redirect,593.237116000,0.156666667
1: no_redirect,595.301713000,0.160000000
1: no_redirect,603.441252000,0.163333333
1: no_redirect,625.825201000,0.166666667
1: no_redirect,631.457999000,0.170000000
1: no_redirect,633.920220000,0.173333333
1: no_redirect,638.799348000,0.176666667
1: no_redirect,640.612457000,0.180000000
1: no_redirect,641.849052000,0.183333333
1: no_redirect,646.622330000,0.186666667
1: no_redirect,667.004586000,0.190000000
1: no_redirect,672.020392000,0.193333333
1: no_redirect,672.127028000,0.196666667
1: no_redirect,695.006042000,0.200000000
1: no_redirect,720.828127000,0.203333333
1: no_redirect,726.532058000,0.206666667
1: no_redirect,730.195251000,0.210000000
1: no_redirect,746.154273000,0.213333333
1: no_redirect,748.099009000,0.216666667
1: no_redirect,762.903472000,0.220000000
1: no_redirect,781.062194000,0.223333333
1: no_redirect,794.468394000,0.226666667
1: no_redirect,799.013613000,0.230000000
1: no_redirect,803.371161000,0.233333333
1: no_redirect,808.793862000,0.236666667
1: no_redirect,819.347904000,0.240000000
1: no_redirect,851.349081000,0.243333333
1: no_redirect,860.385991000,0.246666667
1: no_redirect,860.499708000,0.250000000
1: no_redirect,877.998486000,0.253333333
1: no_redirect,881.495766000,0.256666667
1: no_redirect,905.084015000,0.260000000
1: no_redirect,909.710920000,0.263333333
1: no_redirect,919.445339000,0.266666667
1: no_redirect,968.397396000,0.270000000
1: no_redirect,969.593763000,0.273333333
1: no_redirect,972.303442000,0.276666667
1: no_redirect,972.597166000,0.280000000
1: no_redirect,980.749069000,0.283333333
1: no_redirect,991.869716000,0.286666667
1: no_redirect,1007.756130000,0.290000000
1: no_redirect,1008.057800000,0.293333333
1: no_redirect,1036.855495000,0.296666667
1: no_redirect,1038.146584000,0.300000000
1: no_redirect,1042.097735000,0.303333333
1: no_redirect,1057.979213000,0.306666667
1: no_redirect,1064.418368000,0.310000000
1: no_redirect,1073.595194000,0.313333333
1: no_redirect,1095.785314000,0.316666667
1: no_redirect,1096.931132000,0.320000000
1: no_redirect,1098.549835000,0.323333333
1: no_redirect,1101.176383000,0.326666667
1: no_redirect,1111.610889000,0.330000000
1: no_redirect,1122.701661000,0.333333333
1: no_redirect,1134.121578000,0.336666667
1: no_redirect,1148.718714000,0.340000000
1: no_redirect,1157.357062000,0.343333333
1: no_redirect,1158.166299000,0.346666667
1: no_redirect,1160.562287000,0.350000000
1: no_redirect,1170.149428000,0.353333333
1: no_redirect,1176.698625000,0.356666667
1: no_redirect,1183.059355000,0.360000000
1: no_redirect,1186.304136000,0.363333333
1: no_redirect,1188.775790000,0.366666667
1: no_redirect,1190.737946000,0.370000000
1: no_redirect,1190.853751000,0.373333333
1: no_redirect,1191.388678000,0.376666667
1: no_redirect,1196.815281000,0.380000000
1: no_redirect,1197.600594000,0.383333333
1: no_redirect,1207.878676000,0.386666667
1: no_redirect,1210.198915000,0.390000000
1: no_redirect,1212.530370000,0.393333333
1: no_redirect,1216.965416000,0.396666667
1: no_redirect,1223.658542000,0.400000000
1: no_redirect,1227.389804000,0.403333333
1: no_redirect,1229.781625000,0.406666667
1: no_redirect,1233.619162000,0.410000000
1: no_redirect,1233.874072000,0.413333333
1: no_redirect,1250.720967000,0.416666667
1: no_redirect,1255.378268000,0.420000000
1: no_redirect,1256.512365000,0.423333333
1: no_redirect,1257.784280000,0.426666667
1: no_redirect,1263.819147000,0.430000000
1: no_redirect,1287.337951000,0.433333333
1: no_redirect,1291.259053000,0.436666667
1: no_redirect,1300.860576000,0.440000000
1: no_redirect,1323.970882000,0.443333333
1: no_redirect,1347.663818000,0.446666667
1: no_redirect,1348.703995000,0.450000000
1: no_redirect,1353.799523000,0.453333333
1: no_redirect,1357.466503000,0.456666667
1: no_redirect,1365.462937000,0.460000000
1: no_redirect,1369.517912000,0.463333333
1: no_redirect,1373.465134000,0.466666667
1: no_redirect,1377.836585000,0.470000000
1: no_redirect,1385.006652000,0.473333333
1: no_redirect,1389.530206000,0.476666667
1: no_redirect,1393.840820000,0.480000000
1: no_redirect,1399.443866000,0.483333333
1: no_redirect,1414.265193000,0.486666667
1: no_redirect,1419.417956000,0.490000000
1: no_redirect,1422.797936000,0.493333333
1: no_redirect,1425.285824000,0.496666667
1: no_redirect,1425.767306000,0.500000000
1: no_redirect,1430.218263000,0.503333333
1: no_redirect,1439.346961000,0.506666667
1: no_redirect,1439.387492000,0.510000000
1: no_redirect,1443.382673000,0.513333333
1: no_redirect,1445.927873000,0.516666667
1: no_redirect,1447.132424000,0.520000000
1: no_redirect,1448.515787000,0.523333333
1: no_redirect,1473.834810000,0.526666667
1: no_redirect,1484.568043000,0.530000000
1: no_redirect,1493.804959000,0.533333333
1: no_redirect,1497.557060000,0.536666667
1: no_redirect,1498.852409000,0.540000000
1: no_redirect,1512.182267000,0.543333333
1: no_redirect,1550.611669000,0.546666667
1: no_redirect,1561.346914000,0.550000000
1: no_redirect,1574.058894000,0.553333333
1: no_redirect,1601.128918000,0.556666667
1: no_redirect,1622.221822000,0.560000000
1: no_redirect,1650.106834000,0.563333333
1: no_redirect,1656.760959000,0.566666667
1: no_redirect,1664.708189000,0.570000000
1: no_redirect,1665.444410000,0.573333333
1: no_redirect,1668.295150000,0.576666667
1: no_redirect,1675.316272000,0.580000000
1: no_redirect,1681.581543000,0.583333333
1: no_redirect,1689.725177000,0.586666667
1: no_redirect,1698.429903000,0.590000000
1: no_redirect,1717.667890000,0.593333333
1: no_redirect,1724.855256000,0.596666667
1: no_redirect,1728.673964000,0.600000000
1: no_redirect,1737.413060000,0.603333333
1: no_redirect,1753.023667000,0.606666667
1: no_redirect,1789.870759000,0.610000000
1: no_redirect,1790.144926000,0.613333333
1: no_redirect,1800.478019000,0.616666667
