arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.010000000
1: no_redirect,20.088305000,0.013333333
1: no_redirect,21.046701000,0.016666667
1: no_redirect,21.210000000,0.020000000
1: no_redirect,21.629085000,0.023333333
1: no_redirect,21.646420000,0.026666667
1: no_redirect,21.982106000,0.030000000
1: no_redirect,22.419297000,0.033333333
1: no_redirect,22.560488000,0.036666667
1: no_redirect,22.679686000,0.040000000
1: no_redirect,22.858412000,0.043333333
1: no_redirect,23.800902000,0.046666667
1: no_redirect,24.223257000,0.050000000
1: no_redirect,24.262239000,0.053333333
1: no_redirect,24.444798000,0.056666667
1: no_redirect,24.457420000,0.060000000
1: no_redirect,24.532343000,0.063333333
1: no_redirect,24.555856000,0.066666667
1: no_redirect,24.648448000,0.070000000
1: no_redirect,25.182276000,0.073333333
1: no_redirect,25.300918000,0.076666667
1: no_redirect,25.372241000,0.080000000
1: no_redirect,25.417717000,0.083333333
1: no_redirect,25.433594000,0.086666667
1: no_redirect,25.434587000,0.090000000
1: no_redirect,25.472989000,0.093333333
1: no_redirect,25.484194000,0.096666667
1: no_redirect,25.568072000,0.100000000
1: no_redirect,25.603238000,0.103333333
1: no_redirect,25.717697000,0.106666667
1: no_redirect,25.726981000,0.110000000
1: no_redirect,25.818111000,0.113333333
1: no_redirect,25.851805000,0.116666667
1: no_redirect,25.917116000,0.120000000
1: no_redirect,25.934764000,0.123333333
1: no_redirect,26.099362000,0.126666667
1: no_redirect,26.339849000,0.130000000
1: no_redirect,26.394889000,0.133333333
1: no_redirect,26.408264000,0.136666667
1: no_redirect,26.590556000,0.140000000
1: no_redirect,26.631327000,0.143333333
1: no_redirect,26.781461000,0.146666667
1: no_redirect,26.824238000,0.150000000
1: no_redirect,26.842388000,0.153333333
1: no_redirect,26.939717000,0.156666667
1: no_redirect,27.114199000,0.160000000
1: no_redirect,27.155534000,0.163333333
1: no_redirect,27.248142000,0.166666667
1: no_redirect,27.253080000,0.170000000
1: no_redirect,27.292892000,0.173333333
1: no_redirect,27.366737000,0.176666667
1: no_redirect,27.448516000,0.180000000
1: no_redirect,27.483490000,0.183333333
1: no_redirect,27.584793000,0.186666667
1: no_redirect,27.590562000,0.190000000
1: no_redirect,27.634574000,0.193333333
1: no_redirect,27.725795000,0.196666667
1: no_redirect,27.775225000,0.200000000
1: no_redirect,27.970176000,0.203333333
1: no_redirect,28.005394000,0.206666667
1: no_redirect,28.022427000,0.210000000
1: no_redirect,28.097600000,0.213333333
1: no_redirect,28.115195000,0.216666667
1: no_redirect,28.165828000,0.220000000
1: no_redirect,28.179071000,0.223333333
1: no_redirect,28.194584000,0.226666667
1: no_redirect,28.204442000,0.230000000
1: no_redirect,28.266435000,0.233333333
1: no_redirect,28.352041000,0.236666667
1: no_redirect,28.389515000,0.240000000
1: no_redirect,28.400170000,0.243333333
1: no_redirect,28.469447000,0.246666667
1: no_redirect,28.510554000,0.250000000
1: no_redirect,28.517091000,0.253333333
1: no_redirect,28.531037000,0.256666667
1: no_redirect,28.627368000,0.260000000
1: no_redirect,28.649414000,0.263333333
1: no_redirect,28.738747000,0.266666667
1: no_redirect,28.942382000,0.270000000
1: no_redirect,29.009561000,0.273333333
1: no_redirect,29.100017000,0.276666667
1: no_redirect,29.125232000,0.280000000
1: no_redirect,29.162959000,0.283333333
1: no_redirect,29.225627000,0.286666667
1: no_redirect,29.273899000,0.290000000
1: no_redirect,29.285617000,0.293333333
1: no_redirect,29.389740000,0.296666667
1: no_redirect,29.507028000,0.300000000
1: no_redirect,29.523167000,0.303333333
1: no_redirect,29.611468000,0.306666667
1: no_redirect,29.825382000,0.310000000
1: no_redirect,29.940329000,0.313333333
1: no_redirect,29.971575000,0.316666667
1: no_redirect,29.976288000,0.320000000
1: no_redirect,30.124099000,0.323333333
