arm,ttft_ms,cdf
1: no_redirect,36.768066000,0.003333333
1: no_redirect,53.558008000,0.006666667
1: no_redirect,88.624637000,0.010000000
1: no_redirect,172.389698000,0.013333333
1: no_redirect,183.199553000,0.016666667
1: no_redirect,184.267006000,0.020000000
1: no_redirect,184.694905000,0.023333333
1: no_redirect,188.527934000,0.026666667
1: no_redirect,188.693074000,0.030000000
1: no_redirect,188.766302000,0.033333333
1: no_redirect,190.701640000,0.036666667
1: no_redirect,191.611592000,0.040000000
1: no_redirect,191.908834000,0.043333333
1: no_redirect,195.171884000,0.046666667
1: no_redirect,196.421432000,0.050000000
1: no_redirect,198.120975000,0.053333333
1: no_redirect,199.181111000,0.056666667
1: no_redirect,199.967689000,0.060000000
1: no_redirect,199.994876000,0.063333333
1: no_redirect,200.737814000,0.066666667
1: no_redirect,203.178617000,0.070000000
1: no_redirect,203.610164000,0.073333333
1: no_redirect,203.750959000,0.076666667
1: no_redirect,204.407602000,0.080000000
1: no_redirect,205.721609000,0.083333333
1: no_redirect,210.331374000,0.086666667
1: no_redirect,213.749269000,0.090000000
1: no_redirect,214.825065000,0.093333333
1: no_redirect,215.891527000,0.096666667
1: no_redirect,216.971919000,0.100000000
1: no_redirect,217.862241000,0.103333333
1: no_redirect,218.164028000,0.106666667
1: no_redirect,218.190669000,0.110000000
1: no_redirect,219.792380000,0.113333333
1: no_redirect,221.040342000,0.116666667
1: no_redirect,221.495410000,0.120000000
1: no_redirect,223.752187000,0.123333333
1: no_redirect,225.719751000,0.126666667
1: no_redirect,229.726150000,0.130000000
1: no_redirect,230.026167000,0.133333333
1: no_redirect,231.159148000,0.136666667
1: no_redirect,231.979587000,0.140000000
1: no_redirect,236.391210000,0.143333333
1: no_redirect,237.761838000,0.146666667
1: no_redirect,237.894360000,0.150000000
1: no_redirect,238.683424000,0.153333333
1: no_redirect,241.529277000,0.156666667
1: no_redirect,247.840798000,0.160000000
1: no_redirect,248.415716000,0.163333333
1: no_redirect,249.163504000,0.166666667
1: no_redirect,249.709828000,0.170000000
1: no_redirect,253.441869000,0.173333333
1: no_redirect,257.972170000,0.176666667
1: no_redirect,262.559589000,0.180000000
1: no_redirect,267.616283000,0.183333333
1: no_redirect,275.849483000,0.186666667
1: no_redirect,285.664442000,0.190000000
1: no_redirect,286.233874000,0.193333333
1: no_redirect,291.602785000,0.196666667
1: no_redirect,296.189697000,0.200000000
1: no_redirect,297.438593000,0.203333333
1: no_redirect,303.161577000,0.206666667
1: no_redirect,303.565531000,0.210000000
1: no_redirect,306.385844000,0.213333333
1: no_redirect,312.679916000,0.216666667
1: no_redirect,313.006691000,0.220000000
1: no_redirect,323.958185000,0.223333333
1: no_redirect,326.267735000,0.226666667
1: no_redirect,328.302535000,0.230000000
1: no_redirect,335.214566000,0.233333333
1: no_redirect,335.862266000,0.236666667
1: no_redirect,337.050529000,0.240000000
1: no_redirect,337.163398000,0.243333333
1: no_redirect,341.107049000,0.246666667
1: no_redirect,344.002934000,0.250000000
1: no_redirect,351.963372000,0.253333333
1: no_redirect,355.211108000,0.256666667
1: no_redirect,356.289523000,0.260000000
1: no_redirect,357.699460000,0.263333333
1: no_redirect,359.879366000,0.266666667
1: no_redirect,366.576987000,0.270000000
1: no_redirect,370.745317000,0.273333333
1: no_redirect,377.792492000,0.276666667
1: no_redirect,380.468073000,0.280000000
1: no_redirect,387.801746000,0.283333333
1: no_redirect,390.796928000,0.286666667
1: no_redirect,393.759574000,0.290000000
1: no_redirect,401.253735000,0.293333333
1: no_redirect,406.601479000,0.296666667
1: no_redirect,416.425719000,0.300000000
1: no_redirect,421.631328000,0.303333333
1: no_redirect,422.532833000,0.306666667
1: no_redirect,430.856465000,0.310000000
1: no_redirect,434.302154000,0.313333333
1: no_redirect,434.650490000,0.316666667
1: no_redirect,435.970521000,0.320000000
1: no_redirect,436.333716000,0.323333333
1: no_redirect,450.106568000,0.326666667
1: no_redirect,451.423218000,0.330000000
1: no_redirect,460.743756000,0.333333333
1: no_redirect,464.270784000,0.336666667
1: no_redirect,488.489008000,0.340000000
1: no_redirect,500.214192000,0.343333333
1: no_redirect,508.878659000,0.346666667
1: no_redirect,524.537319000,0.350000000
1: no_redirect,524.741748000,0.353333333
1: no_redirect,525.798191000,0.356666667
1: no_redirect,533.456362000,0.360000000
1: no_redirect,534.024991000,0.363333333
1: no_redirect,535.084986000,0.366666667
1: no_redirect,535.481580000,0.370000000
1: no_redirect,536.767444000,0.373333333
1: no_redirect,536.950765000,0.376666667
1: no_redirect,539.673905000,0.380000000
1: no_redirect,540.211404000,0.383333333
1: no_redirect,550.456003000,0.386666667
1: no_redirect,552.219809000,0.390000000
1: no_redirect,553.110627000,0.393333333
1: no_redirect,553.823865000,0.396666667
1: no_redirect,555.821087000,0.400000000
1: no_redirect,557.111352000,0.403333333
1: no_redirect,570.329856000,0.406666667
1: no_redirect,572.783215000,0.410000000
1: no_redirect,583.188508000,0.413333333
1: no_redirect,587.119762000,0.416666667
1: no_redirect,592.783427000,0.420000000
1: no_redirect,594.235234000,0.423333333
1: no_redirect,599.686326000,0.426666667
1: no_redirect,600.686731000,0.430000000
1: no_redirect,601.468246000,0.433333333
1: no_redirect,606.513465000,0.436666667
1: no_redirect,608.036123000,0.440000000
1: no_redirect,616.679337000,0.443333333
1: no_redirect,616.805530000,0.446666667
1: no_redirect,620.094539000,0.450000000
1: no_redirect,620.481886000,0.453333333
1: no_redirect,623.581395000,0.456666667
1: no_redirect,629.164050000,0.460000000
1: no_redirect,630.776751000,0.463333333
1: no_redirect,634.178074000,0.466666667
1: no_redirect,635.905399000,0.470000000
1: no_redirect,636.477624000,0.473333333
1: no_redirect,637.850973000,0.476666667
1: no_redirect,643.434471000,0.480000000
1: no_redirect,645.286686000,0.483333333
1: no_redirect,650.603667000,0.486666667
1: no_redirect,651.596387000,0.490000000
1: no_redirect,651.946381000,0.493333333
1: no_redirect,651.947731000,0.496666667
1: no_redirect,669.838841000,0.500000000
1: no_redirect,670.933455000,0.503333333
1: no_redirect,674.707681000,0.506666667
1: no_redirect,675.497128000,0.510000000
1: no_redirect,681.179352000,0.513333333
1: no_redirect,683.037489000,0.516666667
1: no_redirect,687.719721000,0.520000000
1: no_redirect,690.712328000,0.523333333
1: no_redirect,691.981054000,0.526666667
1: no_redirect,694.037420000,0.530000000
1: no_redirect,698.835788000,0.533333333
1: no_redirect,699.922617000,0.536666667
1: no_redirect,708.238570000,0.540000000
1: no_redirect,711.356010000,0.543333333
1: no_redirect,712.186169000,0.546666667
1: no_redirect,714.096436000,0.550000000
1: no_redirect,733.061197000,0.553333333
1: no_redirect,744.749841000,0.556666667
1: no_redirect,748.147365000,0.560000000
1: no_redirect,748.239565000,0.563333333
1: no_redirect,749.170646000,0.566666667
1: no_redirect,762.956633000,0.570000000
1: no_redirect,772.274884000,0.573333333
1: no_redirect,776.020326000,0.576666667
1: no_redirect,777.855927000,0.580000000
1: no_redirect,792.032262000,0.583333333
1: no_redirect,797.693018000,0.586666667
1: no_redirect,798.453832000,0.590000000
1: no_redirect,800.461784000,0.593333333
1: no_redirect,801.937561000,0.596666667
1: no_redirect,806.172353000,0.600000000
1: no_redirect,806.992910000,0.603333333
1: no_redirect,825.532552000,0.606666667
1: no_redirect,828.865436000,0.610000000
1: no_redirect,829.761311000,0.613333333
1: no_redirect,832.119733000,0.616666667
1: no_redirect,839.472182000,0.620000000
1: no_redirect,840.003650000,0.623333333
1: no_redirect,870.404840000,0.626666667
1: no_redirect,872.617549000,0.630000000
1: no_redirect,885.772429000,0.633333333
1: no_redirect,921.952773000,0.636666667
1: no_redirect,924.741422000,0.640000000
1: no_redirect,925.665850000,0.643333333
1: no_redirect,927.679039000,0.646666667
1: no_redirect,929.832621000,0.650000000
1: no_redirect,936.816820000,0.653333333
1: no_redirect,971.247603000,0.656666667
