gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,59.9584106288328,194.5793183026169,95,152,245.58175654605265,211.52887950000002,522.1641775499999,1327.3749191600027,20.911178966272207,220.984579375,0,152,685502,50811,10630949,138066625546,138055994597,118989037559,19066957038,86.18896840107635,7804
1,1,179.8752318864984,194.5793183026169,115,219,235.346144,215.788234,553.5176213999998,861.4487447199988,24.176253739726025,209.68850865296804,0,219,980213,77244,10630949,138066625546,138055994597,137909673600,146320997,99.89401329697625,7084
2,2,299.792053144164,194.5793183026169,97,172,246.25033044186048,213.67751049999998,539.1838548999999,801.0687472299985,24.478379618336344,218.54077930813952,0,172,745188,55724,10630949,138066625546,138055994597,117322047960,20733946637,84.9814948655257,7384
3,3,419.70887440182963,194.5793183026169,106,197,215.2982960456853,210.961563,543.4297465999998,716.4087185599999,18.871083959390862,195.01057257360404,0,197,841941,78457,10630949,138066625546,138055994597,117652476714,20403517883,85.22083887587785,6379
4,4,59.9584106288328,583.7379549078507,104,192,262.9868083385416,237.74956,551.0594255499998,775.4985361900004,23.930491140625,237.50917454166665,0,192,898776,77148,10630949,138066625546,138055994597,120195754220,17860240377,87.06304610014514,5451
5,5,179.8752318864984,583.7379549078507,95,156,226.34894007051284,211.6582125,393.3448985,1191.038012,19.774681657927438,198.59273240384616,0,156,662143,56205,10630949,138066625546,138055994597,119660864985,18395129612,86.67560241357333,8037
6,6,299.792053144164,583.7379549078507,81,181,223.19264780662982,203.245288,532.286012,703.1738617999998,20.728909058570103,196.4396722872928,0,181,877993,59352,10630949,138066625546,138055994597,121711157965,16344836632,88.1607193662888,7659
7,7,419.70887440182963,583.7379549078507,94,135,268.84341812592595,222.359763,662.1849000999999,950.3503283199991,24.660036645759412,232.2493959925926,0,135,587114,51227,10630949,138066625546,138055994597,119480253848,18575740749,86.54477786116819,8063
8,8,59.9584106288328,972.8965915130844,98,173,231.96806030057806,212.326142,495.3926222000001,655.2833064000001,20.618987393063584,209.88100948554913,0,173,767113,65810,10630949,138066625546,138055994597,120175513215,17880481382,87.04838465421584,6903
9,9,179.8752318864984,972.8965915130844,83,153,235.0022879150327,219.294741,481.5668172,759.2126759199995,20.678798189542483,212.5409056862745,0,153,828764,58646,10630949,138066625546,138055994597,122975764664,15080229933,89.07672935389674,7266
10,10,299.792053144164,972.8965915130844,80,142,190.19475997183102,201.2773555,420.1367328499997,609.1921363500003,15.623958295774647,173.12556933802816,0,142,619589,50980,10630949,138066625546,138055994597,118908241521,19147753076,86.1304442940748,8467
11,11,419.70887440182963,972.8965915130844,76,128,218.48696206250003,206.5493095,396.48643594999993,696.4115221000009,15.532989526654958,197.228392765625,0,128,540971,54826,10630949,138066625546,138055994597,118267310041,19788684556,85.66618956767125,8250
12,12,565.6433631287923,194.5793183026169,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
13,13,737.595519325052,194.5793183026169,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
14,14,909.5476755213117,194.5793183026169,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
15,15,1081.4998317175716,194.5793183026169,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
16,16,565.6433631287923,583.7379549078507,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
17,17,737.595519325052,583.7379549078507,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
18,18,909.5476755213117,583.7379549078507,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
19,19,1081.4998317175716,583.7379549078507,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
20,20,565.6433631287923,972.8965915130844,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
21,21,737.595519325052,972.8965915130844,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
22,22,909.5476755213117,972.8965915130844,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
23,23,1081.4998317175716,972.8965915130844,0,0,,,,,,,0,0,0,0,10630949,138066625546,138055994597,0,138055994597,0.0,0
