gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,59.9584106288328,194.5793183026169,58,85,315.2888425411765,213.358885,1309.793632199999,1650.2707111999996,45.627847326696774,250.00373385882355,0,85,373925,27267,12757139,144697101882,144684344743,132352989914,12331354829,91.47706349923072,5563
1,1,179.8752318864984,194.5793183026169,43,73,270.46551563013696,219.292311,635.1966289999999,1062.3918170800007,18.762210873259242,237.86850932876712,0,73,351353,26617,12757139,144697101882,144684344743,133937236207,10747108536,92.57203081985831,5620
2,2,299.792053144164,194.5793183026169,51,108,326.0682707962964,214.84958699999999,1412.0163460499998,2504.502181569995,80.45078463452762,224.33592971296295,0,108,514593,33066,12757139,144697101882,144684344743,143099903902,1584440841,98.90489821561938,5672
3,3,419.70887440182963,194.5793183026169,65,105,249.3761047333333,218.368901,572.1272581999999,782.7704904799992,26.91616578095238,221.02259497142856,0,105,455527,42477,12757139,144697101882,144684344743,138910499275,5773845468,96.0093502318748,5192
4,4,59.9584106288328,583.7379549078507,50,91,224.36541630769233,214.121652,487.54385149999996,607.6358679999998,24.089000081006564,195.77883341758243,0,91,385296,30488,12757139,144697101882,144684344743,135340101616,9344243127,93.54163496845634,5701
5,5,179.8752318864984,583.7379549078507,48,82,294.6795213902439,223.61312800000002,793.8241068500002,1048.8324350299995,44.190366839933624,245.6756972804878,0,82,364475,25252,12757139,144697101882,144684344743,134585333452,10099011291,93.01996956965961,5903
6,6,299.792053144164,583.7379549078507,54,99,221.8908116565657,212.03756,536.274983,573.9444635799999,29.741576282828284,190.76255072727272,0,99,413869,40878,12757139,144697101882,144684344743,133474170685,11210174058,92.25197855516959,5259
7,7,419.70887440182963,583.7379549078507,55,100,250.19019607999996,215.16373049999999,627.9970469499998,844.63340065,29.54655784262726,213.36086425,0,100,433421,38309,12757139,144697101882,144684344743,134715592499,9968752244,93.10999938403336,5228
8,8,59.9584106288328,972.8965915130844,49,93,258.43348434408597,220.504736,629.7424323999994,1048.5839497599995,32.088411247311825,224.77735389247314,0,93,441302,34463,12757139,144697101882,144684344743,127967406866,16716937877,88.44592488102705,4879
9,9,179.8752318864984,972.8965915130844,55,96,295.9523008125,231.485593,822.37130225,1048.2792684499982,39.146390447916666,255.32757080208333,0,96,428771,39244,12757139,144697101882,144684344743,136007926615,8676418128,94.00320874838826,4903
