gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,24,25,499.10526035999993,455.525679,954.6342281999994,1386.105004039999,77.98306936,329.93581136,0,25,91450,6541,58547240,40635451979,40576904739,25211596512,15365308227,62.13287256425003,935
1,1,280.62430400804567,124.72191289246473,28,28,912.2711650714285,403.9161415,3636.9364646999998,4143.17443449,78.17341814285714,315.71510725,0,28,104290,7006,58547240,40635451979,40576904739,24645530852,15931373887,60.73782860108658,796
2,2,467.7071733467427,124.72191289246473,20,23,929.9447501739131,654.641408,3469.992541999998,3685.5475965600003,186.9943665652174,443.2777180869565,0,23,102655,6886,58547240,40635451979,40576904739,32480983248,8095921491,80.04795697682012,1247
3,3,654.7900426854399,124.72191289246473,26,27,872.7275551481483,563.728548,2932.9725860999997,3497.855560459999,136.14531266666665,361.2834235555556,0,27,104535,6993,58547240,40635451979,40576904739,26825856303,13751048436,66.1111449371264,897
4,4,93.54143466934855,374.16573867739424,22,23,658.3376742608696,655.944277,1017.018841,1226.3828419400004,162.37965647826087,398.4548525652174,0,23,88169,5865,58547240,40635451979,40576904739,22892269052,17684635687,56.41699188059894,814
5,5,280.62430400804567,374.16573867739424,28,28,1338.3583108928572,742.9194205,4952.606647899999,6543.576427030001,128.61146246428572,434.1390796071429,0,28,108111,6989,58547240,40635451979,40576904739,28897385350,11679519389,71.21633731275128,937
6,6,467.7071733467427,374.16573867739424,27,27,873.4519282222223,589.454708,2838.085723199999,4191.295384559998,131.77922985185185,367.6592897037037,0,27,102402,5935,58547240,40635451979,40576904739,25123356302,15453548437,61.915408441326946,845
7,7,654.7900426854399,374.16573867739424,19,21,494.1710419047618,341.564115,984.908603,2122.656976600001,51.6578191904762,313.54776361904766,0,21,82577,5543,58547240,40635451979,40576904739,21864472441,18712432298,53.88403226327223,794
8,8,93.54143466934855,623.6095644623236,25,25,983.95280464,993.456105,2076.603194999998,3474.491566359997,279.03767496,374.30364832,0,25,94963,7668,58547240,40635451979,40576904739,26599984375,13976920364,65.55449348859216,911
9,9,280.62430400804567,623.6095644623236,21,21,1447.6380143809522,869.931313,3583.16712,5847.393820000002,447.0335317619048,474.85653147619047,0,21,82165,8059,58547240,40635451979,40576904739,40338586695,238318044,99.41267564509192,1707
10,10,467.7071733467427,623.6095644623236,27,28,1798.5459600357142,960.0876445,6564.8485848,7084.09175782,206.22521067857144,412.089854,0,28,106673,8124,58547240,40635451979,40576904739,28006199757,12570704982,69.02004955070458,922
11,11,654.7900426854399,623.6095644623236,24,24,813.6707284583334,324.8243145,3043.9145613499977,3700.40455058,75.93706383333333,331.722966125,0,24,90010,8268,58547240,40635451979,40576904739,26877083267,13699821472,66.23739154053172,919
