gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,28,28,1338.9541101071427,814.1111005,3990.3257046499994,4225.508769270001,213.02311010794594,329.90266546428575,0,28,100494,6969,46837792,38244792695,38197954903,25260211554,12937743349,66.1297486165054,871
1,1,280.62430400804567,124.72191289246473,29,29,1311.2406846206898,806.99291,3804.388316599999,4042.82218084,172.56466677237296,381.2597181034483,0,29,105416,7618,46837792,38244792695,38197954903,25341869741,12856085162,66.34352494879168,866
2,2,467.7071733467427,124.72191289246473,22,25,1559.4320445999997,1135.639634,4013.086106799999,4638.078536119999,341.37975938286394,454.7516102,0,25,107759,7260,46837792,38244792695,38197954903,24178296185,14019658718,63.29735779415007,756
3,3,654.7900426854399,124.72191289246473,29,29,1108.5456405172413,629.16405,3258.4330086,3689.615049719999,88.42123404329725,310.9334611034483,0,29,108960,6562,46837792,38244792695,38197954903,22903514827,15294440076,59.960055152589334,738
4,4,93.54143466934855,374.16573867739424,23,23,908.5473494782608,636.477624,2317.8899421999995,3472.2085051600016,98.57964549091844,334.86411291304347,0,23,89712,5773,46837792,38244792695,38197954903,22539695366,15658259537,59.007597195288,802
5,5,280.62430400804567,374.16573867739424,27,27,1130.7650433703702,762.956633,3809.0114427999997,3869.25799574,131.51423269230764,380.7343465555556,0,27,99699,7567,46837792,38244792695,38197954903,31887737182,6310217721,83.48022103009393,1227
6,6,467.7071733467427,374.16573867739424,26,26,1157.5652168846154,800.776439,3358.77748175,3554.6324272499996,203.9520451908512,429.3409081923077,0,26,103310,5529,46837792,38244792695,38197954903,22713539886,15484415017,59.46271192706214,779
7,7,654.7900426854399,374.16573867739424,23,25,1236.8643703999999,435.970521,4039.162583399999,4415.480668359999,52.769958830248456,279.44915956,0,25,98783,6624,46837792,38244792695,38197954903,22495534992,15702419911,58.8919879326661,755
8,8,93.54143466934855,623.6095644623236,24,24,1430.5717309583333,1193.809245,3247.5848383999996,3744.5674252299996,448.39926233481265,407.8391836666667,0,24,92300,7295,46837792,38244792695,38197954903,25339976631,12857978272,66.33856889812141,897
9,9,280.62430400804567,623.6095644623236,20,20,727.1991883,577.2894365,1166.9373265500012,2538.166985309998,114.67685895082846,400.58909725,0,20,81012,6733,46837792,38244792695,38197954903,38007091783,190863120,99.50033157407333,1690
10,10,467.7071733467427,623.6095644623236,19,20,1214.21960245,1242.0847885,2994.5509332500005,3557.635028249999,421.09506709656813,420.42546785,0,20,81028,6539,46837792,38244792695,38197954903,24217245313,13980709590,63.39932432115107,885
11,11,654.7900426854399,623.6095644623236,24,24,1176.6181685416666,851.2866194999999,3529.1541856999984,4066.82222645,195.8514325156312,322.3391570416667,0,24,89527,9408,46837792,38244792695,38197954903,27643349320,10554605583,72.36866316586216,973
