gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,24,25,902.7086974399999,735.804008,2345.1938309999987,3051.0619613999984,166.72412488,355.892787,0,25,91817,6504,39031493,37786041709,37747010216,23876312162,13870698054,63.25351869028143,848
1,1,280.62430400804567,124.72191289246473,27,27,1703.0026981851852,1118.565256,4628.643424599999,5672.550334539998,367.4827855555556,362.077204962963,0,27,99609,8063,39031493,37786041709,37747010216,31845852349,5901157867,84.36655556762838,1255
2,2,467.7071733467427,124.72191289246473,26,32,4340.0492496874995,1776.531772,12488.2783852,13580.070592880002,391.99746690625,397.9785438125,0,32,140181,8917,39031493,37786041709,37747010216,30304453913,7442556303,80.28305749141083,943
3,3,654.7900426854399,124.72191289246473,22,22,554.1157021818182,578.5485045,1075.8774565999997,1093.46791572,117.78375227272727,364.20619277272726,0,22,81050,4741,39031493,37786041709,37747010216,20024799487,17722210729,53.050027995361596,725
4,4,93.54143466934855,374.16573867739424,23,24,1290.1376051666668,826.0223175,4097.8433868999955,4957.84439853,186.50360158333334,401.7175825,0,24,94636,7137,39031493,37786041709,37747010216,23763557538,13983452678,62.95480728676951,794
5,5,280.62430400804567,374.16573867739424,21,21,562.847432904762,533.309166,876.377466,892.1914828,163.51317461904762,398.1113206666667,0,21,77054,5538,39031493,37786041709,37747010216,21423884341,16323125875,56.75650659060398,788
6,6,467.7071733467427,374.16573867739424,26,26,1712.3761685000002,1228.9283325000001,4498.0265465,5082.354418000001,374.92501711538466,424.9906429615384,0,26,104659,5123,39031493,37786041709,37747010216,22718442498,15028567718,60.186071341804514,779
7,7,654.7900426854399,374.16573867739424,22,24,1270.5575268750001,491.35644,5152.588269649997,5516.14417002,82.11504129166667,303.96250025,0,24,94846,6050,39031493,37786041709,37747010216,21563210442,16183799774,57.12561158780173,728
8,8,93.54143466934855,623.6095644623236,33,34,3914.8054874411764,2032.4060610000001,9604.362442249998,10235.44065349,385.54364764705883,343.6976915,0,34,122590,10099,39031493,37786041709,37747010216,30869383273,6877626943,81.77967763898623,1019
9,9,280.62430400804567,623.6095644623236,19,19,715.9553297368421,625.026655,1138.1670353999948,2872.4695510800007,139.822801,413.7098883684211,0,19,76886,6995,39031493,37786041709,37747010216,37587706408,159303808,99.57796973299762,1678
10,10,467.7071733467427,623.6095644623236,22,23,1158.5579038260869,915.113501,3981.109641799998,4223.27526268,263.73234873913043,400.42486752173915,0,23,89110,6747,39031493,37786041709,37747010216,24084433368,13662576848,63.804876810591004,859
11,11,654.7900426854399,623.6095644623236,23,23,1144.796167695652,773.060286,3492.0446165999992,4109.912686680001,160.4983665652174,332.6500781304348,0,23,85562,7963,39031493,37786041709,37747010216,24263915511,13483094705,64.28036385439381,839
