gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,51,52,760.6144382115385,727.8402155,1275.7213003499996,1434.9830256300004,271.85100075,487.53662273076924,0,52,191426,14567,39031493,41905406602,41866375109,31084981621,10781393488,74.24808462655194,1903
1,1,280.62430400804567,124.72191289246473,48,54,1169.9948210185185,1173.5493005,1802.3929875499998,1915.66084625,635.7673293888888,532.8676452592592,0,54,221231,13658,39031493,41905406602,41866375109,26166857541,15699517568,62.50089116355076,1492
2,2,467.7071733467427,124.72191289246473,44,45,733.8860004888888,743.629964,1150.0734227999997,1228.85002416,225.33026673333333,507.28593931111106,0,45,171690,12675,39031493,41905406602,41866375109,24381650908,17484724201,58.23683288682589,1549
3,3,654.7900426854399,124.72191289246473,48,50,1079.80126038,1001.684765,1756.4021889999997,1893.02695615,537.07413056,541.4015136200001,0,50,199505,11173,39031493,41905406602,41866375109,24625816795,17240558314,58.820035722906894,1360
4,4,93.54143466934855,374.16573867739424,52,53,1283.2193953018868,1488.595214,1900.272682,1972.8417842,783.8399650754717,498.1262460754717,0,53,199476,17094,39031493,41905406602,41866375109,41818349225,48025884,99.88528769477901,2462
5,5,280.62430400804567,374.16573867739424,45,46,800.176359652174,815.909836,1456.6447699999999,1514.82616425,321.2986689782609,477.61367197826087,0,46,174672,14710,39031493,41905406602,41866375109,25631202784,16235172325,61.22145210152209,1586
6,6,467.7071733467427,374.16573867739424,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
7,7,654.7900426854399,374.16573867739424,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
8,8,93.54143466934855,623.6095644623236,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
9,9,280.62430400804567,623.6095644623236,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
10,10,467.7071733467427,623.6095644623236,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
11,11,654.7900426854399,623.6095644623236,0,0,,,,,,,0,0,0,0,39031493,41905406602,41866375109,0,41866375109,0.0,0
