gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,51,52,1126.9007621153846,1037.181472,1964.72405265,2097.0923021100007,616.4075095961539,509.2664377884616,0,52,191426,14567,33455566,42285829080,42252373514,30889313305,11363060209,73.10669374529945,1871
1,1,280.62430400804567,124.72191289246473,48,54,1502.838691611111,1447.2760945,2511.46174895,2615.93960015,960.6870709629629,540.7917742777778,0,54,221231,13658,33455566,42285829080,42252373514,26218409553,16033963961,62.05192128274813,1492
2,2,467.7071733467427,124.72191289246473,44,45,989.7042359777778,994.17416,1593.9755854,1745.6637171600003,473.8793866222222,514.5550549111111,0,45,171690,12675,33455566,42285829080,42252373514,24162397619,18089975895,57.185894210165436,1493
3,3,654.7900426854399,124.72191289246473,48,50,1321.94445284,1246.4672655,2303.45513185,2424.91173695,785.7792851,534.83955154,0,50,199505,11173,33455566,42285829080,42252373514,24471801120,17780572394,57.9181690512403,1357
4,4,93.54143466934855,374.16573867739424,52,53,1611.9630964716982,1679.212928,2499.2313922,2557.3344377599997,1094.3658927735848,516.3440195471698,0,53,199476,17094,33455566,42285829080,42252373514,42210685175,41688339,99.90133491793974,2460
5,5,280.62430400804567,374.16573867739424,45,46,939.1148904565215,909.995323,1812.8328700000002,1922.7413892499999,444.7829905,493.06788126086957,0,46,174672,14710,33455566,42285829080,42252373514,25565862511,16686511003,60.50751800376125,1564
6,6,467.7071733467427,374.16573867739424,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
7,7,654.7900426854399,374.16573867739424,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
8,8,93.54143466934855,623.6095644623236,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
9,9,280.62430400804567,623.6095644623236,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
10,10,467.7071733467427,623.6095644623236,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
11,11,654.7900426854399,623.6095644623236,0,0,,,,,,,0,0,0,0,33455566,42285829080,42252373514,0,42252373514,0.0,0
