gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,59.9584106288328,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
1,1,179.8752318864984,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
2,2,299.792053144164,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
3,3,419.70887440182963,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
4,4,59.9584106288328,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
5,5,179.8752318864984,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
6,6,299.792053144164,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
7,7,419.70887440182963,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
8,8,59.9584106288328,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
9,9,179.8752318864984,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
10,10,299.792053144164,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
11,11,419.70887440182963,972.8965915130844,2,2,267.2584755,267.2584755,343.51383705,350.29209141,90.297059,175.9392175,0,2,6079,861,15946424,11430416196,11414469772,11370886603,43583169,99.61817614071823,632
12,12,565.6433631287923,194.5793183026169,1,1,312.719641,312.719641,312.719641,312.719641,0.017394,310.992323,0,1,5191,197,15946424,11430416196,11414469772,3704892763,7709577009,32.45786126735559,198
13,13,737.595519325052,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
14,14,909.5476755213117,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
15,15,1081.4998317175716,194.5793183026169,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
16,16,565.6433631287923,583.7379549078507,2,2,192.68757399999998,192.68757399999998,199.8804883,200.51985846,1.810306,189.782775,0,2,6532,673,15946424,11430416196,11414469772,8723506987,2690962785,76.424986541197,477
17,17,737.595519325052,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
18,18,909.5476755213117,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
19,19,1081.4998317175716,583.7379549078507,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
20,20,565.6433631287923,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
21,21,737.595519325052,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
22,22,909.5476755213117,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
23,23,1081.4998317175716,972.8965915130844,0,0,,,,,,,0,0,0,0,15946424,11430416196,11414469772,0,11414469772,0.0,0
