scope,n,stat,queueing_ms,prefill_ms,communication_ms,component_sum_ms,e2e_ttft_ms
Overall,360,Mean,199.4890899972222,623.5583435777778,1.3122861555555556,824.3597197305555,824.3604357666666
Overall,360,Median,72.92747,538.807769,1.3288959999999999,613.064135,711.7187345
Overall,360,P99,1618.5746237800006,1643.7164919000008,3.2495358,3265.5406514800015,2724.299294680002
Instance 0,56,Mean,136.10692016071428,603.3844093392858,1.3074491785714284,740.7987786785715,740.7987786785715
Instance 0,56,Median,63.365643500000004,515.3844495,1.328792,580.078885,620.172296
Instance 0,56,P99,1146.81890745,1510.3355567500007,3.2496951,2660.4041593000006,2644.4232193000007
Instance 1,76,Mean,502.1308249736843,695.9944419736843,1.2503003684210525,1199.3755673157896,1199.3755673157896
Instance 1,76,Median,258.2278325,578.6284785,1.3287200000000001,838.185031,1043.0959635
Instance 1,76,P99,2154.757255,1643.26140925,3.249435,3801.26809925,2966.3052934999996
Instance 2,59,Mean,121.62210618644069,668.0599189661017,1.4499176440677966,791.1319427966101,791.1354711525423
Instance 2,59,Median,52.088584,544.089136,1.329228,597.5069480000001,711.099535
Instance 2,59,P99,690.0382566600003,1540.1507823800005,3.2499946,2233.4390336400006,1714.9049223000009
Instance 3,56,Mean,142.81845310714286,572.517212625,1.2530132857142857,716.5886790178571,716.5886790178572
Instance 3,56,Median,82.982956,513.975461,1.328745,598.287162,684.318536
Instance 3,56,P99,699.3632602000008,1466.2405169500012,3.2486076,2168.852384750002,1758.7529649000005
Instance 4,53,Mean,116.69184873584902,557.4439037735849,1.2538574339622643,675.3896099433962,675.3904359056603
Instance 4,53,Median,37.733611,497.628256,1.32819,536.690057,615.827674
Instance 4,53,P99,566.5766606399997,1346.4312442799999,3.24944672,1916.2573516399996,1732.2939250799986
Instance 5,59,Mean,79.2175688305085,615.8255444576271,1.357164440677966,696.4002777288135,696.4002777288138
Instance 5,59,Median,38.939887,541.842668,1.328996,582.111551,694.203255
Instance 5,59,P99,413.21901450000007,1385.47805794,3.24860408,1801.9456765200002,1468.5384708800002
Instance 9,1,Mean,0.099989,441.166026,1.942003,443.208018,443.213842
Instance 9,1,Median,0.099989,441.166026,1.942003,443.208018,443.213842
Instance 9,1,P99,0.099989,441.166026,1.942003,443.208018,443.213842
