gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,83.0,333.0,40,44,1673.3999176590908,1775.869649,2519.9425706,2843.73960821,1004.3197193863637,667.8158400909091,0,44,167056,13696,14356024,39509327334,39494971310,35904269472,3590701838,90.90845816846853,2140
1,1,250.0,333.0,49,50,951.89039772,1003.162104,2108.1640064,2409.9445011899998,509.70664738,440.91680986,0,50,190240,18048,14356024,39509327334,39494971310,36646144431,2848826879,92.78686175857865,2169
2,2,417.0,333.0,43,45,1144.7598309555556,1158.56793,2042.5012755999999,2110.3659438,520.3156287777778,622.960988,0,45,201632,15872,14356024,39509327334,39494971310,35486689592,4008281718,89.85115931205875,2100
3,3,584.0,333.0,42,43,2116.9271350697677,1908.570614,3582.6465580999998,3792.4940942799994,1314.7552817209303,800.6288766976744,0,43,200704,14720,14356024,39509327334,39494971310,36811843375,2683127935,93.20640616766156,1619
4,4,751.0,333.0,51,56,2393.490117910714,2214.602727,4639.564210500001,4912.91222595,1730.388069,661.7978450178572,0,56,219568,17152,14356024,39509327334,39494971310,38720710325,774260985,98.03959603129536,2147
5,5,918.0,333.0,60,62,2544.1254278870965,2311.069609,4550.2280296,4748.88881072,1958.6497242419355,584.2513213225807,0,62,227616,19968,14356024,39509327334,39494971310,39010778080,484193230,98.7740382789507,2086
6,6,83.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
7,7,250.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
8,8,417.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
9,9,584.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
10,10,751.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
11,11,918.0,667.0,0,0,,,,,,,0,0,0,0,14356024,39509327334,39494971310,0,39494971310,0.0,0
