gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,167.0,333.0,48,51,1338.7108402941176,1545.850763,2110.5951084999997,2487.0942935000003,772.195331,565.3473134509804,0,51,178272,18816,14356024,40107526725,40093170701,36450965157,3642205544,90.91564603068633,2124
1,1,500.0,333.0,42,45,1298.1041674666667,1137.671749,2698.7424967999996,2855.3620128800003,621.9226932444445,674.6854504444444,0,45,203392,14848,14356024,40107526725,40093170701,34843009180,5250161521,86.90509772810498,2066
2,2,833.0,333.0,47,48,1861.0423493749997,1901.0206484999999,2747.8299977,2935.47219192,1230.9395137708332,628.7001754375,0,48,202912,17920,14356024,40107526725,40093170701,38305586823,1787583878,95.5414255177493,1614
3,3,167.0,667.0,53,55,2041.7124384363638,1473.924445,4417.5277516,4708.8581635,1488.8651558727272,541.0998292545454,0,55,206528,15744,14356024,40107526725,40093170701,37327389505,2765781196,93.10161519370426,2180
4,4,500.0,667.0,48,50,972.2326090800001,844.0177495,1614.10039715,2285.680041269998,406.09164852,554.4463516799999,0,50,179280,17792,14356024,40107526725,40093170701,35213956791,4879213910,87.83031168478202,2099
5,5,833.0,667.0,47,51,2928.4052913529413,2373.25176,5580.9398095,6089.1927285,2118.42135827451,797.9510233921568,0,51,236432,14336,14356024,40107526725,40093170701,40084677892,8492809,99.97881731763412,1613
6,6,1050167.0,333.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
7,7,1050500.0,333.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
8,8,1050833.0,333.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
9,9,1050167.0,667.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
10,10,1050500.0,667.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
11,11,1050833.0,667.0,0,0,,,,,,,0,0,0,0,14356024,40107526725,40093170701,0,40093170701,0.0,0
