gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,83.0,333.0,51,56,740.7987786785715,620.172296,1765.2745232500001,2644.4232193000007,136.1069201607143,603.3844093392858,0,56,220144,17408,51080520,52275282028,52224201508,47839016113,4385185395,91.60315472831451,2304
1,1,250.0,333.0,73,76,1199.3755673157896,1043.0959635,2657.5415464999996,2966.3052934999996,502.1308249736842,695.9944419736842,0,76,285168,25856,51080520,52275282028,52224201508,51085569981,1138631527,97.8197243919075,2320
2,2,417.0,333.0,53,59,791.1354711525423,711.099535,1421.9611797999999,1714.9049223000009,121.62210618644067,668.0599189661017,0,59,250560,19328,51080520,52275282028,52224201508,51031303947,1192897561,97.71581464808558,2721
3,3,584.0,333.0,53,56,716.5886790178572,684.318536,1358.95560825,1758.7529649000005,142.81845310714286,572.517212625,0,56,210608,19456,51080520,52275282028,52224201508,50609597919,1614603589,96.90832307172246,2963
4,4,751.0,333.0,50,53,675.3904359056603,615.827674,1441.468202,1732.2939250799986,116.69184873584905,557.4439037735849,0,53,195632,19200,51080520,52275282028,52224201508,49012877277,3211324231,93.85088878667092,2798
5,5,918.0,333.0,56,59,696.4002777288138,694.203255,1381.4741975999998,1468.5384708800002,79.21756883050847,615.8255444576272,0,59,241120,24064,51080520,52275282028,52224201508,52223520938,680570,99.99869683024278,2548
6,6,83.0,667.0,0,0,,,,,,,0,0,0,0,51080520,52275282028,52224201508,0,52224201508,0.0,0
7,7,250.0,667.0,0,0,,,,,,,0,0,0,0,51080520,52275282028,52224201508,0,52224201508,0.0,0
8,8,417.0,667.0,0,0,,,,,,,0,0,0,0,51080520,52275282028,52224201508,0,52224201508,0.0,0
9,9,584.0,667.0,1,1,443.213842,443.213842,443.213842,443.213842,0.099989,441.166026,0,1,4000,256,51080520,52275282028,52224201508,4822777384,47401424124,9.23475562045926,257
10,10,751.0,667.0,0,0,,,,,,,0,0,0,0,51080520,52275282028,52224201508,0,52224201508,0.0,0
11,11,918.0,667.0,0,0,,,,,,,0,0,0,0,51080520,52275282028,52224201508,0,52224201508,0.0,0
