user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,791.4373518923647,551.1080624482194,0.0,0.0,10,122.74412661130779,0,,,,,,,,,,,0,0,0
1,197.8799641939618,304.26018531426627,0.0,0.0,1,59.518695219174795,0,,,,,,,,,,,0,0,0
2,624.782185891852,255.59482943349977,0.0,0.0,3,87.49141167306976,0,,,,,,,,,,,0,0,0
3,105.18154731989127,817.906274773634,0.0,0.0,6,152.52778372336005,0,,,,,,,,,,,0,0,0
4,832.566508579992,345.1683156252865,0.0,0.0,4,82.46916531096036,0,,,,,,,,,,,0,0,0
5,215.8254571463074,407.2580340807663,0.0,0.0,1,81.7444493822004,0,,,,,,,,,,,0,0,0
6,180.26072147448568,387.10360055675886,0.0,0.0,1,88.2653191376125,0,,,,,,,,,,,0,0,0
7,828.8181407865595,96.52867500305184,0.0,0.0,4,248.94648135952653,0,,,,,,,,,,,0,0,0
8,242.2459619761136,668.3759538218259,0.0,0.0,7,7.875173305754831,0,,,,,,,,,,,0,0,0
9,149.82769458772583,251.86605787746996,0.0,0.0,0,105.11259357590039,0,,,,,,,,,,,0,0,0
10,804.6396794180617,544.6322735155784,0.0,0.0,10,133.60791777824642,0,,,,,,,,,,,0,0,0
11,920.9360639473333,674.3442782385886,0.0,0.0,11,7.909418079014165,0,,,,,,,,,,,0,0,0
12,143.3058324535633,557.8997318378458,1.0,0.0005,6,124.65818040133269,0,,,,,,,,,,,0,0,0
13,36.393496599885886,945.3072048229145,0.0,0.0,6,282.1826826995741,0,,,,,,,,,,,0,0,0
14,314.90033045912713,143.71493869514407,0.0,0.0,1,200.10219220909843,0,,,,,,,,,,,0,0,0
15,613.4091471820769,683.793479522408,0.0,0.0,9,33.86619099406665,0,,,,,,,,,,,0,0,0
16,615.5010285524463,695.5533165628398,0.0,0.0,9,42.515958022838646,0,,,,,,,,,,,0,0,0
17,80.8698188363769,610.5238707340501,0.0,0.0,6,56.516288348175685,0,,,,,,,,,,,0,0,0
18,715.1082690815856,856.177315999109,0.0,0.0,10,192.5520013839031,0,,,,,,,,,,,0,0,0
19,342.6639931820799,142.68934708630266,0.0,0.0,2,204.31345164249868,0,,,,,,,,,,,0,0,0
20,109.81377380573531,554.8074870997674,0.0,0.0,6,115.3522362877027,0,,,,,,,,,,,0,0,0
21,612.6675432566217,601.4005315247937,0.0,0.0,9,71.58993155884328,0,,,,,,,,,,,0,0,0
22,286.7953511465152,395.1470871610233,1.0,0.0005,1,72.22297632052549,0,,,,,,,,,,,0,0,0
