gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,83.0,333.0,4,50,921.4960209399999,862.865049,1222.5263121,1327.9928225699998,54.518925079999995,864.2443681,0,50,400000,33463,0,96613037123,96613037123,91054308920,5558728203,94.24639948341229,4079
1,1,250.0,333.0,7,52,974.5441156153848,940.5843904999999,1240.9716816999999,1530.164796920001,85.24086098076923,886.63315425,0,52,416000,34078,0,96613037123,96613037123,93804639175,2808397948,97.09314805575922,4340
2,2,417.0,333.0,10,49,951.1736762857142,874.888252,1416.2203123999993,1492.7158083199997,87.73311359183674,860.7087814081633,0,49,392000,31336,0,96613037123,96613037123,93165913323,3447123800,96.43203039398152,4638
3,3,584.0,333.0,9,50,990.6649137399999,877.199451,1626.0247920499996,2100.48631761,119.09384628000001,868.8061979400001,0,50,400000,31696,0,96613037123,96613037123,91249195046,5363842077,94.44811773159435,4249
4,4,751.0,333.0,8,53,947.568776981132,860.353253,1240.9788475999999,1454.8640416799994,75.25589173584905,869.512138735849,0,53,424000,35015,0,96613037123,96613037123,91836968238,4776068885,95.05649648616316,4167
5,5,918.0,333.0,6,46,906.429738478261,848.775847,1204.1982025,1397.9913893499997,56.95295536956522,846.8395545434782,0,46,368000,30165,0,96613037123,96613037123,92774909617,3838127506,96.02731927253917,4495
6,6,83.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
7,7,250.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
8,8,417.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
9,9,584.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
10,10,751.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
11,11,918.0,667.0,0,0,,,,,,,0,0,0,0,0,96613037123,96613037123,0,96613037123,0.0,0
