gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,167.0,333.0,4,50,921.49601822,862.864898,1222.52646665,1327.9926715699999,54.52326188,864.2443681,0,50,400000,33463,0,96596607945,96596607945,91054308920,5542299025,94.26242893730216,4079
1,1,500.0,333.0,7,52,980.1244382884614,940.584726,1254.0562384999998,1567.0967148400011,83.50354671153846,893.6462706538462,0,52,416000,34078,0,96596607945,96596607945,93982233879,2614374066,97.29351359057186,4317
2,2,833.0,333.0,10,49,951.1738859183674,874.889217,1416.2206419999993,1492.7162226399998,87.25137224489796,860.7087814081633,0,49,392000,31336,0,96596607945,96596607945,93165913323,3430694622,96.44843158058578,4638
3,3,167.0,667.0,9,50,997.827192,887.724587,1630.8980464999997,2087.4341204199995,116.84751708,868.5119854400001,0,50,400000,31696,0,96596607945,96596607945,91227478251,5369129694,94.44169955009491,4249
4,4,500.0,667.0,8,53,958.3453228679244,873.104467,1248.4832755999998,1466.5283815999994,76.25053586792453,869.5975848113208,0,53,424000,35015,0,96596607945,96596607945,91839232559,4757375386,95.07500782148712,4167
5,5,833.0,667.0,6,46,916.7801038695652,859.33975,1214.7638235,1408.5554793499996,57.144901652173914,846.8395545434782,0,46,368000,30165,0,96596607945,96596607945,92774260403,3822347542,96.04297953798093,4495
6,6,1050167.0,333.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
7,7,1050500.0,333.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
8,8,1050833.0,333.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
9,9,1050167.0,667.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
10,10,1050500.0,667.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
11,11,1050833.0,667.0,0,0,,,,,,,0,0,0,0,0,96596607945,96596607945,0,96596607945,0.0,0
