arm,ttft_ms,cdf
3: redirect_kv_nopp,172.389568000,0.003333333
3: redirect_kv_nopp,184.694443000,0.006666667
3: redirect_kv_nopp,188.867482000,0.010000000
3: redirect_kv_nopp,195.615961000,0.013333333
3: redirect_kv_nopp,195.867791000,0.016666667
3: redirect_kv_nopp,195.895848000,0.020000000
3: redirect_kv_nopp,202.034966000,0.023333333
3: redirect_kv_nopp,204.445799000,0.026666667
3: redirect_kv_nopp,209.430425000,0.030000000
3: redirect_kv_nopp,210.239345000,0.033333333
3: redirect_kv_nopp,211.754887000,0.036666667
3: redirect_kv_nopp,213.610321000,0.040000000
3: redirect_kv_nopp,213.812195000,0.043333333
3: redirect_kv_nopp,214.745732000,0.046666667
3: redirect_kv_nopp,218.540893000,0.050000000
3: redirect_kv_nopp,220.991912000,0.053333333
3: redirect_kv_nopp,228.731783000,0.056666667
3: redirect_kv_nopp,233.433969000,0.060000000
3: redirect_kv_nopp,237.080308000,0.063333333
3: redirect_kv_nopp,246.718047000,0.066666667
3: redirect_kv_nopp,247.595689000,0.070000000
3: redirect_kv_nopp,285.100141000,0.073333333
3: redirect_kv_nopp,290.069070000,0.076666667
3: redirect_kv_nopp,304.013624000,0.080000000
3: redirect_kv_nopp,313.006484000,0.083333333
3: redirect_kv_nopp,318.103321000,0.086666667
3: redirect_kv_nopp,336.026259000,0.090000000
3: redirect_kv_nopp,341.897560000,0.093333333
3: redirect_kv_nopp,356.208811000,0.096666667
3: redirect_kv_nopp,364.322128000,0.100000000
3: redirect_kv_nopp,375.197725000,0.103333333
3: redirect_kv_nopp,383.777075000,0.106666667
3: redirect_kv_nopp,386.667481000,0.110000000
3: redirect_kv_nopp,387.924689000,0.113333333
3: redirect_kv_nopp,395.450240000,0.116666667
3: redirect_kv_nopp,398.004915000,0.120000000
3: redirect_kv_nopp,403.698692000,0.123333333
3: redirect_kv_nopp,411.700543000,0.126666667
3: redirect_kv_nopp,413.187581000,0.130000000
3: redirect_kv_nopp,416.451328000,0.133333333
3: redirect_kv_nopp,419.926475000,0.136666667
3: redirect_kv_nopp,427.238516000,0.140000000
3: redirect_kv_nopp,432.312509000,0.143333333
3: redirect_kv_nopp,443.593214000,0.146666667
3: redirect_kv_nopp,461.751224000,0.150000000
3: redirect_kv_nopp,462.521536000,0.153333333
3: redirect_kv_nopp,466.079486000,0.156666667
3: redirect_kv_nopp,470.012922000,0.160000000
3: redirect_kv_nopp,492.440040000,0.163333333
3: redirect_kv_nopp,504.726126000,0.166666667
3: redirect_kv_nopp,510.923034000,0.170000000
3: redirect_kv_nopp,513.039031000,0.173333333
3: redirect_kv_nopp,516.486203000,0.176666667
3: redirect_kv_nopp,518.007469000,0.180000000
3: redirect_kv_nopp,522.720480000,0.183333333
3: redirect_kv_nopp,523.596257000,0.186666667
3: redirect_kv_nopp,534.744822000,0.190000000
3: redirect_kv_nopp,537.089061000,0.193333333
3: redirect_kv_nopp,537.269831000,0.196666667
3: redirect_kv_nopp,538.107742000,0.200000000
3: redirect_kv_nopp,552.445366000,0.203333333
3: redirect_kv_nopp,556.727869000,0.206666667
3: redirect_kv_nopp,557.547469000,0.210000000
3: redirect_kv_nopp,561.311767000,0.213333333
3: redirect_kv_nopp,567.478736000,0.216666667
3: redirect_kv_nopp,581.177466000,0.220000000
3: redirect_kv_nopp,584.665523000,0.223333333
3: redirect_kv_nopp,594.289366000,0.226666667
3: redirect_kv_nopp,594.308818000,0.230000000
3: redirect_kv_nopp,599.917567000,0.233333333
3: redirect_kv_nopp,600.373334000,0.236666667
3: redirect_kv_nopp,602.274918000,0.240000000
3: redirect_kv_nopp,603.859655000,0.243333333
3: redirect_kv_nopp,621.073940000,0.246666667
3: redirect_kv_nopp,621.971179000,0.250000000
3: redirect_kv_nopp,625.462096000,0.253333333
3: redirect_kv_nopp,629.802757000,0.256666667
3: redirect_kv_nopp,636.907488000,0.260000000
3: redirect_kv_nopp,637.805754000,0.263333333
3: redirect_kv_nopp,644.158266000,0.266666667
3: redirect_kv_nopp,668.625537000,0.270000000
3: redirect_kv_nopp,681.949050000,0.273333333
3: redirect_kv_nopp,683.464019000,0.276666667
3: redirect_kv_nopp,683.730632000,0.280000000
3: redirect_kv_nopp,685.340620000,0.283333333
3: redirect_kv_nopp,689.429932000,0.286666667
3: redirect_kv_nopp,696.690071000,0.290000000
3: redirect_kv_nopp,703.217683000,0.293333333
3: redirect_kv_nopp,708.543952000,0.296666667
3: redirect_kv_nopp,709.372186000,0.300000000
3: redirect_kv_nopp,709.581121000,0.303333333
3: redirect_kv_nopp,717.225906000,0.306666667
3: redirect_kv_nopp,738.237533000,0.310000000
3: redirect_kv_nopp,739.002812000,0.313333333
3: redirect_kv_nopp,739.152280000,0.316666667
3: redirect_kv_nopp,741.892514000,0.320000000
3: redirect_kv_nopp,743.008104000,0.323333333
3: redirect_kv_nopp,746.101153000,0.326666667
3: redirect_kv_nopp,747.686190000,0.330000000
3: redirect_kv_nopp,764.143418000,0.333333333
3: redirect_kv_nopp,765.800996000,0.336666667
3: redirect_kv_nopp,773.817932000,0.340000000
3: redirect_kv_nopp,775.982247000,0.343333333
3: redirect_kv_nopp,780.635725000,0.346666667
3: redirect_kv_nopp,787.377020000,0.350000000
3: redirect_kv_nopp,787.596195000,0.353333333
3: redirect_kv_nopp,789.017768000,0.356666667
3: redirect_kv_nopp,789.213874000,0.360000000
3: redirect_kv_nopp,792.140077000,0.363333333
3: redirect_kv_nopp,792.813456000,0.366666667
3: redirect_kv_nopp,799.024870000,0.370000000
3: redirect_kv_nopp,799.456530000,0.373333333
3: redirect_kv_nopp,801.260650000,0.376666667
3: redirect_kv_nopp,805.225094000,0.380000000
3: redirect_kv_nopp,810.776085000,0.383333333
3: redirect_kv_nopp,813.570453000,0.386666667
3: redirect_kv_nopp,825.868237000,0.390000000
3: redirect_kv_nopp,829.947706000,0.393333333
3: redirect_kv_nopp,830.656328000,0.396666667
3: redirect_kv_nopp,831.641779000,0.400000000
3: redirect_kv_nopp,835.152653000,0.403333333
3: redirect_kv_nopp,838.178817000,0.406666667
3: redirect_kv_nopp,843.837576000,0.410000000
3: redirect_kv_nopp,844.764766000,0.413333333
3: redirect_kv_nopp,851.327769000,0.416666667
3: redirect_kv_nopp,852.918161000,0.420000000
3: redirect_kv_nopp,853.108771000,0.423333333
3: redirect_kv_nopp,857.360506000,0.426666667
3: redirect_kv_nopp,860.355880000,0.430000000
3: redirect_kv_nopp,864.137414000,0.433333333
3: redirect_kv_nopp,868.679663000,0.436666667
3: redirect_kv_nopp,871.195407000,0.440000000
3: redirect_kv_nopp,876.577611000,0.443333333
3: redirect_kv_nopp,878.951081000,0.446666667
3: redirect_kv_nopp,887.808212000,0.450000000
3: redirect_kv_nopp,888.883809000,0.453333333
3: redirect_kv_nopp,889.792831000,0.456666667
3: redirect_kv_nopp,906.634434000,0.460000000
3: redirect_kv_nopp,927.831517000,0.463333333
3: redirect_kv_nopp,933.932697000,0.466666667
3: redirect_kv_nopp,941.118819000,0.470000000
3: redirect_kv_nopp,949.375544000,0.473333333
3: redirect_kv_nopp,950.639027000,0.476666667
3: redirect_kv_nopp,951.089271000,0.480000000
3: redirect_kv_nopp,952.685237000,0.483333333
3: redirect_kv_nopp,955.915943000,0.486666667
3: redirect_kv_nopp,962.329056000,0.490000000
3: redirect_kv_nopp,973.637492000,0.493333333
3: redirect_kv_nopp,974.281213000,0.496666667
3: redirect_kv_nopp,975.585011000,0.500000000
3: redirect_kv_nopp,989.285779000,0.503333333
3: redirect_kv_nopp,995.107245000,0.506666667
3: redirect_kv_nopp,1000.633077000,0.510000000
3: redirect_kv_nopp,1001.138525000,0.513333333
3: redirect_kv_nopp,1005.732584000,0.516666667
3: redirect_kv_nopp,1012.067883000,0.520000000
3: redirect_kv_nopp,1017.293740000,0.523333333
