gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,25,25,2119.85357316,2269.93506,3604.5460707999996,3776.12154556,1005.3397122789111,428.9117114,0,25,100256,7936,46837792,40041050126,39994212334,24722562398,15271649936,61.81535016000998,794
1,1,280.62430400804567,124.72191289246473,26,26,1935.0742081153844,2028.526109,4113.508379999999,4536.23628825,812.3558073930359,413.2215871923077,0,26,100954,7501,46837792,40041050126,39994212334,24091407104,15902805230,60.23723358471881,785
2,2,467.7071733467427,124.72191289246473,29,29,1407.4827661034483,708.543952,4093.5372027999997,4962.256442639999,160.30339797624976,353.2145716551724,0,29,108701,7418,46837792,40041050126,39994212334,32372275762,7621936572,80.94240109456933,1238
3,3,654.7900426854399,124.72191289246473,21,21,1124.6386587142854,1025.833654,3189.574389,4010.5525146000004,201.74190027641595,407.68021528571427,0,21,85551,5921,46837792,40041050126,39994212334,23745962119,16248250215,59.37349614662373,858
4,4,93.54143466934855,374.16573867739424,26,26,1251.5903372692308,1044.4090500000002,3259.91793275,4101.5193185,221.9915904069641,409.15153542307695,0,26,98763,7106,46837792,40041050126,39994212334,23205757485,16788454849,58.022789125596184,742
5,5,280.62430400804567,374.16573867739424,26,26,1237.3301087307693,590.5475165,3999.91333025,4519.48537925,127.59010327869827,292.57908992307694,0,26,93534,8319,46837792,40041050126,39994212334,39681816550,312395784,99.2188975209935,1702
6,6,467.7071733467427,374.16573867739424,22,22,1146.7482818181818,841.4329335,3147.1894986,3585.8200735299997,173.1472001755782,348.77450254545454,0,22,83606,7073,46837792,40041050126,39994212334,23648037809,16346174525,59.128649944422726,840
7,7,654.7900426854399,374.16573867739424,24,27,1621.9912299259256,844.764766,4157.6765329,4644.710558919999,114.26512444672373,344.7992907777778,0,27,108795,5918,46837792,40041050126,39994212334,24812300316,15181912018,62.03972742052603,885
8,8,93.54143466934855,623.6095644623236,24,24,1380.0613133333334,891.6060225000001,4121.674128,4423.34327354,141.9872239497534,416.8730658333333,0,24,94435,6344,46837792,40041050126,39994212334,25739756199,14254456135,64.35870266438037,959
9,9,280.62430400804567,623.6095644623236,26,26,1636.5593910769235,1075.2304895,3846.2095645,4274.44845375,202.3635170855257,416.5114912307692,0,26,98473,7304,46837792,40041050126,39994212334,25135962458,14858249876,62.84899987049211,859
10,10,467.7071733467427,623.6095644623236,24,24,1267.0495819166665,879.5018095,3699.169537999999,3955.19254174,121.55933526696248,417.01440925,0,24,86882,7658,46837792,40041050126,39994212334,24596768005,15397444329,61.50081866742935,855
11,11,654.7900426854399,623.6095644623236,24,24,1366.9633789583334,1024.0776465,4035.6548130499964,4325.47353723,196.99261583160754,448.01058670833334,0,24,98050,5379,46837792,40041050126,39994212334,19639061487,20355150847,49.10475876606871,584
