gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,65,65,3240.3463458307688,3255.517618,5833.130474199999,6144.1258093199995,2683.0823795692304,555.9611091846153,0,65,254736,16654,46837792,41327007037,41280169245,28646651198,12633518047,69.39567284228076,1577
1,1,280.62430400804567,124.72191289246473,51,51,947.8991180392156,847.21056,1913.9230075,1964.4611935,410.5334851321035,472.8592658039216,0,51,196613,13124,46837792,41327007037,41280169245,25567086875,15713082370,61.93551853738287,1495
2,2,467.7071733467427,124.72191289246473,43,45,923.2191072444446,1007.363082,1373.0720794,1587.2257962400001,336.5837964458383,479.87320817777777,0,45,172982,14335,46837792,41327007037,41280169245,40966552567,313616678,99.24027279021395,2483
3,3,654.7900426854399,124.72191289246473,43,47,857.8530672127658,860.041164,1490.8580012999996,1589.2924590199998,264.8578442795669,475.44740691489363,0,47,185131,11842,46837792,41327007037,41280169245,25771982489,15508186756,62.431872156438885,1596
4,4,93.54143466934855,374.16573867739424,46,46,858.7128090652177,903.0070029999999,1474.7295410000002,1636.2119862999996,239.07597063946488,469.24019254347826,0,46,174426,13897,46837792,41327007037,41280169245,26004170635,15275998610,62.99434113427167,1627
5,5,280.62430400804567,374.16573867739424,46,46,1119.7644945217392,1121.618352,1647.33100175,1682.0197480499999,431.1950272542578,526.3300205652174,0,46,174112,14025,46837792,41327007037,41280169245,32024989594,9255179651,77.57959858141565,1963
6,6,467.7071733467427,374.16573867739424,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
7,7,654.7900426854399,374.16573867739424,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
8,8,93.54143466934855,623.6095644623236,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
9,9,280.62430400804567,623.6095644623236,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
10,10,467.7071733467427,623.6095644623236,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
11,11,654.7900426854399,623.6095644623236,0,0,,,,,,,0,0,0,0,46837792,41327007037,41280169245,0,41280169245,0.0,0
