gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,93.54143466934855,124.72191289246473,29,29,4697.229103068966,3321.510941,11295.865208199999,13206.479451079998,879.2631834137931,428.8793536551724,0,29,122430,7244,46837792,33048313293,33001475501,25749195240,7252280261,78.02437572592703,776
1,1,280.62430400804567,124.72191289246473,34,34,5208.115323,2829.474425,13026.2169079,13736.16356848,638.9365446470589,381.6394197352941,0,34,125689,9845,46837792,33048313293,33001475501,31819673807,1181801694,96.41894286222387,1073
2,2,467.7071733467427,124.72191289246473,8,8,419.67596925,308.51005399999997,760.3575781499999,816.5965780299999,117.838239375,300.558671375,0,8,30753,1372,46837792,33048313293,33001475501,9359965700,23641509801,28.362264286384338,403
3,3,654.7900426854399,124.72191289246473,4,4,399.26844675,444.9696985,525.035037,532.802865,45.70592375,352.064294,0,4,18122,846,46837792,33048313293,33001475501,8338630077,24662845424,25.2674462290249,392
4,4,93.54143466934855,374.16573867739424,3,3,240.96089666666668,235.747583,280.1648852,284.11308984,29.307168333333333,210.438351,0,3,10933,543,46837792,33048313293,33001475501,6969654435,26031821066,21.119220668751034,362
5,5,280.62430400804567,374.16573867739424,6,6,342.2370905,288.03850750000004,551.66394525,559.3822026500001,63.458822166666664,277.51515366666666,0,6,22765,3919,46837792,33048313293,33001475501,32689079717,312395784,99.05338843413067,1702
6,6,467.7071733467427,374.16573867739424,3,3,331.1549553333333,318.103321,447.38643369999994,458.87826593999995,42.365575666666665,287.638749,0,3,10327,642,46837792,33048313293,33001475501,8445862924,24555612577,25.59237972176146,447
7,7,654.7900426854399,374.16573867739424,3,4,389.65559525,405.135408,532.3887264,534.10924128,65.64301325,322.557997,0,4,17574,744,46837792,33048313293,33001475501,8888743521,24112731980,26.934382133097824,447
8,8,93.54143466934855,623.6095644623236,3,3,422.0745046666666,531.371777,538.1974778,538.8042067599999,36.62761866666666,383.8945066666667,0,3,14098,505,46837792,33048313293,33001475501,5466262964,27535212537,16.563692625908082,251
9,9,280.62430400804567,623.6095644623236,2,2,310.825268,310.825268,382.81899409999994,389.21843642,93.5540965,216.0054075,0,2,7609,450,46837792,33048313293,33001475501,4835371517,28166103984,14.65198583879524,245
10,10,467.7071733467427,623.6095644623236,2,2,271.0189745,271.0189745,338.65503965,344.66713433,2.6854315,266.856343,0,2,8926,523,46837792,33048313293,33001475501,6988044681,26013430820,21.17494619532466,367
11,11,654.7900426854399,623.6095644623236,2,2,277.6766755,277.6766755,279.60002455,279.77098891,8.3884415,267.816915,0,2,8891,596,46837792,33048313293,33001475501,9111420795,23890054706,27.609131581780062,493
