arm,tpot_ms,cdf
1: no_redirect,0.000000000,0.003333333
1: no_redirect,0.000000000,0.006666667
1: no_redirect,0.000000000,0.010000000
1: no_redirect,17.154210000,0.013333333
1: no_redirect,18.163978000,0.016666667
1: no_redirect,18.282289000,0.020000000
1: no_redirect,18.360325000,0.023333333
1: no_redirect,18.560409000,0.026666667
1: no_redirect,18.894515000,0.030000000
1: no_redirect,19.194614000,0.033333333
1: no_redirect,19.304228000,0.036666667
1: no_redirect,19.323993000,0.040000000
1: no_redirect,19.546855000,0.043333333
1: no_redirect,19.613823000,0.046666667
1: no_redirect,19.647205000,0.050000000
1: no_redirect,19.708962000,0.053333333
1: no_redirect,19.745173000,0.056666667
1: no_redirect,19.879331000,0.060000000
1: no_redirect,19.907227000,0.063333333
1: no_redirect,20.055904000,0.066666667
1: no_redirect,20.393197000,0.070000000
1: no_redirect,20.468890000,0.073333333
1: no_redirect,20.477773000,0.076666667
1: no_redirect,20.513367000,0.080000000
1: no_redirect,20.602628000,0.083333333
1: no_redirect,20.725015000,0.086666667
1: no_redirect,20.774890000,0.090000000
1: no_redirect,20.833420000,0.093333333
1: no_redirect,20.873029000,0.096666667
1: no_redirect,20.943971000,0.100000000
1: no_redirect,21.075047000,0.103333333
1: no_redirect,21.181776000,0.106666667
1: no_redirect,21.310229000,0.110000000
1: no_redirect,21.324720000,0.113333333
1: no_redirect,21.351720000,0.116666667
1: no_redirect,21.549653000,0.120000000
1: no_redirect,21.569547000,0.123333333
1: no_redirect,21.570672000,0.126666667
1: no_redirect,21.579404000,0.130000000
1: no_redirect,21.648881000,0.133333333
1: no_redirect,21.745860000,0.136666667
1: no_redirect,21.757805000,0.140000000
1: no_redirect,21.766849000,0.143333333
1: no_redirect,21.777969000,0.146666667
1: no_redirect,21.783020000,0.150000000
1: no_redirect,21.819923000,0.153333333
1: no_redirect,21.843255000,0.156666667
1: no_redirect,21.888629000,0.160000000
1: no_redirect,21.919809000,0.163333333
1: no_redirect,21.921063000,0.166666667
1: no_redirect,21.921657000,0.170000000
1: no_redirect,21.935945000,0.173333333
1: no_redirect,21.941724000,0.176666667
1: no_redirect,21.944668000,0.180000000
1: no_redirect,22.011408000,0.183333333
1: no_redirect,22.012851000,0.186666667
1: no_redirect,22.125082000,0.190000000
1: no_redirect,22.128832000,0.193333333
1: no_redirect,22.151674000,0.196666667
1: no_redirect,22.154578000,0.200000000
1: no_redirect,22.154631000,0.203333333
1: no_redirect,22.177962000,0.206666667
1: no_redirect,22.270959000,0.210000000
1: no_redirect,22.299014000,0.213333333
1: no_redirect,22.328377000,0.216666667
1: no_redirect,22.341574000,0.220000000
1: no_redirect,22.384557000,0.223333333
1: no_redirect,22.388389000,0.226666667
1: no_redirect,22.426128000,0.230000000
1: no_redirect,22.489284000,0.233333333
1: no_redirect,22.531560000,0.236666667
1: no_redirect,22.542001000,0.240000000
1: no_redirect,22.599231000,0.243333333
1: no_redirect,22.605254000,0.246666667
1: no_redirect,22.695008000,0.250000000
1: no_redirect,22.702003000,0.253333333
1: no_redirect,22.739422000,0.256666667
1: no_redirect,22.853497000,0.260000000
1: no_redirect,22.903282000,0.263333333
1: no_redirect,22.970435000,0.266666667
1: no_redirect,23.239390000,0.270000000
1: no_redirect,23.270831000,0.273333333
1: no_redirect,23.290493000,0.276666667
1: no_redirect,23.325512000,0.280000000
1: no_redirect,23.334889000,0.283333333
1: no_redirect,23.340596000,0.286666667
1: no_redirect,23.387942000,0.290000000
1: no_redirect,23.438583000,0.293333333
1: no_redirect,23.444738000,0.296666667
1: no_redirect,23.562034000,0.300000000
1: no_redirect,23.652765000,0.303333333
1: no_redirect,23.807803000,0.306666667
1: no_redirect,23.810424000,0.310000000
1: no_redirect,23.880233000,0.313333333
1: no_redirect,23.981212000,0.316666667
1: no_redirect,23.994910000,0.320000000
1: no_redirect,23.996231000,0.323333333
