arm,ttft_ms,cdf
1: no_redirect,173.147157000,0.003333333
1: no_redirect,183.440224000,0.006666667
1: no_redirect,184.306495000,0.010000000
1: no_redirect,184.694905000,0.013333333
1: no_redirect,188.515482000,0.016666667
1: no_redirect,188.639865000,0.020000000
1: no_redirect,194.193291000,0.023333333
1: no_redirect,196.255140000,0.026666667
1: no_redirect,197.271110000,0.030000000
1: no_redirect,201.444985000,0.033333333
1: no_redirect,202.128551000,0.036666667
1: no_redirect,213.741918000,0.040000000
1: no_redirect,215.549047000,0.043333333
1: no_redirect,217.926459000,0.046666667
1: no_redirect,221.287894000,0.050000000
1: no_redirect,228.603057000,0.053333333
1: no_redirect,231.161713000,0.056666667
1: no_redirect,231.320646000,0.060000000
1: no_redirect,237.764695000,0.063333333
1: no_redirect,248.646876000,0.066666667
1: no_redirect,250.786087000,0.070000000
1: no_redirect,255.182802000,0.073333333
1: no_redirect,260.771629000,0.076666667
1: no_redirect,282.205814000,0.080000000
1: no_redirect,297.369538000,0.083333333
1: no_redirect,298.871989000,0.086666667
1: no_redirect,306.609716000,0.090000000
1: no_redirect,313.144439000,0.093333333
1: no_redirect,322.541132000,0.096666667
1: no_redirect,325.337694000,0.100000000
1: no_redirect,336.516974000,0.103333333
1: no_redirect,345.063351000,0.106666667
1: no_redirect,346.873615000,0.110000000
1: no_redirect,360.660181000,0.113333333
1: no_redirect,361.846121000,0.116666667
1: no_redirect,366.783645000,0.120000000
1: no_redirect,385.713113000,0.123333333
1: no_redirect,386.612093000,0.126666667
1: no_redirect,394.036531000,0.130000000
1: no_redirect,401.258950000,0.133333333
1: no_redirect,402.298562000,0.136666667
1: no_redirect,411.880379000,0.140000000
1: no_redirect,433.140227000,0.143333333
1: no_redirect,461.749124000,0.146666667
1: no_redirect,479.222940000,0.150000000
1: no_redirect,511.006282000,0.153333333
1: no_redirect,528.765649000,0.156666667
1: no_redirect,532.855668000,0.160000000
1: no_redirect,542.606516000,0.163333333
1: no_redirect,542.723337000,0.166666667
1: no_redirect,555.254044000,0.170000000
1: no_redirect,570.222075000,0.173333333
1: no_redirect,603.011629000,0.176666667
1: no_redirect,604.927375000,0.180000000
1: no_redirect,613.605346000,0.183333333
1: no_redirect,615.727649000,0.186666667
1: no_redirect,649.469105000,0.190000000
1: no_redirect,654.086598000,0.193333333
1: no_redirect,656.159194000,0.196666667
1: no_redirect,671.389101000,0.200000000
1: no_redirect,690.088463000,0.203333333
1: no_redirect,694.435872000,0.206666667
1: no_redirect,694.574158000,0.210000000
1: no_redirect,700.604550000,0.213333333
1: no_redirect,701.015239000,0.216666667
1: no_redirect,713.232237000,0.220000000
1: no_redirect,731.055582000,0.223333333
1: no_redirect,749.998132000,0.226666667
1: no_redirect,757.714463000,0.230000000
1: no_redirect,759.292215000,0.233333333
1: no_redirect,774.960253000,0.236666667
