source_hour_utc,hongo_hour_jst_if_same_instant,rrc_connected_ues,normalized_load,ran_vram_total_gb,ran_vram_per_gpu_gb,ran_vram_fraction_per_gpu,ran_vram_percent_per_gpu,hongo_ru_count,gpu_count,gpu_vram_gb,reference_gh200_vram_gb,reference_vram_fraction,reference_ru_count,variable_vram_fraction,peak_ran_vram_total_gb
0,9,160,0.296979,37.352983,3.112749,0.129698,12.969786,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
1,10,101,0.187119,34.189017,2.849085,0.118712,11.871187,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
2,11,74,0.136459,32.730028,2.727502,0.113646,11.364593,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
3,12,68,0.126052,32.430309,2.702526,0.112605,11.260524,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
4,13,68,0.125377,32.410855,2.700905,0.112538,11.253769,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
5,14,99,0.183324,34.079734,2.839978,0.118332,11.833241,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
6,15,180,0.332577,38.378228,3.198186,0.133258,13.325774,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
7,16,291,0.538972,44.322380,3.693532,0.153897,15.389715,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
8,17,416,0.770918,51.002441,4.250203,0.177092,17.709181,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
9,18,480,0.889227,54.409734,4.534144,0.188923,18.892269,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
10,19,511,0.946436,56.057370,4.671447,0.194644,19.464365,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
11,20,540,1.000000,57.600000,4.800000,0.200000,20.000000,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
12,21,540,0.999076,57.573374,4.797781,0.199908,19.990755,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
13,22,535,0.990117,57.315356,4.776280,0.199012,19.901165,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
14,23,524,0.970126,56.739627,4.728302,0.197013,19.701259,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
15,0,510,0.944521,56.002204,4.666850,0.194452,19.445210,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
16,1,503,0.931265,55.620436,4.635036,0.193127,19.312651,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
17,2,478,0.885963,54.315733,4.526311,0.188596,18.859629,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
18,3,456,0.844215,53.113383,4.426115,0.184421,18.442147,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
19,4,449,0.831045,52.734100,4.394508,0.183105,18.310452,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
20,5,424,0.786022,51.437432,4.286453,0.178602,17.860220,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
21,6,390,0.723029,49.623225,4.135269,0.172303,17.230286,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
22,7,329,0.608961,46.338063,3.861505,0.160896,16.089605,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
23,8,233,0.431071,41.214843,3.434570,0.143107,14.310709,12,12,24.000000,96.000000,0.500000,10,0.500000,57.600000
