method,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,rerouted_requests,cross_site_redirects,tokyo_to_kagoshima_redirects,mean_router_capacity_wait_ms,p95_router_capacity_wait_ms,mean_scheduler_queue_ms,mean_compute_prefill_ms,mean_rtt_other_comm_ms,mean_residual_ms
local_only,2,600,59.653363940000006,44.925785,80.01027609999996,515.6469313599997,0,0,0,10.963537333333335,0.0,3.142303951666667,44.26337593833333,1.2842559333333334,6.751666666666666e-05
redirect_cold,2,600,49.17760578666667,44.972778,76.34830405,94.87336701999998,6,6,6,0.0,0.0,3.2399036066666667,44.638546255,1.2903817116666667,0.008948523333333333
local_only,3,600,258.667220995,47.0900935,1590.8048697499992,3704.7288978799984,0,0,0,207.52687010333332,1541.4732802999997,4.118245813333333,45.737958361666664,1.2842559333333334,6.751666666666666e-05
redirect_cold,3,600,52.27536759,45.9960565,82.38869029999995,134.48566217999993,29,29,29,0.0,0.0,4.005099096666667,46.917422613333336,1.3138951516666666,0.039119353333333336
local_only,4,600,838.4781517183333,66.7413665,3533.2862639999976,7256.545953589995,0,0,0,783.3987793733334,3450.407770449996,5.948223278333334,47.847002350000004,1.2842559333333334,6.751666666666666e-05
redirect_cold,4,600,99.78051533666667,59.539576,321.97070364999996,543.0881942099998,209,135,110,29.355540628333333,214.59719669999936,6.337232738333333,61.14437303166667,1.4977024566666668,1.4457832416666667
local_only,5,600,1558.0592830616667,315.99652249999997,5318.133409299999,10856.34003529,0,0,0,1502.47608473,5270.20669405,6.6200922,47.678959415,1.2842559333333334,6.751666666666666e-05
redirect_cold,5,600,985.3224602816667,730.7635204999999,2730.8903702499993,3016.19358995,358,202,148,902.9496565449999,2642.2961677999997,3.06111838,71.86415500833334,1.6496584183333332,5.798337215
local_only,6,600,2070.2400558983336,668.240232,8788.163594699992,11915.414648099999,0,0,0,2015.3313697783335,8733.829520899993,6.99204573,46.63249367333333,1.2842559333333334,6.751666666666666e-05
redirect_cold,6,600,1667.3442781133333,1517.3023484999999,4378.943053,4862.16580036,393,224,155,1585.6760061333334,4296.4816575,3.638981755,71.96423770166666,1.6853491233333333,4.379768256666667
local_only,7,600,2622.191527538333,1104.4192505,8230.7300504,14064.66558528,0,0,0,2565.0546464733334,8182.968784549998,7.4964521799999995,48.35628216833334,1.2842559333333334,6.751666666666666e-05
redirect_cold,7,600,2330.11034138,2128.596818,5825.315002399999,6133.84342958,404,255,183,2244.0972769733335,5717.662001099998,3.765170355,75.013881955,1.6966082683333332,5.538124931666666
local_only,8,600,3000.694809831667,1314.3517715,10063.60132665,14281.037480849998,0,0,0,2942.94969891,9997.7497694,8.496805171666667,47.96415903333333,1.2842559333333334,6.751666666666666e-05
redirect_cold,8,600,2837.2279107749996,2779.9576595,6755.446504149999,7222.919122050001,440,271,193,2751.183661963333,6633.641158949999,3.911857631666667,75.45288650333333,1.733308865,4.946240753333333
local_only,9,600,3335.4203388466663,1731.4517675,10361.2039697,14478.512779629998,0,0,0,3277.5039114533333,10311.07412725,8.255654523333334,48.37662615333333,1.2842559333333334,6.751666666666666e-05
redirect_cold,9,600,3247.2449311666664,3143.4161845,7745.9575073,8094.598925849999,447,269,183,3154.2587288699997,7629.629584899999,4.901889623333333,79.39433316833333,1.7405332733333334,6.949490926666667
local_only,10,600,3611.160232563334,2178.3135075,10645.3151234,15910.151440879992,0,0,0,3551.532141383333,10581.5296535,9.026086545,49.31785791833334,1.2842559333333334,6.751666666666666e-05
redirect_cold,10,600,3557.9565795700005,3540.05766,8173.5275839999995,8857.207000059998,443,270,187,3463.2235191783334,8093.493202799998,6.6509350366666675,80.29903010666666,1.7364626683333333,6.047211811666666
