gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,55.558960375,49.488237,96.42253364999999,105.38632071,11.178594666666665,44.380365708333336,0,24,16329,15695
1,1,5000.0,2113.249,2,30,66.11712893333332,58.896298,138.7180451999998,196.24429999000003,8.164975633333334,57.9521533,0,30,27280,18889
2,2,8333.333,2113.249,2,22,70.55725313636364,55.1143055,177.95618634999997,186.87965548999998,13.955793818181819,56.60145931818182,0,22,19680,14466
3,3,0.0,5000.0,2,35,74.37741045714286,61.246715,145.07991389999998,160.37184447999994,9.943573828571429,64.43383662857143,0,35,35048,22625
4,4,3333.333,5000.0,2,49,64.96816081632653,60.873059,112.80088259999991,127.66053967999999,8.745048224489794,56.22311259183674,0,49,41222,32215
5,5,6666.667,5000.0,2,25,66.18909767999999,66.490125,90.59699099999999,100.42479271999997,10.16678216,56.02231552000001,0,25,22283,17011
6,6,10000.0,5000.0,2,30,69.3075575,62.5418285,110.58135534999998,113.92853962,10.049408166666666,59.258149333333336,0,30,28020,20405
7,7,1666.667,7886.751,2,29,62.28827779310345,58.773238,91.0660266,127.86416851999994,10.570492310344829,51.71778548275862,0,29,23321,18457
8,8,5000.0,7886.751,2,30,70.19858263333332,51.581113,181.82640349999957,286.76590188,15.748071366666666,54.450511266666666,0,30,25144,19793
9,9,8333.333,7886.751,2,26,55.76512299999999,51.2582745,101.47998875,118.7093955,8.593619807692308,47.171503192307696,0,26,18912,16197
