user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,429.55906566666664,390.9565685,623.9836542499999,699.1595660500001,0.0,20.83218975,408.7268759166667,14003.365985666665,14432.925051333334,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,431.86193475000005,405.3167155,615.6162358499998,691.87351277,0.0,26.220873833333332,405.6410609166667,14882.626845416666,15314.488780166666,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,420.1628453333334,403.408997,511.8417915999999,561.92155112,0.0,23.189364466666664,396.97348086666665,14021.146840666666,14441.309686,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,418.33310493333323,389.66189,562.7984917999996,731.8361527599998,0.0,25.1592276,393.17387733333334,15165.185208866667,15583.5183138,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,418.96796109090906,381.277443,599.3817835,761.5251599000002,0.0,16.702942636363638,402.26501845454544,14137.889904181819,14556.857865272728,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,422.359673,391.178757,579.1707395,593.6525343,0.0,11.202371909090909,411.1573010909091,13979.605610545454,14401.965283545454,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,397.17121633333335,397.6754315,412.80765345,417.15960109,0.0,8.299536055555556,388.8716802777778,16101.19760888889,16498.36882522222,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,430.95897088235296,407.556021,584.9908901999999,652.1328684399999,0.0,18.282599764705882,412.6763711176471,15524.643674941177,15955.60264582353,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,528.0275330000001,410.023085,967.9457911999992,1227.0890204399993,0.09910288,33.9767414,493.77777760000004,18030.15717436,18558.13661536,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,520.2357992083333,411.04308649999996,872.5555851499997,1089.94176288,0.10323216666666667,33.70294283333334,486.23165825,18006.549296666668,18526.735000041666,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,458.4678206923077,420.581594,603.1527093999999,623.67551788,0.0,25.45130646153846,433.0165142307692,19115.223598692308,19573.691419384617,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,510.3256910833334,485.4410215,727.4192353999999,753.3207734800001,0.05161608333333333,25.66865041666667,484.5803530833333,15324.752622166667,15835.053265333334,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,434.02413193333336,394.597534,658.3902102999999,692.6067988599999,0.0,27.3006838,406.7234481333333,16240.505772733333,16674.529904666666,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,443.3758174,411.026176,579.8049652999999,590.86041306,0.0,10.954269733333332,432.4215476666667,17173.783760066668,17617.159577466668,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,425.1333673333333,403.442264,563.8256319999998,608.340032,0.0,16.696040266666667,408.4373270666667,13993.385214133334,14418.518581466667,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,390.7933132142858,390.4534685,412.0741727,413.55833694,0.0,8.54118342857143,382.25212978571426,15000.326959714284,15391.120272928572,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,395.94092033333334,398.350202,415.7514676,416.21685112,0.0,6.9146432,389.02627713333334,15045.398139666666,15441.33906,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,428.5528940666666,394.159466,616.2065553999997,719.3474270799999,0.0,23.6681228,404.88477126666663,15893.942389933332,16322.495284,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,474.083638076923,392.875855,814.1737659999993,1052.2715019999996,0.0,31.741094923076925,442.3425431538461,14675.349901461539,15149.433539538462,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,464.12933523076924,402.051328,750.4902303999988,1159.8221948799992,0.0,65.97490915384616,398.1544260769231,14484.839098461538,14948.96843369231,prefill,0,1,12
