gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,430.71050020833337,395.954632,686.3620370499996,716.33993024,23.526531791666667,407.1839684166667,0,24,144000,15695
1,1,5000.0,2113.249,2,30,419.2607127333334,395.442376,534.2227100999997,716.2197686700002,24.187033633333332,395.07367910000005,0,30,180000,18889
2,2,8333.333,2113.249,2,22,420.6602259090909,389.586327,595.46050165,759.0532625899998,13.949066136363637,406.7111597727272,0,22,132000,14466
3,3,0.0,5000.0,2,35,413.5824114,403.360898,464.2792491999996,633.2491870599996,13.148452714285714,400.4339586857143,0,35,210000,22625
4,4,3333.333,5000.0,2,41,451.35850839024386,408.192973,701.865398,825.0231458000003,26.219055414634145,425.1394529756098,0,41,246000,26932
5,5,6666.667,5000.0,4,33,541.2521337272727,510.271754,795.1781071999998,923.72789556,22.96310949872716,441.08298390909096,0,33,198000,22294
6,6,10000.0,5000.0,2,30,438.69159249999996,400.617675,619.1506309999999,683.42840621,19.1190946,419.5724979,0,30,180000,20405
7,7,1666.667,7886.751,2,29,408.55541017241376,399.581814,493.65080159999974,597.2114319999998,12.759212827586207,395.7961973448276,0,29,174000,18457
8,8,5000.0,7886.751,2,30,412.2469072,395.50881300000003,500.9926094499996,691.7204078800002,15.291383,396.9555242,0,30,180000,19793
9,9,8333.333,7886.751,2,26,427.9629926923077,396.4979595,605.13279275,697.4672987499999,18.335804884615385,409.6271878076923,0,26,156000,16197
