gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,4,39.40494575,36.7960285,53.6752811,55.57006742,6.34265075,33.062295,0,4,2105,2666
1,1,5000.0,2113.249,2,3,104.23407966666666,102.27908,161.9064776,167.20669072,7.557244333333333,96.67683533333333,0,3,4962,1659
2,2,8333.333,2113.249,0,0,,,,,,,0,0,0,0
3,3,0.0,5000.0,1,2,36.673887,36.673887,47.159300099999996,48.091336819999995,4.164368,32.509519,0,2,935,1484
4,4,3333.333,5000.0,1,1,54.057956,54.057956,54.057956,54.057956,0.028553,54.029403,0,1,954,576
5,5,6666.667,5000.0,1,2,44.392449,44.392449,58.7885727,60.06822814,4.4657365,39.9267125,0,2,1370,1128
6,6,10000.0,5000.0,1,1,82.217507,82.217507,82.217507,82.217507,0.014498,82.203009,0,1,1479,681
7,7,1666.667,7886.751,1,2,60.262975999999995,60.262975999999995,76.5061868,77.95002776,7.3106945,52.9522815,0,2,1746,1497
8,8,5000.0,7886.751,2,4,43.58262775,43.555629499999995,60.10991765,60.63507953,5.5388755,38.04375225,0,4,2373,2477
9,9,8333.333,7886.751,1,1,40.078439,40.078439,40.078439,40.078439,0.029883,40.048556,0,1,610,530
