user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,639.4267984578837,25.010755222666937,,,1,487.6896713622452,1,26.010317,26.010317,26.010317,26.010317,0.150476,6.382171,19.47767,8700.12911,8726.128989,prefill,0,0,1
1,275.02931836911927,223.21073814882274,,,0,277.91862523793236,1,31021.573415,31021.573415,31021.573415,31021.573415,0.25206,30992.947312,28.374043,7642.994917,38664.558942,queueing,0,1,0
2,736.4712141640124,676.6994874229113,,,1,177.2166383320584,0,,,,,,,,,,,0,0,0
3,892.1795677048455,86.93883262941615,,,1,436.8461485034362,0,,,,,,,,,,,0,0,0
4,421.9218196852704,29.797219438070343,,,0,500.6473478727964,0,,,,,,,,,,,0,0,0
5,218.63797480360336,505.3552881033624,,,0,31.815966669102366,1,20911.501764,20911.501764,20911.501764,20911.501764,0.393278,20860.89664,50.211846,8698.445353,29609.938958,queueing,0,1,0
6,26.535969683863627,198.8376506866485,,,0,375.01324441820486,1,12069.603305,12069.603305,12069.603305,12069.603305,0.31223,12029.535291,39.755784,9414.71693,21484.31036,queueing,0,1,0
7,649.8844377795232,544.9414806032166,,,1,109.73997666088444,5,10716.381737599999,14337.843836,15760.9563508,16044.66635496,0.238602,10688.130614,28.012521600000003,7744.578401600001,18460.951590200002,queueing,0,4,1
8,220.4406220406967,589.2656838759087,,,0,94.0325430006794,3,22499.429484666663,15634.785858,35404.4235507,37161.724678939994,0.3621133333333333,22454.31499866667,44.752372666666666,8250.177859,30749.59887366667,queueing,0,3,0
9,809.4304566778267,6.498759678061017,,,1,497.06685001137146,2,35696.586142500004,35696.586142500004,36059.313102449996,36091.55549889,0.38689,35647.9664905,48.232762,9057.2552255,44753.830883,queueing,0,2,0
10,805.8192518328079,698.1393949882269,,,1,205.85190968624752,2,20899.5830445,20899.5830445,21422.01126135,21468.44932507,0.398058,20848.946211,50.2387755,8130.3488925,29029.922908,queueing,0,2,0
11,340.25051651799185,155.47949981178155,,,0,356.14537871732176,1,105.716151,105.716151,105.716151,105.716151,0.806122,0.0,104.910029,6669.482789,6775.189159,prefill,0,0,1
12,957.2130722067812,336.59454511262675,,,1,263.8912654490901,1,35075.150008,35075.150008,35075.150008,35075.150008,0.290638,35039.147863,35.711507,9397.632805,44472.773494,queueing,0,1,0
13,92.7458433801479,96.71637683346401,,,0,432.8585802413412,0,,,,,,,,,,,0,0,0
14,847.4943663474597,603.7260313668911,,,1,142.35252387161236,0,,,,,,,,,,,0,0,0
15,807.1282732743801,729.7317866938179,,,1,236.72839589885723,1,21126.034274,21126.034274,21126.034274,21126.034274,0.470528,21066.296734,59.267012,9565.432054,30691.457144,queueing,0,1,0
16,536.2280914547007,973.1157639793706,,,1,519.169485822196,2,33283.893305,33283.893305,37074.9549449,37411.93820178,0.399592,33234.072247,49.421466,7870.176883,41154.059592,queueing,0,2,0
17,378.5343772083535,552.040631273227,,,0,138.66979998419,0,,,,,,,,,,,0,0,0
18,829.4046642529948,618.5197523642461,,,1,142.66054957700482,0,,,,,,,,,,,0,0,0
19,861.7069003107772,577.352145256762,,,1,135.87415483772153,1,8148.177648,8148.177648,8148.177648,8148.177648,0.135118,8128.353309,19.689221,6898.204154,15046.373123,queueing,0,1,0
20,704.5718362149235,45.82438365566222,,,1,456.4419005159833,2,29598.56807,29598.56807,42127.3663979,43241.037360379996,0.550004,29514.820462,83.197604,7667.3417275,37265.8995155,queueing,0,2,0
21,227.89827565154687,289.38796360210716,,,0,211.76854368588917,2,40.093548,40.093548,45.1312449,45.57904018,0.251878,8.4748015,31.3668685,9660.245237,9700.329726,prefill,0,0,2
22,79.79197692362749,232.79088636103018,,,0,316.8145854143885,0,,,,,,,,,,,0,0,0
23,101.00142940972911,277.97360311009214,,,0,267.3879110091906,1,14024.3639,14024.3639,14024.3639,14024.3639,0.175154,14000.518816,23.66993,6900.870285,20925.224848,queueing,0,1,0
24,635.6844442644002,364.8321789700842,,,1,177.0265124920964,1,8043.837262,8043.837262,8043.837262,8043.837262,0.18961,8018.336455,25.311197,6582.099594,14625.927971,queueing,0,1,0
25,370.18096711688264,209.50703077148768,,,0,314.3718022156991,0,,,,,,,,,,,0,0,0
26,266.97782204911334,936.6545877124939,,,0,436.98452536891904,1,28377.513988,28377.513988,28377.513988,28377.513988,0.17013,28356.836713,20.507145,8765.42743,37142.931233,queueing,0,1,0
