user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,639.4267984578837,25.010755222666937,,,1,487.6896713622452,1,26.010317,26.010317,26.010317,26.010317,0.150476,6.382171,19.47767,17058.568208,17084.568087,prefill,0,0,1
1,275.02931836911927,223.21073814882274,,,0,277.91862523793236,1,67.061794,67.061794,67.061794,67.061794,0.257557,12.487304,48.187492,14743.179062,14810.230107,prefill,0,0,1
2,736.4712141640124,676.6994874229113,,,1,177.2166383320584,0,,,,,,,,,,,0,0,0
3,892.1795677048455,86.93883262941615,,,1,436.8461485034362,0,,,,,,,,,,,0,0,0
4,421.9218196852704,29.797219438070343,,,0,500.6473478727964,0,,,,,,,,,,,0,0,0
5,218.63797480360336,505.3552881033624,,,0,31.815966669102366,1,171.726241,171.726241,171.726241,171.726241,0.398592,71.427649,95.875903,16770.546313,16942.261897,prefill,0,0,1
6,26.535969683863627,198.8376506866485,,,0,375.01324441820486,1,47.719591,47.719591,47.719591,47.719591,0.320066,1.891297,43.052174,18419.45281,18467.160483,prefill,0,0,1
7,649.8844377795232,544.9414806032166,,,1,109.73997666088444,5,52.34734920000001,47.538012,78.25014639999999,82.92875728,0.238602,16.3038992,35.804848,15383.9747436,15436.313543799999,prefill,0,1,4
8,220.4406220406967,589.2656838759087,,,0,94.0325430006794,3,65.72897933333333,65.470211,75.686561,76.594681,0.36748333333333333,3.168267,55.95007666666666,15950.653087333334,16016.371381666666,prefill,0,0,3
9,809.4304566778267,6.498759678061017,,,1,497.06685001137146,2,71.7765055,71.7765055,83.22503425000001,84.24268125,0.38689,8.5876425,62.801973,16092.7633865,16164.529407,prefill,0,0,2
10,805.8192518328079,698.1393949882269,,,1,205.85190968624752,2,150.9430205,150.9430205,219.75783905,225.87471181,0.398058,73.185187,77.3597755,15505.984249,15656.9182405,queueing,0,1,1
11,340.25051651799185,155.47949981178155,,,0,356.14537871732176,1,105.716151,105.716151,105.716151,105.716151,0.806122,0.0,104.910029,6670.441409,6776.147779,prefill,0,0,1
12,957.2130722067812,336.59454511262675,,,1,263.8912654490901,1,55.735915,55.735915,55.735915,55.735915,0.290638,2.367921,53.077356,16447.634087,16503.360683,prefill,0,0,1
13,92.7458433801479,96.71637683346401,,,0,432.8585802413412,0,,,,,,,,,,,0,0,0
14,847.4943663474597,603.7260313668911,,,1,142.35252387161236,0,,,,,,,,,,,0,0,0
