user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,639.4267984578837,25.010755222666937,,,1,487.6896713622452,1,26.010317,26.010317,26.010317,26.010317,0.150476,6.382171,19.47767,8884.072327,8910.072206,prefill,0,0,1
1,275.02931836911927,223.21073814882274,,,0,277.91862523793236,1,31940.666705,31940.666705,31940.666705,31940.666705,0.257557,31909.966686,28.362747,7678.359253,39619.015209,queueing,0,1,0
2,736.4712141640124,676.6994874229113,,,1,177.2166383320584,0,,,,,,,,,,,0,0,0
3,892.1795677048455,86.93883262941615,,,1,436.8461485034362,0,,,,,,,,,,,0,0,0
4,421.9218196852704,29.797219438070343,,,0,500.6473478727964,0,,,,,,,,,,,0,0,0
5,218.63797480360336,505.3552881033624,,,0,31.815966669102366,1,22019.333475,22019.333475,22019.333475,22019.333475,0.398592,21965.64341,50.230886,8679.962513,30699.285331,queueing,0,1,0
6,26.535969683863627,198.8376506866485,,,0,375.01324441820486,1,13824.583135,13824.583135,13824.583135,13824.583135,0.320066,13781.964361,40.027144,9465.450078,23290.021295,queueing,0,1,0
7,649.8844377795232,544.9414806032166,,,1,109.73997666088444,5,10257.599084999998,13317.054372,15421.706377199998,15829.648477839999,0.2418204,10226.316927200001,28.0732128,7762.6749308,18020.2642964,queueing,0,4,1
8,220.4406220406967,589.2656838759087,,,0,94.0325430006794,3,23194.408194,15826.055689,35985.8784367,37777.862680939994,0.36748333333333333,23146.424576666668,44.767060666666666,8253.065636333333,31447.46314533333,queueing,0,3,0
9,809.4304566778267,6.498759678061017,,,1,497.06685001137146,2,34842.2641515,34842.2641515,35608.31135055,35676.40443491,0.394351,34788.384272,48.257738,9052.669408,43894.9218295,queueing,0,2,0
10,805.8192518328079,698.1393949882269,,,1,205.85190968624752,2,19963.520286500003,19963.520286500003,20499.05904725,20546.66249265,0.403959,19910.701719,50.1401355,8129.1073035,28092.61664,queueing,0,2,0
11,340.25051651799185,155.47949981178155,,,0,356.14537871732176,1,105.716151,105.716151,105.716151,105.716151,0.806122,0.0,104.910029,6669.482789,6775.189159,prefill,0,0,1
12,957.2130722067812,336.59454511262675,,,1,263.8912654490901,1,34117.992669,34117.992669,34117.992669,34117.992669,0.297897,34081.141388,35.707395,9490.839248,43608.820288,queueing,0,1,0
13,92.7458433801479,96.71637683346401,,,0,432.8585802413412,0,,,,,,,,,,,0,0,0
14,847.4943663474597,603.7260313668911,,,1,142.35252387161236,0,,,,,,,,,,,0,0,0
15,807.1282732743801,729.7317866938179,,,1,236.72839589885723,1,20169.052825,20169.052825,20169.052825,20169.052825,0.476553,20105.682372,59.273668,9564.781769,29733.823581,queueing,0,1,0
16,536.2280914547007,973.1157639793706,,,1,519.169485822196,2,32507.050625999997,32507.050625999997,36165.586816799994,36490.79003375999,0.405122,32454.789414,49.444586,7888.968118,40396.007979,queueing,0,2,0
17,378.5343772083535,552.040631273227,,,0,138.66979998419,0,,,,,,,,,,,0,0,0
18,829.4046642529948,618.5197523642461,,,1,142.66054957700482,0,,,,,,,,,,,0,0,0
19,861.7069003107772,577.352145256762,,,1,135.87415483772153,1,6240.236388,6240.236388,6240.236388,6240.236388,0.141285,6219.015143,19.882341,6957.223941,13197.449246,queueing,0,1,0
20,704.5718362149235,45.82438365566222,,,1,456.4419005159833,2,28725.310503499997,28725.310503499997,40837.415095849996,41914.046615169995,0.55643,28648.5694,71.746372,7687.7117505,36413.011041,queueing,0,2,0
21,227.89827565154687,289.38796360210716,,,0,211.76854368588917,2,40.093548,40.093548,45.1312449,45.57904018,0.251878,8.4748015,31.3668685,9390.146047,9430.230536,prefill,0,0,2
22,79.79197692362749,232.79088636103018,,,0,316.8145854143885,0,,,,,,,,,,,0,0,0
23,101.00142940972911,277.97360311009214,,,0,267.3879110091906,1,15493.93604,15493.93604,15493.93604,15493.93604,0.182014,15467.929478,24.27025,6879.505831,22373.430441,queueing,0,1,0
24,635.6844442644002,364.8321789700842,,,1,177.0265124920964,1,7846.132972,7846.132972,7846.132972,7846.132972,0.193696,7815.642709,25.758941,6636.689356,14482.812285,queueing,0,1,0
25,370.18096711688264,209.50703077148768,,,0,314.3718022156991,0,,,,,,,,,,,0,0,0
26,266.97782204911334,936.6545877124939,,,0,436.98452536891904,1,30109.960285,30109.960285,30109.960285,30109.960285,0.176642,30055.811478,44.551825,8739.111819,38849.060848,queueing,0,1,0
27,648.0353852465936,609.1310056669882,,,1,149.35313541971192,3,14498.836481666667,7962.011354,32722.482591199998,34923.413367839996,0.352726,14449.492047,43.13974366666666,8143.509865,22642.336721666667,queueing,0,2,1
28,171.13864819809697,729.1267979503492,,,0,242.31839044324238,0,,,,,,,,,,,0,0,0
29,163.40249376192838,379.4554417576478,,,0,148.42546482493054,0,,,,,,,,,,,0,0,0
30,989.5233506365953,639.9997598540929,,,1,277.43714289796355,3,15990.751757333333,20007.513528,27116.3631732,27748.26091944,0.29355133333333333,15952.962893,35.48237966666667,8688.730859,24679.47164533333,queueing,0,2,1
31,556.9497437746462,684.6142509898746,,,1,267.1157485009582,2,28611.824452,28611.824452,35694.3813676,36323.94198232,0.388333,28561.493519,46.3280195,9407.2764745,38019.0911355,queueing,0,2,0
32,842.8519201898096,775.9999115462448,,,1,291.1999832700368,0,,,,,,,,,,,0,0,0
33,229.04807196410437,32.10024390403776,,,0,468.3686208992681,4,23857.803714499998,29554.235201,35272.86887845,36072.286392489994,0.3071355,23813.58724225,40.8778265,7699.131893,31556.92439625,queueing,0,3,1
34,315.45304805908194,267.74087597570275,,,0,241.30561989468538,0,,,,,,,,,,,0,0,0
35,210.98284358632645,942.9097143350544,,,0,444.6249583041517,0,,,,,,,,,,,0,0,0
36,876.3676264726688,314.67788079847793,,,1,224.30573975197134,2,21888.263255500002,21888.263255500002,36886.353107949995,38219.516650389996,0.362375,21834.781605,44.134783,8289.689673,30177.9416625,queueing,0,2,0
37,655.43866529488,395.63190106066423,,,1,140.83517350940676,1,7965.758443,7965.758443,7965.758443,7965.758443,0.164954,7938.617402,20.631867,8662.956664,16628.705014,queueing,0,1,0
38,914.5475897405435,458.8518525873988,,,1,169.61450210672245,1,29779.878131,29779.878131,29779.878131,29779.878131,0.195874,29750.270701,25.009584,6569.959215,36349.826017,queueing,0,1,0
39,264.88016649805246,246.62750769398346,,,0,253.80906054034435,0,,,,,,,,,,,0,0,0
40,561.3681341631508,262.7416085229353,,,1,303.10645841910923,4,23201.21894,24498.9264395,30266.308489749998,30682.15930675,0.247585,23163.05548625,31.28083325,9361.46091025,32562.66989325,queueing,0,4,0
41,584.5859902235405,897.822883602477,,,1,430.8420143719929,0,,,,,,,,,,,0,0,0
42,399.4005051403973,219.32075915728333,,,0,317.9643803576898,0,,,,,,,,,,,0,0,0
43,997.5376064951103,509.5262936764645,,,1,247.72084470334406,0,,,,,,,,,,,0,0,0
44,90.9094121737939,47.11637542473457,,,0,480.0139503632345,1,36338.981266,36338.981266,36338.981266,36338.981266,0.466236,36303.73331,33.209146,6614.658972,42953.62824,queueing,0,1,0
45,109.64913035065915,627.44604170309,,,0,189.58074838208657,0,,,,,,,,,,,0,0,0
46,792.0793643629642,422.159966799684,,,1,88.48583883208315,0,,,,,,,,,,,0,0,0
47,63.52770615195713,381.61928650653675,,,0,220.87532614615938,1,38408.467596,38408.467596,38408.467596,38408.467596,0.330135,38363.662947,39.512532,6438.685661,44847.141774,queueing,0,1,0
48,996.1213802400968,529.114345099137,,,1,247.83740416216824,1,78.582947,78.582947,78.582947,78.582947,0.523758,10.086953,67.972236,8531.786042,8610.35975,prefill,0,0,1
49,971.0783776136182,860.779702234498,,,1,423.1283996527326,1,110.071612,110.071612,110.071612,110.071612,0.806472,1.334761,107.930379,9667.216382,9777.277878,prefill,0,0,1
50,11.481021942819636,720.7218193601947,,,0,324.9760367090412,1,30275.3514,30275.3514,30275.3514,30275.3514,0.246798,30243.574928,28.153818,6203.976533,36479.316079,queueing,0,1,0
51,681.7103690265748,536.9703304087951,,,1,77.65487125108173,2,9968.4620345,9968.4620345,18919.49198735,19715.139094269998,0.1482225,9948.7399245,19.359854,9609.3835875,19577.836345,queueing,0,1,1
52,266.82518995254276,640.961798579808,,,0,141.96237415524408,1,63.875355,63.875355,63.875355,63.875355,0.14478,28.583373,35.147202,6614.178676,6678.045321,prefill,0,0,1
53,111.55217359587644,434.765250669105,,,0,153.04696389112408,1,22975.288731,22975.288731,22975.288731,22975.288731,0.153548,22953.978642,19.743187,9072.314617,32047.592139,queueing,0,1,0
54,453.72370632920644,953.8159275210801,,,0,497.44572024727177,1,5646.180744,5646.180744,5646.180744,5646.180744,0.335514,5599.505419,40.300533,9777.809856,15423.97989,queueing,0,1,0
55,875.852940378194,263.38905075109074,,,1,267.99944758582467,0,,,,,,,,,,,0,0,0
56,500.5861130502983,178.65188053013136,,,1,406.7823753435976,1,42529.15861,42529.15861,42529.15861,42529.15861,0.209744,42498.290045,26.238211,6266.365278,48795.51385,queueing,0,1,0
57,912.6278393448205,870.5185698367669,,,1,404.6378933365582,0,,,,,,,,,,,0,0,0
58,298.4447914486329,638.9494948660051,,,0,147.15250572796754,3,21732.59133666667,30293.470484,34274.3901092,34628.24963144,0.5062746666666667,21659.003718666667,67.547994,8718.417327666666,30450.99884433333,queueing,0,2,1
59,608.9702114381723,152.83926854963482,,,1,374.71318995058925,0,,,,,,,,,,,0,0,0
60,762.5108000751512,539.3790301196258,,,1,41.31861725279294,0,,,,,,,,,,,0,0,0
61,778.6264786305583,530.3536721951775,,,1,41.72314339210437,2,6668.628698,6668.628698,12611.8253927,13140.10954334,0.4713845,6607.9662315,58.5232135,9514.995615,16183.614885,queueing,0,1,1
62,0.5718961279435053,324.1560570046731,,,0,305.181046740051,2,4244.511095000001,4244.511095000001,8022.346192700001,8358.15375694,0.192501,4212.8056435,30.71024,7100.6158425,11345.11625,queueing,0,1,1
63,19.476742385832303,929.0986162646171,,,0,487.10018967483177,0,,,,,,,,,,,0,0,0
64,878.7218778231842,831.6655293611794,,,1,355.7686680931278,2,24798.610224,24798.610224,34423.6785147,35279.24014054,0.353066,24747.945767,44.223637,7851.207847,32649.806517,queueing,0,2,0
65,307.5141254026614,57.92516649418755,,,0,445.8004408252922,1,14474.950905,14474.950905,14474.950905,14474.950905,0.184472,14443.538339,25.403366,6418.059838,20892.999616,queueing,0,1,0
66,878.0095992040406,946.9494452979941,,,1,464.9196319156287,1,20632.001536,20632.001536,20632.001536,20632.001536,0.599557,20550.881584,74.380376,9418.281516,30050.271198,queueing,0,1,0
67,85.65345206787877,485.9904633166138,,,0,164.94258072216573,1,14589.79428,14589.79428,14589.79428,14589.79428,0.201893,14562.897307,26.085878,9421.461579,24011.244537,queueing,0,1,0
68,69.2125184683836,760.6021652572316,,,0,317.1712502975356,1,36194.762612,36194.762612,36194.762612,36194.762612,0.411102,36143.319663,49.878828,9170.279719,45365.030686,queueing,0,1,0
69,765.8344293069878,128.3914644997628,,,1,371.94573906432777,1,12762.246015,12762.246015,12762.246015,12762.246015,0.160157,12737.745479,19.791975,9330.536985,22092.771821,queueing,0,1,0
70,475.28237809873133,549.8035934949439,,,0,230.72179742458096,0,,,,,,,,,,,0,0,0
71,265.0566289400591,872.4330410852574,,,0,372.73726962439866,1,8133.28678,8133.28678,8133.28678,8133.28678,0.506801,8069.073564,62.037976,9774.426306,17907.702029,queueing,0,1,0
72,423.13794020088693,211.79820544208206,,,0,336.20978677517735,3,27835.512566,28264.956739,34918.1499283,35509.54487846,0.29774666666666666,27793.469491,37.12042866666666,8718.535317666667,36554.03770466666,queueing,0,3,0
73,539.2960887794584,729.9310690899762,,,1,311.8724654991095,0,,,,,,,,,,,0,0,0
74,201.1510633896959,311.71629130089497,,,0,194.51728347230983,4,17553.012114,17390.0936695,26377.077084649998,27156.92797853,0.312947,17511.1320305,37.25927375,7968.8073655,25521.8085785,queueing,0,4,0
75,995.1493566608947,649.8780576394535,,,1,287.33541242427094,0,,,,,,,,,,,0,0,0
76,438.10008391450407,517.5758410355907,,,0,188.91943191940797,2,18424.1838765,18424.1838765,20843.92039575,21059.008086349997,0.387893,18380.6921525,39.5874395,9569.471011,27993.6453255,queueing,0,2,0
77,121.00419586826573,224.69733703155737,,,0,304.02544913396423,0,,,,,,,,,,,0,0,0
78,338.08556214745533,588.3087184572333,,,0,124.72969179145805,0,,,,,,,,,,,0,0,0
79,230.114732596577,220.21738445155947,,,0,280.4883880356406,2,28922.5208645,28922.5208645,34994.74196375,35534.494950349996,0.363909,28872.329311,44.067979,8049.0113545,36971.521267,queueing,0,2,0
80,70.99308600903254,631.102957270099,,,0,221.88163660279554,0,,,,,,,,,,,0,0,0
81,228.94178381115438,905.420013006128,,,0,405.9665446991231,0,,,,,,,,,,,0,0,0
82,859.6354002537465,70.85734988865345,,,1,442.92587995441045,1,28637.329642,28637.329642,28637.329642,28637.329642,0.185005,28611.429477,24.130888,9381.464121,38018.782035,queueing,0,1,0
83,238.00463436899523,668.9777782962806,,,0,169.40300574242607,0,,,,,,,,,,,0,0,0
84,214.2368073704386,132.311848725025,,,0,369.42331076296205,2,16091.5356795,16091.5356795,22938.719716649997,23547.35829773,0.541552,16014.117379,71.659903,8128.4326585,24219.957089,queueing,0,2,0
85,935.514240580671,571.0430933252844,,,1,198.65209429414062,2,26144.159085,26144.159085,28380.6019827,28579.396906939997,0.346479,26103.245002,34.4993595,8815.7545545,34959.9021935,queueing,0,2,0
86,472.67102631179415,784.6194242907534,,,0,361.3732179372838,1,20317.00648,20317.00648,20317.00648,20317.00648,0.249188,20277.095634,28.494197,8688.884046,29005.880539,queueing,0,1,0
87,807.4969977666434,190.4099143618777,,,1,314.8839879663577,0,,,,,,,,,,,0,0,0
88,96.93081422882332,431.0511824063775,,,0,167.88125291470047,0,,,,,,,,,,,0,0,0
89,423.57862301992077,467.024668036675,,,0,176.6830803659005,1,8012.809663,8012.809663,8012.809663,8012.809663,0.975927,7870.300269,130.955822,9735.326642,17748.126665,queueing,0,1,0
90,729.0758494598506,673.3645472933015,,,1,174.6226970758332,0,,,,,,,,,,,0,0,0
91,984.1652113659661,98.41787115195888,,,1,464.86724171981865,2,16041.660222499999,16041.660222499999,25687.451926249996,26544.855633249997,0.299417,15999.714389,35.872252,8810.9412155,24852.589254,queueing,0,2,0
92,402.62128210226876,339.30260539496317,,,0,221.6233480105091,0,,,,,,,,,,,0,0,0
93,861.6725363527911,248.65633392028565,,,1,275.0352592920704,1,5380.899676,5380.899676,5380.899676,5380.899676,0.229842,5341.956807,28.610841,8693.483136,14074.371506,queueing,0,1,0
94,190.2089084408115,448.6135478331319,,,0,78.83870937640394,1,8186.597954,8186.597954,8186.597954,8186.597954,0.22049,8157.09657,28.344023,9298.435605,17485.022748,queueing,0,1,0
95,421.8816398344042,278.5451446669405,,,0,280.33114536695734,1,8578.350854,8578.350854,8578.350854,8578.350854,0.437161,8522.89137,52.871033,6918.294009,15496.634884,queueing,0,1,0
96,249.80644788210049,923.2655992760128,,,0,423.26564353004676,2,15622.963604999999,15622.963604999999,29629.9148895,30874.9772259,0.3003085,15583.3148905,36.652516,8941.0719205,24564.0248295,queueing,0,1,1
97,443.13074505345696,861.3491047618306,,,0,409.72266253781936,0,,,,,,,,,,,0,0,0
98,550.3253124498481,50.58832952488124,,,1,491.7731493356337,0,,,,,,,,,,,0,0,0
99,999.2824684127266,836.0275850799519,,,1,418.39728368215583,0,,,,,,,,,,,0,0,0
