user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,639.4267984578837,25.010755222666937,,,1,487.6896713622452,1,26.010317,26.010317,26.010317,26.010317,0.150476,6.382171,19.47767,12627.214986,12653.214865,prefill,0,0,1
1,275.02931836911927,223.21073814882274,,,0,277.91862523793236,1,65.607026,65.607026,65.607026,65.607026,0.25206,7.581501,57.773465,11146.528248,11212.125884,prefill,0,0,1
2,736.4712141640124,676.6994874229113,,,1,177.2166383320584,0,,,,,,,,,,,0,0,0
3,892.1795677048455,86.93883262941615,,,1,436.8461485034362,0,,,,,,,,,,,0,0,0
4,421.9218196852704,29.797219438070343,,,0,500.6473478727964,0,,,,,,,,,,,0,0,0
5,218.63797480360336,505.3552881033624,,,0,31.815966669102366,1,109.728526,109.728526,109.728526,109.728526,0.393278,17.573423,91.761825,12834.816438,12944.536805,prefill,0,0,1
6,26.535969683863627,198.8376506866485,,,0,375.01324441820486,1,42.35685,42.35685,42.35685,42.35685,0.31223,0.638894,41.405726,14032.196701,14074.543676,prefill,0,0,1
7,649.8844377795232,544.9414806032166,,,1,109.73997666088444,5,41.9064706,42.696015,56.7953336,58.646797920000004,0.238602,11.020503,30.6473656,11568.4823092,11610.3802308,prefill,0,0,5
8,220.4406220406967,589.2656838759087,,,0,94.0325430006794,3,55.30868233333334,56.496721,60.187468,60.5155344,0.3621133333333333,4.438605666666667,50.507963333333336,12168.424747333334,12223.724959666666,prefill,0,0,3
9,809.4304566778267,6.498759678061017,,,1,497.06685001137146,2,69.699528,69.699528,73.4405535,73.77308909999999,0.38689,13.801496,55.511142,12560.933286,12630.622329,prefill,0,0,2
10,805.8192518328079,698.1393949882269,,,1,205.85190968624752,2,68.227092,68.227092,70.3640088,70.55395696,0.398058,13.522898,54.306136,11953.8638195,12022.0818825,prefill,0,0,2
11,340.25051651799185,155.47949981178155,,,0,356.14537871732176,1,105.716151,105.716151,105.716151,105.716151,0.806122,0.0,104.910029,9306.237827,9411.944197,prefill,0,0,1
12,957.2130722067812,336.59454511262675,,,1,263.8912654490901,1,46.173064,46.173064,46.173064,46.173064,0.290638,0.110665,45.771761,12943.075984,12989.239729,prefill,0,0,1
13,92.7458433801479,96.71637683346401,,,0,432.8585802413412,0,,,,,,,,,,,0,0,0
14,847.4943663474597,603.7260313668911,,,1,142.35252387161236,0,,,,,,,,,,,0,0,0
15,807.1282732743801,729.7317866938179,,,1,236.72839589885723,1,73.921438,73.921438,73.921438,73.921438,0.470528,10.53477,62.91614,13945.354197,14019.266451,prefill,0,0,1
16,536.2280914547007,973.1157639793706,,,1,519.169485822196,2,63.6878815,63.6878815,73.77759025,74.67445325,0.399592,6.5368335,56.751456,11424.5154505,11488.192736,prefill,0,0,2
17,378.5343772083535,552.040631273227,,,0,138.66979998419,0,,,,,,,,,,,0,0,0
18,829.4046642529948,618.5197523642461,,,1,142.66054957700482,0,,,,,,,,,,,0,0,0
19,861.7069003107772,577.352145256762,,,1,135.87415483772153,1,21.720596,21.720596,21.720596,21.720596,0.135118,1.528892,20.056586,10423.411427,10445.123344,prefill,0,0,1
20,704.5718362149235,45.82438365566222,,,1,456.4419005159833,2,114.82966300000001,114.82966300000001,189.7069342,196.36269164,0.550004,19.501123,94.778536,11375.5599445,11490.3793255,prefill,0,0,2
21,227.89827565154687,289.38796360210716,,,0,211.76854368588917,2,40.093548,40.093548,45.1312449,45.57904018,0.251878,8.4748015,31.3668685,13663.7134215,13703.7979105,prefill,0,0,2
22,79.79197692362749,232.79088636103018,,,0,316.8145854143885,0,,,,,,,,,,,0,0,0
23,101.00142940972911,277.97360311009214,,,0,267.3879110091906,1,39.372635,39.372635,39.372635,39.372635,0.175154,11.331869,27.865612,10705.577128,10744.940426,prefill,0,0,1
24,635.6844442644002,364.8321789700842,,,1,177.0265124920964,1,30.803199,30.803199,30.803199,30.803199,0.18961,4.502268,26.111321,10014.530945,10045.325259,prefill,0,0,1
25,370.18096711688264,209.50703077148768,,,0,314.3718022156991,0,,,,,,,,,,,0,0,0
26,266.97782204911334,936.6545877124939,,,0,436.98452536891904,1,45.50209,45.50209,45.50209,45.50209,0.17013,14.814713,30.517247,12775.047676,12820.539581,prefill,0,0,1
27,648.0353852465936,609.1310056669882,,,1,149.35313541971192,3,49.84917933333333,60.141741,60.7810002,60.83782324,0.349974,3.3567253333333333,46.14248,11628.13785,11677.978282333333,prefill,0,0,3
28,171.13864819809697,729.1267979503492,,,0,242.31839044324238,0,,,,,,,,,,,0,0,0
29,163.40249376192838,379.4554417576478,,,0,148.42546482493054,0,,,,,,,,,,,0,0,0
30,989.5233506365953,639.9997598540929,,,1,277.43714289796355,3,51.946512000000006,54.472228,58.102972,58.4257048,0.288534,12.829528333333334,38.828449666666664,12620.565944333333,12672.503069333334,prefill,0,1,2
31,556.9497437746462,684.6142509898746,,,1,267.1157485009582,2,61.8748695,61.8748695,63.250015950000005,63.37225119,0.384752,8.036108,53.4540095,13157.0341785,13218.899712,prefill,0,0,2
32,842.8519201898096,775.9999115462448,,,1,291.1999832700368,0,,,,,,,,,,,0,0,0
33,229.04807196410437,32.10024390403776,,,0,468.3686208992681,4,53.4222645,47.7216905,72.7754046,75.90552972,0.301884,9.20057775,43.91980275,11215.33091125,11268.74283375,prefill,0,0,4
34,315.45304805908194,267.74087597570275,,,0,241.30561989468538,0,,,,,,,,,,,0,0,0
35,210.98284358632645,942.9097143350544,,,0,444.6249583041517,0,,,,,,,,,,,0,0,0
36,876.3676264726688,314.67788079847793,,,1,224.30573975197134,2,65.680047,65.680047,89.7356637,91.87394074000001,0.355844,6.966112,58.358091,12076.4747675,12142.1456925,prefill,0,0,2
37,655.43866529488,395.63190106066423,,,1,140.83517350940676,1,29.69999,29.69999,29.69999,29.69999,0.160768,8.368664,21.170558,13018.78719,13048.478476,prefill,0,0,1
38,914.5475897405435,458.8518525873988,,,1,169.61450210672245,1,61.648761,61.648761,61.648761,61.648761,0.189216,30.266274,31.193271,10103.374986,10165.014899,prefill,0,0,1
39,264.88016649805246,246.62750769398346,,,0,253.80906054034435,0,,,,,,,,,,,0,0,0
40,561.3681341631508,262.7416085229353,,,1,303.10645841910923,4,43.874674,43.2715245,55.3082889,55.76870418,0.243672,7.58484475,36.04615725,13508.804671,13552.669829,prefill,0,0,4
41,584.5859902235405,897.822883602477,,,1,430.8420143719929,0,,,,,,,,,,,0,0,0
42,399.4005051403973,219.32075915728333,,,0,317.9643803576898,0,,,,,,,,,,,0,0,0
43,997.5376064951103,509.5262936764645,,,1,247.72084470334406,0,,,,,,,,,,,0,0,0
44,90.9094121737939,47.11637542473457,,,0,480.0139503632345,1,61.947099,61.947099,61.947099,61.947099,0.45824,16.928212,44.560647,9691.305926,9753.242625,prefill,0,0,1
45,109.64913035065915,627.44604170309,,,0,189.58074838208657,0,,,,,,,,,,,0,0,0
46,792.0793643629642,422.159966799684,,,1,88.48583883208315,0,,,,,,,,,,,0,0,0
47,63.52770615195713,381.61928650653675,,,0,220.87532614615938,1,62.005098,62.005098,62.005098,62.005098,0.323168,11.212687,50.469243,9470.967066,9532.96306,prefill,0,0,1
48,996.1213802400968,529.114345099137,,,1,247.83740416216824,1,78.582947,78.582947,78.582947,78.582947,0.523758,10.086953,67.972236,12253.065889,12331.639597,prefill,0,0,1
49,971.0783776136182,860.779702234498,,,1,423.1283996527326,1,169.013916,169.013916,169.013916,169.013916,0.806472,1.334761,166.872683,13686.589902,13855.593702,prefill,0,0,1
50,11.481021942819636,720.7218193601947,,,0,324.9760367090412,1,47.806142,47.806142,47.806142,47.806142,0.23909,12.708188,34.858864,9631.700206,9679.496723,prefill,0,0,1
51,681.7103690265748,536.9703304087951,,,1,77.65487125108173,2,27.2229295,27.2229295,31.13768785,31.48566637,0.146056,6.1252085,20.951665,13706.243938,13733.4584795,prefill,0,0,2
52,266.82518995254276,640.961798579808,,,0,141.96237415524408,1,63.875355,63.875355,63.875355,63.875355,0.14478,28.583373,35.147202,9382.297294,9446.163939,prefill,0,0,1
53,111.55217359587644,434.765250669105,,,0,153.04696389112408,1,81.868793,81.868793,81.868793,81.868793,0.14713,16.387569,65.334094,13240.50896,13322.368988,prefill,0,0,1
54,453.72370632920644,953.8159275210801,,,0,497.44572024727177,1,189.674042,189.674042,189.674042,189.674042,0.330094,5.719671,183.624277,14143.465986,14333.129541,prefill,0,0,1
55,875.852940378194,263.38905075109074,,,1,267.99944758582467,0,,,,,,,,,,,0,0,0
56,500.5861130502983,178.65188053013136,,,1,406.7823753435976,1,186.60964,186.60964,186.60964,186.60964,0.205668,120.96612,65.437852,9333.187572,9519.787178,queueing,0,1,0
57,912.6278393448205,870.5185698367669,,,1,404.6378933365582,0,,,,,,,,,,,0,0,0
58,298.4447914486329,638.9494948660051,,,0,147.15250572796754,3,103.91755466666666,59.039566,195.69697269999998,207.84429773999997,0.5031253333333333,13.481412666666666,89.93301666666667,12569.483092333334,12673.391911,prefill,0,0,3
59,608.9702114381723,152.83926854963482,,,1,374.71318995058925,0,,,,,,,,,,,0,0,0
60,762.5108000751512,539.3790301196258,,,1,41.31861725279294,0,,,,,,,,,,,0,0,0
61,778.6264786305583,530.3536721951775,,,1,41.72314339210437,2,68.5118665,68.5118665,71.60341285,71.87821697,0.468738,8.1845385,59.85859,13721.1011935,13789.604851,prefill,0,0,2
62,0.5718961279435053,324.1560570046731,,,0,305.181046740051,2,98.153797,98.153797,144.2673265,148.3663069,0.188652,52.9682355,44.9969095,10216.8015675,10314.9458385,queueing,0,1,1
63,19.476742385832303,929.0986162646171,,,0,487.10018967483177,0,,,,,,,,,,,0,0,0
64,878.7218778231842,831.6655293611794,,,1,355.7686680931278,2,82.1796525,82.1796525,84.80232135,85.03544747,0.345958,30.326511,51.5071835,11405.570655,11487.7405285,queueing,0,1,1
65,307.5141254026614,57.92516649418755,,,0,445.8004408252922,1,35.648335,35.648335,35.648335,35.648335,0.178218,7.72085,27.749267,9985.840176,10021.478282,prefill,0,0,1
66,878.0095992040406,946.9494452979941,,,1,464.9196319156287,1,85.288868,85.288868,85.288868,85.288868,0.59185,5.501113,79.195905,13645.029013,13730.307556,prefill,0,0,1
