instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio,nearest_gpu_id,rerouted,reject_penalty_ns,migration_latency_ns,failover_mode,failed_instance_id,failover_target_instance_id,reuse_prefix_toks,kv_migration_tokens,kv_migration_bytes,kv_migration_latency_ns,kv_migration_distance_latency_ns,kv_migration_serialization_latency_ns,kv_migration_bandwidth_gbps,kv_migration_distance_m
0,0,meta-llama/Llama-3.1-8B,10,70,46971839,828426968,781455129,0,11008270,11165896,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11757584, 11203004, 11203196, 11203420, 11203644, 11203836, 11204028, 11204252, 11204444, 11204636, 11204828, 11302420, 11243454, 11243454, 11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11315177, 11072935, 11072839, 11072743, 11072647, 11072583, 11072711, 11072807, 11072903, 11073031, 11073127, 11073255, 11073351, 11073479, 11073575, 11073703, 11073767, 11073895, 11073564]",0,0,134.36424411240122,847.4337369372327,250.0,500.0,366.1718580146029,100.0,540.0,100.0,1831,43200,45031,1831,8000,9831,54862,46926808,46971839,46971839,57980109,57989940,828426968,0,11008270,11008270,11063132,0,770446859,770446859,781500160,prefill,decode,0.004958993529138042,0.0,0.9950410064708619,0.9858439020263274,0,0,0,0,,,,0,0,0,0,0,0,0,0
0,7,meta-llama/Llama-3.1-8B,2,9,811979725,917011696,105031971,5373679,16447243,11073091,"[11073063, 11072935, 11072839, 11072967, 11073063, 11073191, 11073287, 11073383]",8,0,228.76222127045264,945.2706955539223,250.0,500.0,445.7768898949776,100.0,508.0,100.0,2229,40640,42869,2229,8000,10229,53098,811936856,811979725,817353404,828426968,828437197,917011696,5373679,11073564,16447243,16500341,0,88584728,88584728,105074840,prefill,decode,0.0032179941008491884,0.3256707846219663,0.6711112212771845,0.8429811089527857,0,0,0,0,,,,0,0,0,0,0,0,0,0
0,2,meta-llama/Llama-3.1-8B,16,69,479660472,1251003856,771343384,3152998,14455418,11130705,"[11243454, 11243454, 11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11315177, 11072935, 11072839, 11072743, 11072647, 11072583, 11072711, 11072807, 11072903, 11073031, 11073127, 11073255, 11073351, 11073479, 11073575, 11073703, 11073767, 11073895, 11073564, 11073063, 11072935, 11072839, 11072967, 11073063, 11073191, 11073287, 11073383, 11245118, 11245278, 11245470, 11245662, 11245822, 11246014, 11246174, 11246366, 11246526, 11246686, 11067247, 11074855, 11074951, 11075047, 11075143, 11075207, 11075303, 11075399, 11075495, 11075559, 11075655, 11075719, 11075815, 11075879, 11076007, 11078023, 11080007, 11081991, 11083911, 11085831]",0,0,134.36424411240122,847.4337369372327,250.0,500.0,366.1718580146029,100.0,564.0,100.0,1831,45120,46951,1831,8000,9831,56782,479613521,479660472,482813470,494115890,494125721,1251003856,3152998,11302420,14455418,14512200,0,756887966,756887966,771390335,prefill,decode,0.003912707928501537,0.21726533537299653,0.778821956698502,0.9811871961666132,0,0,0,0,,,,0,0,0,0,0,0,0,0
0,9,meta-llama/Llama-3.1-8B,5,26,1027013154,1318539684,291526530,2457658,13524905,11120065,"[11074855, 11074951, 11075047, 11075143, 11075207, 11075303, 11075399, 11075495, 11075559, 11075655, 11075719, 11075815, 11075879, 11076007, 11078023, 11080007, 11081991, 11083911, 11085831, 11251358, 11253246, 11255102, 11256926, 11258718, 11260478]",7,0,445.38719405480145,721.5400323407825,250.0,500.0,295.39150551456896,100.0,520.0,100.0,1477,41600,43077,1477,8000,9477,52554,1026970077,1027013154,1029470812,1040538059,1040547536,1318539684,2457658,11067247,13524905,13577459,0,278001625,278001625,291569607,prefill,decode,0.0038706800734953427,0.1810101580862811,0.8151191618402236,0.953434729220838,0,0,0,0,,,,0,0,0,0,0,0,0,0
0,1,meta-llama/Llama-3.1-8B,22,104,347988221,1521279068,1173290847,11028377,22785961,11169950,"[11203004, 11203196, 11203420, 11203644, 11203836, 11204028, 11204252, 11204444, 11204636, 11204828, 11302420, 11243454, 11243454, 11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11315177, 11072935, 11072839, 11072743, 11072647, 11072583, 11072711, 11072807, 11072903, 11073031, 11073127, 11073255, 11073351, 11073479, 11073575, 11073703, 11073767, 11073895, 11073564, 11073063, 11072935, 11072839, 11072967, 11073063, 11073191, 11073287, 11073383, 11245118, 11245278, 11245470, 11245662, 11245822, 11246014, 11246174, 11246366, 11246526, 11246686, 11067247, 11074855, 11074951, 11075047, 11075143, 11075207, 11075303, 11075399, 11075495, 11075559, 11075655, 11075719, 11075815, 11075879, 11076007, 11078023, 11080007, 11081991, 11083911, 11085831, 11251358, 11253246, 11255102, 11256926, 11258718, 11260478, 11253372, 11254588, 11255804, 11257020, 11258204, 11259388, 11260572, 11261724, 11262876, 11263996, 11265148, 11266268, 11267356, 11268476, 11269532, 11270620, 11271708, 11272732]",8,0,228.76222127045264,945.2706955539223,250.0,500.0,445.7768898949776,100.0,588.0,100.0,2229,47040,49269,2229,8000,10229,59498,347938952,347988221,359016598,370774182,370784411,1521279068,11028377,11757584,22785961,22845459,0,1150504886,1150504886,1173340116,prefill,decode,0.0026043687719296865,0.48273825446010954,0.5146573767679608,0.9805297206436667,0,0,0,0,,,,0,0,0,0,0,0,0,0
0,6,meta-llama/Llama-3.1-8B,15,84,610860400,1554927101,944066701,6934476,18249653,11154422,"[11072935, 11072839, 11072743, 11072647, 11072583, 11072711, 11072807, 11072903, 11073031, 11073127, 11073255, 11073351, 11073479, 11073575, 11073703, 11073767, 11073895, 11073564, 11073063, 11072935, 11072839, 11072967, 11073063, 11073191, 11073287, 11073383, 11245118, 11245278, 11245470, 11245662, 11245822, 11246014, 11246174, 11246366, 11246526, 11246686, 11067247, 11074855, 11074951, 11075047, 11075143, 11075207, 11075303, 11075399, 11075495, 11075559, 11075655, 11075719, 11075815, 11075879, 11076007, 11078023, 11080007, 11081991, 11083911, 11085831, 11251358, 11253246, 11255102, 11256926, 11258718, 11260478, 11253372, 11254588, 11255804, 11257020, 11258204, 11259388, 11260572, 11261724, 11262876, 11263996, 11265148, 11266268, 11267356, 11268476, 11269532, 11270620, 11271708, 11272732, 11214315, 11216011, 11217707]",0,0,134.36424411240122,847.4337369372327,250.0,500.0,366.1718580146029,100.0,560.0,100.0,1831,44800,46631,1831,8000,9831,56462,610813769,610860400,617794876,629110053,629119884,1554927101,6934476,11315177,18249653,18306115,0,925817048,925817048,944113332,prefill,decode,0.0030843245549369703,0.3788065354118009,0.6181091400332621,0.9806104587649016,0,0,0,0,,,,0,0,0,0,0,0,0,0
1,3,meta-llama/Llama-3.1-8B,4,12,570951546,705210274,134258728,79465,11022555,11203288,"[11147819, 11018549, 11198716, 11203519, 11237950, 11237950, 11237982, 11238046, 11238078, 11238558, 11239006]",6,1,762.280082457942,2.1060533511106927,750.0,500.0,498.0453619247758,100.0,516.0,100.0,2490,41280,43770,2490,8000,10490,54260,570907776,570951546,571031011,581974101,581984591,705210274,79465,10943090,11022555,11076815,0,123236173,123236173,134302498,prefill,decode,0.004898520016809886,0.007173993607368183,0.987927486375822,0.9175298296542997,1,0,0,0,,,,0,0,0,0,0,0,0,0
1,5,meta-llama/Llama-3.1-8B,15,63,604877183,1323275599,718398416,10462002,21665521,11237627,"[11237950, 11237950, 11237982, 11238046, 11238078, 11238558, 11239006, 11200732, 11201020, 11201308, 11201564, 11201820, 11202044, 11202300, 11202524, 11202748, 11202940, 11203164, 11203388, 11203580, 11203804, 11204028, 11204220, 11204412, 11204604, 11609373, 11243422, 11243454, 11243486, 11243486, 11243518, 11243518, 11243550, 11243582, 11243582, 11243614, 11243614, 11243646, 11243646, 11243678, 11243678, 11243710, 11243710, 11243742, 11243742, 11243774, 11243774, 11243774, 11243806, 11243806, 11244030, 11244222, 11244414, 11244638, 11244798, 11245022, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022]",6,1,762.280082457942,2.1060533511106927,750.0,500.0,498.0453619247758,100.0,560.0,100.0,2490,44800,47290,2490,8000,10490,57780,604829893,604877183,615339185,626542704,626553194,1323275599,10462002,11203519,21665521,21723301,0,696732895,696732895,718445706,prefill,decode,0.0026598167562103016,0.48160277298556053,0.5157374102582292,0.9697639172423533,1,0,0,0,,,,0,0,0,0,0,0,0,0
1,8,meta-llama/Llama-3.1-8B,18,58,903892356,1559086267,655193911,2968118,14577491,11238884,"[11243422, 11243454, 11243486, 11243486, 11243518, 11243518, 11243550, 11243582, 11243582, 11243614, 11243614, 11243646, 11243646, 11243678, 11243678, 11243710, 11243710, 11243742, 11243742, 11243774, 11243774, 11243774, 11243806, 11243806, 11244030, 11244222, 11244414, 11244638, 11244798, 11245022, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022, 11213116, 11214876, 11216572, 11218268, 11219932, 11221564, 11223196, 11224764, 11226364, 11227900, 11229436, 11230972, 11232444, 11233916, 11235388, 11236828, 11238236, 11239644, 11241052, 11242428, 11243772]",3,1,651.592972722763,788.7233511355132,750.0,500.0,305.0329761000665,100.0,572.0,100.0,1525,45760,47285,1525,8000,9525,56810,903845071,903892356,906860474,918469847,918479372,1559086267,2968118,11609373,14577491,14634301,0,640616420,640616420,655241196,prefill,decode,0.003881975640654104,0.20281925320519237,0.7932987711541535,0.9776661046970446,1,0,0,0,,,,0,0,0,0,0,0,0,0
1,4,meta-llama/Llama-3.1-8B,13,96,587915948,1671351657,1083435709,5205972,16224521,11233801,"[11198716, 11203519, 11237950, 11237950, 11237982, 11238046, 11238078, 11238558, 11239006, 11200732, 11201020, 11201308, 11201564, 11201820, 11202044, 11202300, 11202524, 11202748, 11202940, 11203164, 11203388, 11203580, 11203804, 11204028, 11204220, 11204412, 11204604, 11609373, 11243422, 11243454, 11243486, 11243486, 11243518, 11243518, 11243550, 11243582, 11243582, 11243614, 11243614, 11243646, 11243646, 11243678, 11243678, 11243710, 11243710, 11243742, 11243742, 11243774, 11243774, 11243774, 11243806, 11243806, 11244030, 11244222, 11244414, 11244638, 11244798, 11245022, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022, 11213116, 11214876, 11216572, 11218268, 11219932, 11221564, 11223196, 11224764, 11226364, 11227900, 11229436, 11230972, 11232444, 11233916, 11235388, 11236828, 11238236, 11239644, 11241052, 11242428, 11243772, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547]",3,1,651.592972722763,788.7233511355132,750.0,500.0,305.0329761000665,100.0,552.0,100.0,1525,44160,45685,1525,8000,9525,55210,587870263,587915948,593121920,604140469,604149994,1671351657,5205972,11018549,16224521,16279731,0,1067211188,1067211188,1083481394,prefill,decode,0.0033913336774422133,0.31978243375151594,0.6768262325710419,0.9849747416295604,1,0,0,0,,,,0,0,0,0,0,0,0,0
