gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,100.0,125.0,1,1,11.17027,11.17027,11.17027,11.17027,0.003589,11.112523,0,1,16,69
1,1,300.0,125.0,1,1,11.722119,11.722119,11.722119,11.722119,0.117489,11.548864,0,1,22,104
2,2,500.0,125.0,0,0,,,,,,,0,0,0,0
3,3,700.0,125.0,3,3,16.55473533333333,16.31025,21.6959418,22.17466996,5.077765333333333,11.423976,0,3,40,217
4,4,900.0,125.0,0,0,,,,,,,0,0,0,0
5,5,100.0,375.0,0,0,,,,,,,0,0,0,0
6,6,300.0,375.0,0,0,,,,,,,0,0,0,0
7,7,500.0,375.0,0,0,,,,,,,0,0,0,0
8,8,700.0,375.0,1,1,11.001349,11.001349,11.001349,11.001349,0.000988,10.950151,0,1,5,26
9,9,900.0,375.0,0,0,,,,,,,0,0,0,0
10,10,100.0,625.0,0,0,,,,,,,0,0,0,0
11,11,300.0,625.0,0,0,,,,,,,0,0,0,0
12,12,500.0,625.0,0,0,,,,,,,0,0,0,0
13,13,700.0,625.0,0,0,,,,,,,0,0,0,0
14,14,900.0,625.0,1,1,11.109035,11.109035,11.109035,11.109035,0.006937,11.049122,0,1,13,96
15,15,100.0,875.0,1,1,11.003182,11.003182,11.003182,11.003182,0.009992,10.94309,0,1,4,12
16,16,300.0,875.0,2,2,15.462914000000001,15.462914000000001,19.334826500000002,19.6789965,4.201854,11.208617,0,2,20,67
17,17,500.0,875.0,0,0,,,,,,,0,0,0,0
18,18,700.0,875.0,0,0,,,,,,,0,0,0,0
19,19,900.0,875.0,0,0,,,,,,,0,0,0,0
